At gamma =  [2.046911726864734590e+08,2.046911726865780056e+08]
New biggest  [1.097294366469893229e-01,1.097308686710293524e-01]
At gamma =  [2.066262187039802670e+08,2.066262187039901614e+08]
New biggest  [1.091125212477079415e-01,1.091175298532389842e-01]
At gamma =  [2.093922214427694380e+08,2.093922214428040981e+08]
New biggest  [1.098643029434754476e-01,1.098861895463479621e-01]
At gamma =  [2.108930487251385748e+08,2.108930487252905369e+08]
New biggest  [1.102783635154184622e-01,1.102841493823939478e-01]
At gamma =  [2.140857852030297518e+08,2.140857852030698061e+08]
New biggest  [1.105562527281037932e-01,1.105781133155538387e-01]
At gamma =  [2.157587429276750088e+08,2.157587429278267920e+08]
New biggest  [1.149747699040089138e-01,1.149814761685441222e-01]
At gamma =  [2.175361643261574209e+08,2.175361643262038827e+08]
New biggest  [1.114975208569416454e-01,1.115178144211146222e-01]
At gamma =  [2.199187092729150057e+08,2.199187092730558813e+08]
New biggest  [1.073725088474570405e-01,1.073933109818123594e-01]
At gamma =  [2.212480515618520081e+08,2.212480515619964004e+08]
New biggest  [1.080498097625752357e-01,1.080742054853904982e-01]
At gamma =  [2.231656524918946624e+08,2.231656524920640290e+08]
New biggest  [1.129582443938079162e-01,1.129799250521686255e-01]
At gamma =  [2.254166223033592403e+08,2.254166223035097122e+08]
New biggest  [1.115082492807691755e-01,1.115182322710912416e-01]
At gamma =  [2.290108371326189637e+08,2.290108371326882243e+08]
New biggest  [1.106267981792116717e-01,1.106384560010517520e-01]
At gamma =  [2.303192790309598744e+08,2.303192790310407877e+08]
New biggest  [1.093526766531403710e-01,1.093545020326587847e-01]
At gamma =  [2.327418499368608296e+08,2.327418499368733466e+08]
New biggest  [1.100648760360275619e-01,1.100741659456391797e-01]
At gamma =  [2.347080771932204664e+08,2.347080771932848692e+08]
New biggest  [1.127783168943119613e-01,1.128027983452875305e-01]
At gamma =  [2.367967516885622740e+08,2.367967516887321770e+08]
New biggest  [1.103399642987395596e-01,1.103649403983822108e-01]
At gamma =  [2.379160941034699678e+08,2.379160941036433280e+08]
New biggest  [1.088185863769219192e-01,1.088428585659386993e-01]
At gamma =  [2.401336341922035515e+08,2.401336341923720241e+08]
New biggest  [1.079918873495971238e-01,1.079974373790891368e-01]
At gamma =  [2.432631619215300679e+08,2.432631619215684831e+08]
New biggest  [1.075339176297106653e-01,1.075514901651308253e-01]
At gamma =  [2.442238702631076574e+08,2.442238702632295787e+08]
New biggest  [1.083462751706626703e-01,1.083559601498242098e-01]
At gamma =  [2.469322093031484485e+08,2.469322093032155931e+08]
New biggest  [1.107590546531596609e-01,1.107815245140323646e-01]
At gamma =  [2.502092757616610527e+08,2.502092757618168592e+08]
New biggest  [1.075882395751462245e-01,1.075948841346842239e-01]
At gamma =  [2.508274519373916090e+08,2.508274519374375641e+08]
New biggest  [1.066401444207280974e-01,1.066442228587302365e-01]
At gamma =  [2.532023378621595800e+08,2.532023378621877730e+08]
New biggest  [1.085691363009054222e-01,1.085842165218564442e-01]
At gamma =  [2.556623572779837847e+08,2.556623572780883908e+08]
New biggest  [1.088727043963072239e-01,1.088968635851596117e-01]
At gamma =  [2.576791155602471828e+08,2.576791155604147911e+08]
New biggest  [1.115260638421984030e-01,1.115371632703871380e-01]
At gamma =  [2.597402244618384242e+08,2.597402244619153440e+08]
New biggest  [1.103289683047331549e-01,1.103494393367463328e-01]
At gamma =  [2.625151039027400911e+08,2.625151039028820395e+08]
New biggest  [1.104305760928745300e-01,1.104412131754682475e-01]
At gamma =  [2.630959846790617704e+08,2.630959846791354418e+08]
New biggest  [1.068623853749090663e-01,1.068763422332787705e-01]
At gamma =  [2.655259607057475746e+08,2.655259607058443427e+08]
New biggest  [1.106625596143792634e-01,1.106699316560813273e-01]
At gamma =  [2.674784106044674814e+08,2.674784106045184731e+08]
New biggest  [1.096063681693136838e-01,1.096501178121399578e-01]
At gamma =  [2.708207184555266500e+08,2.708207184558301568e+08]
New biggest  [1.095000195748354055e-01,1.095116489443073576e-01]
At gamma =  [2.730306826861286163e+08,2.730306826862092018e+08]
New biggest  [1.082362989310690915e-01,1.082446493478862459e-01]
At gamma =  [2.742170458377902508e+08,2.742170458378480673e+08]
New biggest  [1.053281909001583944e-01,1.053436054133986693e-01]
At gamma =  [2.756033395657750964e+08,2.756033395658819079e+08]
New biggest  [1.122863066453334974e-01,1.123183860932318173e-01]
At gamma =  [2.788443314277393222e+08,2.788443314279617667e+08]
New biggest  [1.094217295065415402e-01,1.094645598557612703e-01]
At gamma =  [2.798128776897193193e+08,2.798128776900163889e+08]
New biggest  [1.126756317698140580e-01,1.126761524915227131e-01]
At gamma =  [2.824823210637107491e+08,2.824823210637142658e+08]
New biggest  [1.097258977748596653e-01,1.097535146420715729e-01]
At gamma =  [2.848837434881280661e+08,2.848837434883195162e+08]
New biggest  [1.076183876280329410e-01,1.076598507006936017e-01]
At gamma =  [2.863879186791018248e+08,2.863879186793894172e+08]
New biggest  [1.078489556436401098e-01,1.078742642976485561e-01]
At gamma =  [2.888631466118265390e+08,2.888631466120019555e+08]
New biggest  [1.090434569078867211e-01,1.090689965859242549e-01]
At gamma =  [2.905473565493728518e+08,2.905473565495498180e+08]
New biggest  [1.081503182143111058e-01,1.081846271713833574e-01]
At gamma =  [2.940778196473867893e+08,2.940778196476246715e+08]
New biggest  [1.118105366909052795e-01,1.118373653075165064e-01]
At gamma =  [2.948335096302930117e+08,2.948335096304789782e+08]
New biggest  [1.055039794596135116e-01,1.055386423750493546e-01]
