Command line:- ./do_t 9317 64000
1: 3751 8281 -58564 9317
2: -3751 14357 58564 9317
1: 4753 10285 -58564 9317
1: 5684 2783 14641 9317
2: -6174 48279 58564 9317
1: 6566 8833 -43923 9317
2: -7056 43923 49731 9317
1: 7502 5243 -29282 9317
2: -7502 17395 29282 9317
3: 7791 -48279 -58564 9317
3: 9114 -43923 -49731 9317
1: 9408 38115 -43923 9317
2: -11907 52635 29282 9317
4: -12642 -38115 43923 9317
3: 14651 -23353 -29282 9317
1: 14762 637 -43923 9317
4: -14762 -23275 43923 9317
1: 14994 35211 -29282 9317
3: 15004 -833 -14641 9317
2: -15004 23471 14641 9317
4: -16072 -10285 58564 9317
3: 16954 -2783 -14641 9317
1: 22143 6615 -29282 9317
4: -22143 -29253 29282 9317
4: -29204 -8833 43923 9317
1: 33033 2205 -58564 9317
4: -33033 -5439 58564 9317
3: 36421 -2597 29282 9317
2: -36421 5831 -29282 9317
1: 42336 26499 -14641 9317
3: 43923 -2205 43802 9317
2: -43923 4263 -43802 9317
1: 44044 3479 -43923 9317
4: -44044 -6713 43923 9317
1: 44286 24549 -14641 9317
4: -44286 -47187 14641 9317
1: 58564 3283 -47674 9317
4: -58564 -5341 47674 9317
