Command line:- ./do_t 1183 64000
1: 14 637 52728 1183
1: 28 637 24167 1183
2: -28 637 -32955 1183
2: -28 845 36673 1183
1: 42 585 30758 1183
1: 49 493 57122 1183
2: -49 521 -57122 1183
1: 49 1183 -59488 1183
2: -49 1183 54756 1183
1: 77 2197 -62790 1183
2: -77 2197 60242 1183
1: 78 441 48334 1183
2: -84 441 -57122 1183
1: 84 1029 -28561 1183
2: -84 1521 42588 1183
1: 91 1813 -48334 1183
2: -91 2009 48334 1183
1: 93 2793 -57122 1183
2: -93 4095 61516 1183
1: 98 479 28561 1183
2: -98 535 -28561 1183
2: -98 845 8112 1183
1: 98 1183 -30927 1183
2: -98 1183 26195 1183
2: -98 1391 32955 1183
1: 98 2197 -49608 1183
2: -98 2197 47060 1183
1: 98 3353 -57122 1183
2: -98 3745 57122 1183
2: -98 5915 62361 1183
1: 98 6227 -63713 1183
2: -98 6955 63713 1183
2: -104 833 6591 1183
1: 104 12593 -63713 1183
2: -104 14161 63713 1183
1: 112 1225 -28561 1183
1: 112 8281 -57460 1183
1: 112 10985 -58695 1183
1: 116 2821 -46137 1183
1: 117 2499 -43940 1183
1: 119 1859 -37856 1183
1: 119 23177 -57122 1183
2: -119 26509 57122 1183
3: 126 -6123 -61516 1183
4: -126 -7059 61516 1183
3: 126 -23079 -57122 1183
4: -126 -26607 57122 1183
3: 132 -4095 -61516 1183
4: -133 -8281 57460 1183
2: -133 10985 48958 1183
1: 136 19097 -49686 1183
2: -138 5733 43940 1183
2: -138 38025 49686 1183
1: 143 1757 -30758 1183
2: -143 2065 30758 1183
1: 147 507 13520 1183
1: 147 1209 -21970 1183
3: 147 -2535 -59826 1183
3: 147 -3255 -57122 1183
1: 147 3549 -38870 1183
4: -147 -3843 57122 1183
3: 147 -6045 -52728 1183
1: 147 6591 -42900 1183
4: -147 -7137 52728 1183
1: 147 8463 -43940 1183
4: -147 -10647 51038 1183
1: 147 15717 -45630 1183
3: 147 -17745 -49348 1183
4: -147 -19773 49452 1183
3: 147 -32955 -48542 1183
3: 147 -42315 -48334 1183
1: 147 46137 -46930 1183
4: -147 -49959 48334 1183
3: 152 -2695 -57122 1183
1: 152 10985 -43316 1183
1: 154 2197 -32032 1183
2: -154 2197 29484 1183
4: -154 -12103 48334 1183
3: 156 -1743 -61516 1183
4: -156 -2079 61516 1183
