Command line:- ./do_t 1573 64000
2: -507 9009 21296 1573
2: -507 11979 22066 1573
4: -507 -14157 26378 1573
1: 507 19965 -23496 1573
3: 507 -34485 -24926 1573
1: 507 40755 -23958 1573
1: 507 43923 -23990 1573
3: 507 -51909 -24750 1573
4: -507 -53361 24926 1573
2: -507 63063 23958 1573
2: -528 12675 21296 1573
2: -528 43923 22815 1573
2: -546 507 -29282 1573
3: 546 -1089 -37752 1573
1: 546 3069 -17303 1573
2: -546 4917 17303 1573
2: -556 14399 20449 1573
1: 566 14641 -20787 1573
2: -566 14641 20111 1573
3: 572 -845 -39930 1573
3: 572 -4225 -25289 1573
4: -572 -6929 25289 1573
3: 572 -14641 -22685 1573
4: -572 -14641 23361 1573
1: 576 14883 -20449 1573
1: 583 2873 -15972 1573
1: 594 4173 -17303 1573
2: -594 6981 17303 1573
3: 598 -14641 -21684 1573
4: -598 -14641 22360 1573
2: -598 46585 20163 1573
3: 611 -1331 -30888 1573
4: -611 -1331 38324 1573
1: 612 2535 -14641 1573
2: -624 3267 12584 1573
2: -624 4563 14641 1573
1: 624 43923 -19513 1573
1: 624 61347 -19602 1573
3: 634 -14399 -20449 1573
3: 637 -1859 -26620 1573
4: -637 -1859 31944 1573
3: 644 -14641 -20111 1573
4: -644 -14641 20787 1573
4: -654 -14883 20449 1573
4: -663 -3993 24310 1573
2: -672 20163 17303 1573
1: 676 259 29282 1573
1: 676 407 11979 1573
2: -676 467 -29282 1573
3: 676 -481 -43923 1573
1: 676 847 -3751 1573
3: 676 -1001 -30613 1573
1: 676 1331 -9042 1573
2: -676 1331 1606 1573
3: 676 -1573 -26136 1573
4: -676 -1573 32428 1573
3: 676 -2849 -22627 1573
1: 676 3367 -14641 1573
3: 676 -4477 -21054 1573
4: -676 -5137 22627 1573
1: 676 5291 -15972 1573
2: -676 6071 14641 1573
3: 676 -9317 -19624 1573
1: 676 11011 -17182 1573
3: 676 -14641 -19143 1573
4: -676 -14641 19819 1573
1: 676 31339 -17908 1573
3: 676 -37037 -18634 1573
1: 676 49247 -18051 1573
2: -676 56507 17908 1573
3: 676 -58201 -18513 1573
4: -688 -845 43923 1573
4: -689 -9317 20306 1573
1: 692 20735 -17303 1573
1: 702 6171 -15730 1573
1: 704 7267 -15972 1573
3: 726 -351 -48763 1573
2: -726 507 -24442 1573
4: -726 -663 48763 1573
3: 726 -4563 -19481 1573
4: -726 -8619 19481 1573
2: -726 43923 16562 1573
2: -728 2299 7865 1573
3: 738 -20163 -17303 1573
3: 741 -5577 -18634 1573
1: 754 24167 -15972 1573
4: -758 -20735 17303 1573
1: 767 6655 -14586 1573
3: 781 -533 -34606 1573
1: 792 195 34606 1573
1: 806 20449 -14883 1573
2: -806 20449 14399 1573
2: -816 37011 14641 1573
2: -819 3993 10296 1573
2: -828 63375 14641 1573
3: 832 -605 -29887 1573
1: 832 39715 -14641 1573
3: 832 -62557 -15015 1573
3: 836 -3601 -17303 1573
4: -836 -7553 17303 1573
1: 847 325 12584 1573
2: -847 689 -12584 1573
3: 847 -4225 -16698 1573
4: -847 -8957 16698 1573
3: 847 -14641 -15210 1573
4: -847 -14641 15886 1573
1: 858 507 2662 1573
4: -858 -1521 26620 1573
1: 858 3549 -11979 1573
2: -858 7605 11979 1573
1: 858 43923 -14222 1573
4: -874 -37687 14641 1573
3: 884 -2497 -17303 1573
4: -884 -5489 17303 1573
3: 884 -20449 -14399 1573
4: -884 -20449 14883 1573
2: -888 43923 13520 1573
2: -896 22627 13013 1573
1: 897 16731 -13310 1573
2: -924 507 -21296 1573
3: 927 -43923 -13520 1573
3: 949 -341 -34606 1573
4: -962 -847 33033 1573
1: 962 26015 -12584 1573
2: -962 61831 12584 1573
1: 968 299 11011 1573
4: -968 -845 32912 1573
3: 974 -22627 -13013 1573
3: 1001 -14641 -12818 1573
4: -1001 -14641 13494 1573
1: 1012 1183 -6655 1573
3: 1012 -14641 -12675 1573
4: -1012 -14641 13351 1573
1: 1014 117 43923 1573
3: 1014 -207 -43923 1573
2: -1014 363 -33154 1573
4: -1014 -429 50578 1573
4: -1014 -519 43923 1573
1: 1014 1089 -6171 1573
1: 1014 2277 -9317 1573
3: 1014 -2691 -14641 1573
4: -1014 -3993 16324 1573
2: -1014 4719 8712 1573
2: -1014 5709 9317 1573
4: -1014 -6747 14641 1573
3: 1014 -11979 -12749 1573
1: 1014 14157 -11737 1573
3: 1014 -25047 -12463 1573
1: 1014 29601 -11979 1573
2: -1014 43923 11826 1573
4: -1014 -51909 12518 1573
4: -1014 -62799 12463 1573
1: 1053 5577 -10648 1573
4: -1066 -5239 14641 1573
3: 1089 -507 -22748 1573
3: 1089 -43923 -11492 1573
4: -1118 -845 29282 1573
3: 1131 -3267 -12584 1573
3: 1177 -169 -39930 1573
3: 1177 -36335 -10648 1573
1: 1183 143 23958 1573
2: -1183 605 -14036 1573
1: 1183 1991 -7986 1573
2: -1183 5995 7986 1573
4: -1183 -7865 12342 1573
3: 1183 -14641 -10794 1573
4: -1183 -14641 11470 1573
3: 1183 -25883 -10648 1573
3: 1196 -14641 -10673 1573
4: -1196 -14641 11349 1573
2: -1221 43923 9802 1573
3: 1222 -1331 -13585 1573
4: -1222 -1331 21021 1573
4: -1222 -3211 14641 1573
1: 1248 99 34606 1573
2: -1248 61347 9680 1573
3: 1274 -1859 -11979 1573
4: -1287 -507 37268 1573
1: 1287 2535 -7986 1573
2: -1287 8619 7986 1573
4: -1287 -43923 9932 1573
3: 1326 -3993 -10296 1573
1: 1331 169 13332 1573
3: 1331 -169 -31922 1573
1: 1331 221 8008 1573
3: 1331 -221 -26598 1573
2: -1331 793 -8008 1573
4: -1331 -793 26598 1573
1: 1331 1331 -6422 1573
2: -1331 1331 -1014 1573
3: 1331 -1331 -12168 1573
4: -1331 -1331 19604 1573
1: 1331 2873 -7964 1573
3: 1331 -2873 -10626 1573
2: -1331 10309 7964 1573
4: -1331 -10309 10626 1573
1: 1331 17303 -9074 1573
2: -1331 17303 8502 1573
3: 1331 -17303 -9516 1573
4: -1331 -17303 10088 1573
1: 1331 22627 -9126 1573
3: 1331 -22627 -9464 1573
4: -1338 -2535 14641 1573
3: 1339 -18997 -9438 1573
1: 1352 155 14641 1573
3: 1352 -341 -19965 1573
2: -1352 571 -14641 1573
3: 1352 -605 -15246 1573
1: 1352 715 -3993 1573
1: 1352 1331 -6380 1573
2: -1352 1331 -1056 1573
3: 1352 -1573 -11495 1573
4: -1352 -1573 17787 1573
1: 1352 18755 -8954 1573
3: 1352 -22165 -9317 1573
3: 1352 -41261 -9240 1573
1: 1352 48763 -9075 1573
3: 1391 -169 -29282 1573
1: 1443 43923 -8502 1573
1: 1452 507 -2420 1573
4: -1452 -1521 17061 1573
1: 1452 43923 -8450 1573
4: -1482 -5577 10648 1573
4: -1507 -481 34606 1573
4: -1508 -10285 9438 1573
3: 1521 -129 -29282 1573
2: -1521 429 -21296 1573
4: -1521 -597 29282 1573
2: -1521 3993 4972 1573
3: 1521 -4719 -8712 1573
1: 1521 18447 -7986 1573
3: 1521 -43923 -8196 1573
1: 1529 25519 -7986 1573
1: 1573 169 6776 1573
3: 1573 -169 -22506 1573
2: -1573 845 -6776 1573
4: -1573 -845 22506 1573
1: 1573 14641 -7696 1573
2: -1573 14641 7020 1573
3: 1573 -14641 -8034 1573
4: -1573 -14641 8710 1573
3: 1586 -13013 -7986 1573
1: 1638 3993 -7007 1573
4: -1638 -27885 7986 1573
1: 1639 169 5324 1573
2: -1639 169 -63888 1573
2: -1683 2535 2662 1573
2: -1694 871 -6292 1573
4: -1694 -11323 8349 1573
4: -1694 -14641 8112 1573
2: -1716 507 -15972 1573
2: -1716 43923 6942 1573
2: -1738 25181 6655 1573
3: 1742 -2299 -7865 1573
3: 1771 -14641 -7098 1573
4: -1771 -14641 7774 1573
1: 1776 43923 -6929 1573
1: 1848 507 -3993 1573
1: 1852 53911 -6655 1573
4: -1854 -43923 6929 1573
1: 1859 91 7986 1573
3: 1859 -91 -21296 1573
2: -1859 767 -7986 1573
4: -1859 -767 21296 1573
1: 1859 14641 -6564 1573
2: -1859 14641 5888 1573
3: 1859 -14641 -6746 1573
4: -1859 -14641 7422 1573
4: -1872 -2541 11011 1573
3: 1872 -27885 -6655 1573
3: 1892 -845 -7986 1573
2: -1898 9295 5324 1573
4: -1918 -53911 6655 1573
1: 1924 8107 -6292 1573
2: -1937 169 -58564 1573
4: -1963 -385 34606 1573
3: 2002 -14641 -6240 1573
4: -2002 -14641 6916 1573
3: 2028 -33 -30613 1573
1: 2028 39 14641 1573
1: 2028 363 -3872 1573
3: 2028 -429 -7986 1573
4: -2028 -1485 13310 1573
3: 2028 -3993 -6303 1573
1: 2028 4719 -5929 1573
2: -2028 16335 5445 1573
4: -2028 -19305 6655 1573
1: 2028 43923 -6082 1573
3: 2028 -51909 -6116 1573
2: -2068 455 -17303 1573
3: 2093 -14641 -5954 1573
4: -2093 -14641 6630 1573
2: -2106 5577 3993 1573
2: -2178 195 -47190 1573
4: -2178 -507 26015 1573
4: -2178 -43923 5915 1573
2: -2184 507 -14641 1573
1: 2197 17303 -5610 1573
2: -2197 17303 5038 1573
1: 2216 54571 -5577 1573
4: -2294 -54571 5577 1573
3: 2327 -9295 -5324 1573
3: 2354 -169 -5324 1573
4: -2354 -169 63888 1573
3: 2366 -11 -3993 1573
1: 2366 143 -5324 1573
2: -2366 143 -63888 1573
2: -2366 7997 3993 1573
3: 2366 -14641 -5228 1573
4: -2366 -14641 5904 1573
4: -2376 -3549 7986 1573
2: -2442 1521 -1331 1573
1: 2442 43923 -5070 1573
1: 2496 61347 -4961 1573
1: 2541 507 -5566 1573
4: -2541 -13689 5566 1573
3: 2574 -507 -3993 1573
2: -2574 11661 3993 1573
3: 2574 -43923 -4797 1573
4: -2652 -3993 7007 1573
1: 2662 13 -47905 1573
3: 2662 -13 38610 1573
1: 2662 65 -13299 1573
3: 2662 -65 4004 1573
1: 2662 169 -7975 1573
2: -2662 169 -50589 1573
3: 2662 -169 -1320 1573
4: -2662 -169 59884 1573
1: 2662 845 -5313 1573
3: 2662 -845 -3982 1573
2: -2662 1079 -4004 1573
4: -2662 -1079 13299 1573
1: 2662 1331 -5070 1573
2: -2662 1331 -2366 1573
3: 2662 -1331 -4225 1573
4: -2662 -1331 11661 1573
1: 2662 6655 -4732 1573
3: 2662 -6655 -4563 1573
2: -2662 14027 3982 1573
4: -2662 -14027 5313 1573
1: 2662 17303 -4680 1573
2: -2662 17303 4108 1573
3: 2662 -17303 -4615 1573
4: -2662 -17303 5187 1573
1: 2678 5929 -4719 1573
3: 2704 -13 43923 1573
2: -2704 451 -15972 1573
1: 2704 1331 -5049 1573
2: -2704 1331 -2387 1573
4: -2704 -2717 7986 1573
3: 2704 -6413 -4477 1573
1: 2717 845 -5324 1573
4: -2717 -11999 5324 1573
4: -2782 -169 58564 1573
3: 2783 -13 53482 1573
1: 2783 1183 -5082 1573
4: -2783 -14365 5082 1573
3: 2783 -14641 -4394 1573
4: -2783 -14641 5070 1573
4: -2808 -19965 4862 1573
1: 2873 121 -11616 1573
4: -2873 -253 39930 1573
1: 2873 869 -5324 1573
4: -2873 -1001 13310 1573
2: -2873 4235 2178 1573
4: -2873 -8855 5324 1573
2: -2886 43923 4082 1573
2: -2904 507 -13431 1573
2: -2904 43923 4056 1573
1: 2912 22627 -4290 1573
3: 2964 -5577 -3993 1573
2: -2964 11979 3432 1573
2: -3003 507 -13310 1573
1: 3042 105 -14641 1573
3: 3042 -165 2662 1573
1: 3042 429 -6655 1573
4: -3042 -831 14641 1573
3: 3042 -2541 -3630 1573
1: 3042 3993 -4345 1573
4: -3042 -4719 5929 1573
3: 3042 -15015 -3993 1573
1: 3042 23595 -4114 1573
4: -3042 -43923 4267 1573
3: 3058 -21463 -3993 1573
2: -3068 6655 2717 1573
4: -3069 -507 21296 1573
1: 3113 14641 -4056 1573
2: -3113 14641 3380 1573
1: 3146 169 -11253 1573
2: -3146 169 -47311 1573
3: 3146 -169 3388 1573
4: -3146 -169 55176 1573
2: -3146 1183 -3388 1573
4: -3146 -1183 11253 1573
1: 3146 14641 -4017 1573
2: -3146 14641 3341 1573
3: 3146 -14641 -3848 1573
4: -3146 -14641 4524 1573
2: -3172 407 -17303 1573
3: 3211 -143 5324 1573
4: -3211 -143 63888 1573
3: 3267 -39 31460 1573
1: 3278 169 -11979 1573
2: -3278 169 -46585 1573
3: 3289 -14641 -3666 1573
4: -3289 -14641 4342 1573
3: 3388 -221 3146 1573
2: -3388 1235 -3146 1573
3: 3388 -14641 -3549 1573
4: -3388 -14641 4225 1573
1: 3432 507 -6655 1573
1: 3432 43923 -3640 1573
3: 3471 -11979 -3432 1573
1: 3498 117 -17303 1573
3: 3542 -14641 -3380 1573
4: -3542 -14641 4056 1573
3: 3549 -2013 -2662 1573
2: -3549 9999 2662 1573
2: -3549 14157 2904 1573
3: 3549 -51909 -3454 1573
1: 3679 14641 -3484 1573
2: -3679 14641 2808 1573
4: -3692 -5929 4719 1573
2: -3718 221 -33275 1573
4: -3718 -221 39930 1573
1: 3718 247 -10648 1573
3: 3718 -247 3993 1573
2: -3718 1105 -3993 1573
4: -3718 -1105 10648 1573
1: 3718 14641 -3451 1573
2: -3718 14641 2775 1573
3: 3718 -14641 -3204 1573
4: -3718 -14641 3880 1573
1: 3751 299 -9438 1573
4: -3751 -1313 9438 1573
1: 3828 39 -51909 1573
3: 3848 -27709 -3146 1573
3: 3861 -3549 -2662 1573
2: -3861 14703 2662 1573
1: 3874 169 -14641 1573
2: -3874 169 -43923 1573
3: 3887 -14641 -3050 1573
4: -3887 -14641 3726 1573
4: -3993 -195 43472 1573
2: -3993 273 -25740 1573
1: 3993 351 -8866 1573
2: -3993 507 -12430 1573
4: -3993 -1365 8866 1573
4: -3993 -2535 6204 1573
2: -3993 3549 880 1573
4: -3993 -3993 5070 1573
1: 3993 4563 -3542 1573
4: -3993 -17745 3542 1573
2: -3993 19965 2704 1573
4: -3993 -27951 3380 1573
3: 3993 -35937 -3042 1573
4: -3993 -51909 3250 1573
3: 4004 -14641 -2951 1573
4: -4004 -14641 3627 1573
1: 4017 30855 -3146 1573
1: 4056 99 -23958 1573
3: 4056 -117 14641 1573
4: -4056 -141 58564 1573
2: -4056 363 -18513 1573
4: -4056 -429 21296 1573
1: 4056 11979 -3223 1573
3: 4056 -14157 -2904 1573
4: -4056 -17061 3509 1573
2: -4056 20163 2662 1573
2: -4056 43923 2872 1573
4: -4056 -51909 3201 1573
3: 4082 -6655 -2717 1573
3: 4158 -39 51909 1573
3: 4186 -14641 -2808 1573
4: -4186 -14641 3484 1573
2: -4224 28899 2662 1573
2: -4329 39039 2662 1573
1: 4394 17303 -2948 1573
2: -4394 17303 2376 1573
3: 4488 -117 17303 1573
1: 4498 9317 -3003 1573
3: 4563 -39 58564 1573
3: 4563 -363 3872 1573
2: -4563 25773 2420 1573
3: 4563 -48477 -2662 1573
2: -4598 845 -6171 1573
1: 4602 165 -17303 1573
3: 4708 -169 11979 1573
4: -4708 -169 46585 1573
1: 4719 507 -7502 1573
4: -4719 -1521 7502 1573
1: 4719 43923 -2678 1573
1: 4732 143 -19965 1573
2: -4732 143 -49247 1573
3: 4732 -7865 -2299 1573
3: 4732 -14641 -2445 1573
4: -4732 -14641 3121 1573
1: 4732 52195 -2662 1573
2: -4884 43923 2366 1573
3: 4901 -17303 -2376 1573
4: -4901 -17303 2948 1573
4: -4966 -42757 2662 1573
4: -5071 -32617 2662 1573
1: 5082 45 -61347 1573
4: -5082 -123 61347 1573
2: -5082 507 -11858 1573
1: 5082 7605 -2783 1573
4: -5082 -20787 2783 1573
4: -5203 -845 10890 1573
4: -5239 -23881 2662 1573
1: 5252 55 -51909 1573
3: 5324 -49 53911 1573
1: 5324 91 -32604 1573
2: -5324 127 -53911 1573
3: 5324 -169 13981 1573
4: -5324 -169 44583 1573
3: 5324 -637 2002 1573
1: 5324 1183 -4653 1573
1: 5324 1331 -4394 1573
2: -5324 1331 -3042 1573
2: -5324 1651 -2002 1573
3: 5324 -8281 -1991 1573
3: 5324 -9317 -2028 1573
1: 5324 17303 -2483 1573
2: -5324 17303 1911 1573
2: -5324 21463 1991 1573
1: 5408 67 -43923 1573
4: -5408 -605 14036 1573
1: 5408 11011 -2541 1573
1: 5434 7267 -2662 1573
4: -5434 -18421 2662 1573
4: -5512 -9317 3003 1573
3: 5564 -169 14641 1573
4: -5564 -169 43923 1573
1: 5566 8957 -2541 1573
3: 5566 -14641 -2028 1573
4: -5566 -14641 2704 1573
4: -5566 -22139 2541 1573
3: 5577 -45 61226 1573
2: -5577 111 -61226 1573
1: 5577 117 -26620 1573
3: 5577 -585 2662 1573
2: -5577 1443 -2662 1573
2: -5577 43923 2058 1573
2: -5668 11495 1573 1573
4: -5687 -3211 4356 1573
1: 5746 121 -26257 1573
2: -5746 121 -55539 1573
4: -5746 -559 14641 1573
1: 5746 5731 -2662 1573
4: -5746 -13717 2662 1573
1: 5772 43923 -2210 1573
2: -5808 4563 605 1573
1: 5808 43923 -2197 1573
3: 5902 -55 51909 1573
4: -5918 -455 17303 1573
1: 6006 507 -7986 1573
3: 6138 -507 3993 1573
1: 6226 14641 -2197 1573
2: -6226 14641 1521 1573
3: 6292 -169 16335 1573
4: -6292 -169 42229 1573
3: 6292 -845 1694 1573
3: 6292 -14641 -1755 1573
3: 6422 -143 19965 1573
4: -6422 -143 49247 1573
1: 6422 275 -13310 1573
4: -6422 -11011 2541 1573
3: 6552 -165 17303 1573
3: 6578 -59 51909 1573
2: -6578 125 -51909 1573
3: 6578 -14641 -1664 1573
4: -6578 -14641 2340 1573
3: 6682 -11495 -1573 1573
3: 6776 -949 1573 1573
2: -6776 1963 -1573 1573
2: -6864 43923 1651 1573
2: -7018 155 -40898 1573
4: -7018 -5239 3025 1573
3: 7084 -14641 -1521 1573
4: -7084 -14641 2197 1573
2: -7098 2145 -1331 1573
3: 7098 -8019 -1331 1573
2: -7098 16005 1331 1573
4: -7098 -51909 1870 1573
2: -7176 16731 1331 1573
4: -7254 -507 14641 1573
1: 7358 14641 -1911 1573
2: -7358 14641 1235 1573
1: 7436 71 -49247 1573
4: -7436 -137 49247 1573
1: 7436 923 -5324 1573
4: -7436 -1781 5324 1573
3: 7436 -14641 -1433 1573
4: -7436 -14641 2109 1573
1: 7502 1105 -4719 1573
4: -7502 -2119 4719 1573
4: -7568 -845 9317 1573
4: -7612 -6253 2662 1573
1: 7623 87 -40898 1573
3: 7722 -12675 -1331 1573
2: -7722 23829 1331 1573
1: 7774 539 -7986 1573
1: 7774 2057 -3267 1573
3: 7774 -14641 -1356 1573
4: -7774 -14641 2032 1573
3: 7943 -1331 1056 1573
4: -7943 -1331 6380 1573
4: -7982 -407 17303 1573
1: 7986 93 -39039 1573
4: -7986 -117 56342 1573
4: -7986 -171 39039 1573
1: 7986 507 -8426 1573
1: 7986 1209 -4433 1573
4: -7986 -1521 5764 1573
4: -7986 -2223 4433 1573
3: 7986 -3993 -676 1573
2: -7986 11979 1014 1573
1: 7986 15717 -1771 1573
4: -7986 -28899 1771 1573
3: 7986 -51909 -1482 1573
3: 8034 -16731 -1331 1573
1: 8107 247 -15730 1573
3: 8112 -429 6655 1573
1: 8112 43923 -1605 1573
4: -8349 -29913 1694 1573
3: 8372 -14641 -1235 1573
4: -8372 -14641 1911 1573
3: 8619 -117 29282 1573
4: -8619 -3993 3014 1573
4: -8788 -5005 2662 1573
1: 8788 17303 -1617 1573
2: -8788 17303 1045 1573
1: 8957 3509 -2420 1573
3: 8957 -9317 -990 1573
4: -8998 -1183 6655 1573
1: 9048 17787 -1573 1573
4: -9126 -363 18513 1573
1: 9317 115 -33462 1573
4: -9317 -193 33462 1573
3: 9317 -1495 1144 1573
2: -9317 2509 -1144 1573
1: 9317 19435 -1518 1573
4: -9317 -32617 1518 1573
2: -9399 35937 1144 1573
2: -9438 507 -10890 1573
1: 9438 1521 -3751 1573
4: -9438 -2535 3751 1573
2: -9438 43923 1170 1573
4: -9464 -221 29282 1573
2: -9464 22627 1034 1573
2: -9633 11979 770 1573
1: 9768 43923 -1352 1573
3: 9802 -715 3993 1573
3: 9802 -17303 -1045 1573
4: -9802 -17303 1617 1573
3: 9867 -105 34606 1573
2: -9867 171 -34606 1573
3: 9906 -35937 -1144 1573
4: -10062 -17787 1573 1573
4: -10153 -4225 2662 1573
1: 10164 507 -8712 1573
4: -10197 -43923 1352 1573
3: 10428 -1521 1331 1573
4: -10478 -9559 1815 1573
1: 10556 24167 -1331 1573
1: 10582 115 -34606 1573
4: -10582 -181 34606 1573
2: -10647 3993 -352 1573
4: -10648 -845 8316 1573
1: 10648 1331 -4056 1573
2: -10648 1331 -3380 1573
3: 10648 -1781 1001 1573
2: -10648 2795 -1001 1573
2: -10648 7267 330 1573
1: 10868 20111 -1331 1573
4: -10868 -31265 1331 1573
2: -11011 2873 -968 1573
4: -11011 -14641 1534 1573
3: 11132 -14641 -845 1573
4: -11132 -14641 1521 1573
3: 11154 -123 30613 1573
2: -11154 189 -30613 1573
2: -11154 351 -15972 1573
3: 11154 -1599 1331 1573
2: -11154 2457 -1331 1573
1: 11154 43923 -1198 1573
1: 11253 1911 -3146 1573
4: -11253 -2925 3146 1573
4: -11323 -50941 1210 1573
4: -11414 -24167 1331 1573
1: 11492 15455 -1331 1573
4: -11492 -23441 1331 1573
2: -11544 43923 936 1573
