There are 32 threads
Mertens at 214000000000: -58113
Mertens at 215000000000: -92614
Mertens at 216000000000: -142806
Mertens at 217000000000: -153562
Mertens at 218000000000: -167001
Mertens at 219000000000: -150136
Mertens at 220000000000: -119541
Mertens at 221000000000: -128323
Mertens at 222000000000: -139832
Mertens at 223000000000: -123054
Mertens at 224000000000: -98200
Mertens at 225000000000: -109668
Mertens at 226000000000: -64723
Mertens at 227000000000: -83355
Mertens at 228000000000: -75258
Mertens at 229000000000: -64214
Mertens at 230000000000: 10032
Mertens at 231000000000: -2684
Mertens at 232000000000: 19657
Mertens at 233000000000: 7990
Mertens at 234000000000: 819
Mertens at 235000000000: -21140
Mertens at 236000000000: -63759
Mertens at 237000000000: -57075
Mertens at 238000000000: -84507
Mertens at 239000000000: -93978
Mertens at 240000000000: -127060
Mertens at 241000000000: -134682
Mertens at 242000000000: -144674
Mertens at 243000000000: -123004
Mertens at 244000000000: -67986
Mertens at 245000000000: -75073
Mertens at 246000000000: -67648
Mertens at 247000000000: -29254
Mertens at 248000000000: 21791
Mertens at 249000000000: 40962
Mertens at 250000000000: 29206
Mertens at 251000000000: 43917
Mertens at 252000000000: 38870
Mertens at 253000000000: 27710
Mertens at 254000000000: 23717
Mertens at 255000000000: 9836
Mertens at 256000000000: 40528
Mertens at 257000000000: 58148
Mertens at 258000000000: 73515
Mertens at 259000000000: 100945
Mertens at 260000000000: 100460
Mertens at 261000000000: 110712
Mertens at 262000000000: 99515
Mertens at 263000000000: 95721
Mertens at 264000000000: 71576
Mertens at 265000000000: 80004
Mertens at 266000000000: 122348
Mertens at 267000000000: 122895
Mertens at 268000000000: 110136
Mertens at 269000000000: 100866
Mertens at 270000000000: 76325
Mertens at 271000000000: 33685
Mertens at 272000000000: 46773
Mertens at 273000000000: 39587
Mertens at 274000000000: 42533
Mertens at 275000000000: 47936
Mertens at 276000000000: 19008
Mertens at 277000000000: 38026
Mertens at 278000000000: 75129
Mertens at 279000000000: 74380
Mertens at 280000000000: 66106
Mertens at 281000000000: 61173
Mertens at 282000000000: 84573
Mertens at 283000000000: 76052
Mertens at 284000000000: 67257
Mertens at 285000000000: 50306
Mertens at 286000000000: 43930
Mertens at 287000000000: 43425
Mertens at 288000000000: 87264
Mertens at 289000000000: 91739
Mertens at 290000000000: 80652
Mertens at 291000000000: 89643
Mertens at 292000000000: 96697
Mertens at 293000000000: 110264
Mertens at 294000000000: 117502
Mertens at 295000000000: 140012
Mertens at 296000000000: 166946
Mertens at 297000000000: 191852
Mertens at 298000000000: 189313
Mertens at 299000000000: 146758
Mertens at 300000000000: 133609
Mertens at 301000000000: 117474
Mertens at 302000000000: 111710
Mertens at 303000000000: 112019
Mertens at 304000000000: 102173
Mertens at 305000000000: 73405
Mertens at 306000000000: 70034
Mertens at 307000000000: 53477
Mertens at 308000000000: 54616
Mertens at 309000000000: 59040
Mertens at 310000000000: 61938
Mertens at 311000000000: 30059
Mertens at 312000000000: 30533
Mertens at 313000000000: 54552
Mertens at 314000000000: 63136
Mertens at 315000000000: 42462
Mertens at 316000000000: 21231
Mertens at 317000000000: -13174
Mertens at 318000000000: -35448
Mertens at 319000000000: -33933
Mertens at 320000000000: -82124
Mertens at 321000000000: -95986
Mertens at 322000000000: -70916
Mertens at 323000000000: -105727
Mertens at 324000000000: -150828
Mertens at 325000000000: -140443
Mertens at 326000000000: -199086
Mertens at 327000000000: -193614
Mertens at 328000000000: -187397
Mertens at 329000000000: -185353
Mertens at 330000000000: -257128
Mertens at 331000000000: -276002
Mertens at 332000000000: -259822
Mertens at 333000000000: -231571
Mertens at 334000000000: -238914
