Command line:- ../do_t 384659 1000000
2: -242 230911 248897 384659
2: -31977 250563 644204 384659
2: -37026 250563 395307 384659
2: -57222 250563 -161051 384659
1: 58564 201433 372317 384659
1: 75867 217617 -769318 384659
2: -75867 283509 769318 384659
2: -83521 244783 -702768 384659
2: -83521 248897 -544742 384659
1: 87846 212415 -664411 384659
2: -87846 288711 664411 384659
2: -131769 250563 -738100 384659
1: 151734 184671 -384659 384659
2: -151734 316455 384659 384659
1: 161051 180625 -362406 384659
2: -161051 248897 -854862 384659
2: -161051 320501 362406 384659
1: 167042 161051 80509 384659
2: -167042 248897 -866844 384659
2: -167042 278179 -309397 384659
2: -167042 360701 774642 384659
2: -203643 250563 -894432 384659
2: -234256 260389 -777546 384659
1: 248897 161051 -550256 384659
1: 250563 131769 -26862 384659
2: -250563 483153 929698 384659
1: 265302 162129 -644204 384659
2: -273972 483153 797929 384659
1: 278179 129761 -209814 384659
2: -278179 371365 209814 384659
1: 289289 83521 966306 384659
1: 294151 83521 891770 384659
1: 308308 83521 688127 384659
1: 311542 83521 644204 384659
2: -314432 264869 -814572 384659
1: 316778 83521 574992 384659
2: -321079 417605 322102 384659
1: 322102 83521 506924 384659
1: 322102 110687 -181203 384659
2: -322102 390439 181203 384659
2: -322102 584647 883971 384659
1: 334084 84337 336743 384659
2: -334084 454597 439230 384659
2: -358649 541717 637670 384659
2: -370381 584647 702768 384659
1: 374374 83521 -58564 384659
1: 380666 83521 -116160 384659
1: 384659 83521 -151734 384659
2: -384659 417605 151734 384659
1: 388127 158147 -995588 384659
2: -388127 808159 995588 384659
1: 403172 83521 -307461 384659
2: -407779 805255 926772 384659
1: 409948 83521 -360943 384659
2: -415514 417605 87846 384659
1: 432344 63869 -161051 384659
1: 454597 83521 -673486 384659
1: 476476 83521 -805255 384659
1: 483153 40749 -120802 384659
2: -483153 460377 120802 384659
1: 484484 83521 -850509 384659
1: 489566 83521 -878460 384659
1: 497794 83521 -922504 384659
2: -497794 417605 -43802 384659
2: -497794 805255 692733 384659
1: 501126 19635 805255 384659
1: 501126 27951 126445 384659
1: 501126 43197 -439230 384659
1: 501126 66759 -805255 384659
2: -537724 417605 -93170 384659
1: 556358 8959 -104907 384659
2: -556358 492167 104907 384659
2: -559504 417605 -117128 384659
3: 594473 -4913 527076 384659
2: -594473 329171 -527076 384659
2: -604384 417605 -161051 384659
3: 633777 -43923 -563618 384659
2: -644204 417605 -194898 384659
3: 657998 -83521 -688127 384659
3: 668168 -22627 677479 384659
3: 668168 -161051 -856482 384659
3: 673486 -161051 -835210 384659
3: 692733 -486387 -966306 384659
2: -724064 417605 -251559 384659
3: 746691 -250563 -722370 384659
3: 751689 -51909 340736 384659
3: 751689 -123783 -428582 384659
3: 751689 -483153 -841852 384659
3: 769318 -83521 -75867 384659
2: -769318 584647 75867 384659
3: 775098 -483153 -797929 384659
3: 776254 -166859 -497794 384659
3: 778668 -250563 -644204 384659
3: 834537 -111843 -69938 384659
2: -834537 612969 69938 384659
3: 839256 -250563 -512435 384659
3: 853534 -584647 -702768 384659
1: 864688 889253 -966306 384659
3: 903992 -161051 -153714 384659
3: 918731 -62135 966306 384659
2: -918731 271949 -966306 384659
3: 937024 -161051 -83521 384659
3: 948209 -488477 -543048 384659
3: 953122 -182347 -135762 384659
3: 966306 -169065 -60401 384659
3: 966306 -574821 -558195 384659
3: 966306 -658845 -584647 384659
2: -966306 670191 60401 384659
2: -966306 746691 132651 384659
1: 966306 751689 -924220 384659
3: 966548 -230911 -248897 384659
3: 967861 -270215 -322102 384659
3: 995588 -161051 29478 384659
