Command line:- ../do_t 119 1000000
1: 1 5 934626 119
1: 1 7 647360 119
2: -1 7 -655452 119
3: 1 -7 -788970 119
4: -1 -7 797062 119
1: 1 17 224910 119
2: -1 17 -228242 119
3: 1 -17 -366520 119
4: -1 -17 369852 119
1: 1 35 72828 119
3: 1 -35 -214438 119
1: 1 49 31790 119
2: -1 49 -32946 119
3: 1 -49 -173400 119
4: -1 -49 174556 119
3: 1 -71 -141610 119
1: 1 85 -11662 119
3: 1 -85 -129948 119
1: 1 119 -28560 119
2: -1 119 28084 119
3: 1 -119 -113050 119
4: -1 -119 113526 119
1: 1 245 -50286 119
3: 1 -245 -91324 119
1: 1 289 -53410 119
2: -1 289 53214 119
3: 1 -289 -88200 119
4: -1 -289 88396 119
1: 1 355 -56644 119
3: 1 -355 -84966 119
2: -1 359 56644 119
4: -1 -359 84966 119
1: 1 497 -60690 119
3: 1 -497 -80920 119
1: 1 595 -62356 119
3: 1 -595 -79254 119
1: 1 833 -64770 119
2: -1 833 64702 119
3: 1 -833 -76840 119
4: -1 -833 76908 119
1: 1 1207 -66640 119
3: 1 -1207 -74970 119
1: 1 1445 -67326 119
3: 1 -1445 -74284 119
1: 1 2023 -68320 119
2: -1 2023 68292 119
3: 1 -2023 -73290 119
4: -1 -2023 73318 119
1: 1 2485 -68782 119
3: 1 -2485 -72828 119
2: -1 2513 68782 119
4: -1 -2513 72828 119
1: 1 3479 -69360 119
3: 1 -3479 -72250 119
1: 1 4165 -69598 119
3: 1 -4165 -72012 119
1: 1 6035 -69972 119
3: 1 -6035 -71638 119
2: -1 6103 69972 119
4: -1 -6103 71638 119
1: 1 8449 -70210 119
3: 1 -8449 -71400 119
1: 1 10115 -70308 119
3: 1 -10115 -71302 119
1: 1 14161 -70450 119
2: -1 14161 70446 119
3: 1 -14161 -71160 119
4: -1 -14161 71164 119
1: 1 17395 -70516 119
3: 1 -17395 -71094 119
2: -1 17591 70516 119
4: -1 -17591 71094 119
1: 1 20519 -70560 119
3: 1 -20519 -71050 119
1: 1 42245 -70686 119
3: 1 -42245 -70924 119
2: -1 42721 70686 119
4: -1 -42721 70924 119
1: 1 59143 -70720 119
3: 1 -59143 -70890 119
1: 1 70805 -70734 119
3: 1 -70805 -70876 119
1: 1 102595 -70756 119
3: 1 -102595 -70854 119
2: -1 103751 70756 119
4: -1 -103751 70854 119
1: 1 143633 -70770 119
3: 1 -143633 -70840 119
1: 1 295715 -70788 119
3: 1 -295715 -70822 119
2: -1 299047 70788 119
4: -1 -299047 70822 119
1: 1 718165 -70798 119
3: 1 -718165 -70812 119
2: -1 726257 70798 119
4: -1 -726257 70812 119
1: 2 7 321657 119
2: -2 7 -329749 119
3: 2 -7 -392462 119
4: -2 -7 400554 119
1: 2 17 111622 119
2: -2 17 -114954 119
3: 2 -17 -182427 119
4: -2 -17 185759 119
2: -2 19 -99127 119
4: -2 -19 169932 119
1: 2 49 15606 119
2: -2 49 -16762 119
3: 2 -49 -86411 119
4: -2 -49 87567 119
1: 2 119 -14399 119
2: -2 119 13923 119
3: 2 -119 -56406 119
4: -2 -119 56882 119
2: -2 133 16184 119
4: -2 -133 54621 119
1: 2 289 -26754 119
2: -2 289 26558 119
3: 2 -289 -44051 119
4: -2 -289 44247 119
2: -2 323 27489 119
4: -2 -323 43316 119
1: 2 353 -28322 119
3: 2 -353 -42483 119
2: -2 361 28322 119
4: -2 -361 42483 119
1: 2 833 -32402 119
2: -2 833 32334 119
3: 2 -833 -38403 119
4: -2 -833 38471 119
2: -2 931 32657 119
4: -2 -931 38148 119
1: 2 2023 -34167 119
2: -2 2023 34139 119
3: 2 -2023 -36638 119
4: -2 -2023 36666 119
2: -2 2261 34272 119
4: -2 -2261 36533 119
1: 2 2471 -34391 119
3: 2 -2471 -36414 119
2: -2 2527 34391 119
4: -2 -2527 36414 119
2: -2 5491 34937 119
4: -2 -5491 35868 119
1: 2 6001 -34986 119
3: 2 -6001 -35819 119
2: -2 6137 34986 119
4: -2 -6137 35819 119
1: 2 14161 -35226 119
2: -2 14161 35222 119
3: 2 -14161 -35579 119
4: -2 -14161 35583 119
2: -2 15827 35241 119
4: -2 -15827 35564 119
1: 2 17297 -35258 119
3: 2 -17297 -35547 119
2: -2 17689 35258 119
4: -2 -17689 35547 119
2: -2 38437 35336 119
4: -2 -38437 35469 119
1: 2 42007 -35343 119
3: 2 -42007 -35462 119
2: -2 42959 35343 119
4: -2 -42959 35462 119
1: 2 102017 -35378 119
3: 2 -102017 -35427 119
2: -2 104329 35378 119
4: -2 -104329 35427 119
2: -2 269059 35393 119
4: -2 -269059 35412 119
1: 2 294049 -35394 119
3: 2 -294049 -35411 119
2: -2 300713 35394 119
4: -2 -300713 35411 119
1: 2 714119 -35399 119
3: 2 -714119 -35406 119
2: -2 730303 35399 119
4: -2 -730303 35406 119
4: -3 -3 594762 119
4: -3 -21 105196 119
3: 3 -27 -84966 119
2: -3 33 -28322 119
2: -3 51 -9996 119
4: -3 -147 35258 119
3: 3 -189 -32368 119
2: -3 231 16184 119
3: 3 -351 -28322 119
2: -3 357 18802 119
4: -3 -363 28322 119
1: 3 459 -19992 119
4: -3 -561 26656 119
4: -3 -867 25578 119
3: 3 -1323 -24854 119
2: -3 1617 22542 119
3: 3 -2457 -24276 119
2: -3 2499 22916 119
4: -3 -2541 24276 119
1: 3 3213 -23086 119
4: -3 -3927 24038 119
1: 3 5967 -23324 119
4: -3 -6069 23884 119
