Command line:- ../do_t 4199 1000000
1: 2 2527 -146523 4199
1: 6 2535 -104329 4199
1: 12 2601 -244036 4199
1: 13 2873 -846906 4199
2: -13 2873 822358 4199
1: 19 2873 -583338 4199
2: -19 2873 558790 4199
2: -26 2023 -849433 4199
2: -26 2261 -403104 4199
2: -26 2363 -239343 4199
2: -26 2527 -3757 4199
2: -26 2641 142766 4199
1: 26 2873 -429590 4199
2: -26 2873 405042 4199
1: 26 3211 -741285 4199
2: -26 3211 719321 4199
1: 26 3281 -797810 4199
1: 34 1859 902139 4199
2: -34 1937 -797810 4199
1: 34 2717 -201552 4199
2: -34 2831 272935 4199
1: 34 3179 -549081 4199
1: 34 3211 -569449 4199
2: -34 3211 547485 4199
1: 34 3757 -863512 4199
2: -34 3757 844740 4199
1: 34 3971 -956709 4199
1: 38 2873 -297806 4199
2: -38 2873 273258 4199
1: 38 3757 -773604 4199
2: -38 3757 754832 4199
2: -38 3887 807177 4199
1: 39 2601 -84474 4199
1: 39 3249 -518466 4199
2: -39 4335 938600 4199
1: 44 4693 -935493 4199
2: -44 4693 920465 4199
1: 51 1995 436696 4199
1: 51 2535 -24548 4199
1: 51 3705 -562666 4199
1: 51 4335 -732108 4199
1: 51 5415 -930852 4199
1: 52 2873 -220932 4199
2: -52 2873 196384 4199
2: -52 6137 993616 4199
1: 56 6137 -933725 4199
2: -56 6137 922233 4199
1: 57 1989 394706 4199
1: 64 8177 -957372 4199
2: -68 1729 -613054 4199
2: -68 2033 -327522 4199
1: 68 3757 -436449 4199
2: -68 3757 417677 4199
1: 68 4693 -607971 4199
2: -68 4693 592943 4199
1: 68 9529 -957372 4199
2: -68 9737 957372 4199
1: 69 8619 -908276 4199
2: -72 9633 900524 4199
1: 76 1445 838071 4199
1: 76 1805 439569 4199
1: 76 2873 -155040 4199
2: -76 2873 130492 4199
1: 76 3757 -391495 4199
2: -76 3757 372723 4199
1: 76 4693 -544765 4199
2: -76 4693 529737 4199
1: 76 6137 -689520 4199
2: -76 6137 678028 4199
2: -76 10309 873069 4199
2: -76 13481 940576 4199
1: 76 14365 -958987 4199
2: -76 17629 992199 4199
2: -77 10127 856596 4199
1: 78 1653 571064 4199
2: -78 2907 138567 4199
1: 78 5577 -625974 4199
