Command line:- ../do_t 1547 1000000
1: 2 833 678028 1547
2: -2 833 -689520 1547
2: -2 845 -594762 1547
2: -2 1105 952952 1547
1: 3 765 844662 1547
1: 3 819 525980 1547
1: 4 697 985439 1547
1: 4 833 336141 1547
2: -4 833 -347633 1547
1: 6 663 790517 1547
2: -6 693 -683774 1547
2: -6 1071 261443 1547
2: -6 1287 552279 1547
1: 7 637 773942 1547
1: 7 661 683774 1547
1: 7 833 189618 1547
2: -7 845 -173978 1547
2: -7 1105 269178 1547
2: -7 1235 420784 1547
2: -7 1445 608062 1547
2: -7 1615 723996 1547
2: -7 1715 781456 1547
1: 8 629 703885 1547
1: 8 637 676260 1547
2: -8 637 -691288 1547
1: 8 845 141610 1547
1: 8 1445 -538265 1547
1: 8 1813 -732615 1547
1: 8 2125 -844662 1547
1: 8 2405 -920465 1547
2: -9 867 -99372 1547
1: 9 1173 -281554 1547
1: 9 3549 -983178 1547
1: 11 2873 -738038 1547
2: -11 2873 734706 1547
2: -12 1365 315588 1547
2: -12 4641 796705 1547
2: -12 12129 920465 1547
2: -12 17745 944741 1547
1: 12 28917 -965328 1547
2: -12 30345 966511 1547
2: -12 45717 976820 1547
2: -12 60333 981750 1547
1: 12 78489 -985439 1547
2: -12 79305 985439 1547
2: -12 157677 991270 1547
2: -12 269637 993720 1547
1: 12 375921 -994721 1547
2: -12 394485 994812 1547
3: 12 -420147 -999362 1547
4: -12 -424515 999362 1547
4: -12 -552279 998855 1547
2: -12 594321 995605 1547
3: 12 -912951 -998179 1547
1: 13 497 788970 1547
1: 13 595 507416 1547
1: 13 833 99450 1547
2: -13 833 -110942 1547
1: 13 845 84966 1547
1: 13 1183 -202300 1547
2: -13 1183 194208 1547
1: 13 1207 -216580 1547
1: 13 1445 -332514 1547
1: 13 2023 -500500 1547
2: -13 2023 495768 1547
1: 13 2485 -578578 1547
2: -13 2513 578578 1547
1: 13 2873 -624750 1547
2: -13 2873 621418 1547
1: 13 3479 -676260 1547
1: 13 4165 -716482 1547
1: 13 5915 -776832 1547
1: 13 6035 -779688 1547
2: -13 6103 779688 1547
1: 13 8281 -817870 1547
2: -13 8281 816714 1547
1: 13 8449 -819910 1547
1: 13 10115 -836472 1547
1: 13 11999 -849660 1547
3: 13 -11999 -991270 1547
1: 13 14161 -860470 1547
2: -13 14161 859794 1547
3: 13 -14161 -980460 1547
4: -13 -14161 981136 1547
1: 13 14365 -861322 1547
3: 13 -14365 -979608 1547
1: 13 17395 -871624 1547
3: 13 -17395 -969306 1547
2: -13 17591 871624 1547
4: -13 -17591 969306 1547
1: 13 20111 -878220 1547
2: -13 20111 877744 1547
3: 13 -20111 -962710 1547
4: -13 -20111 963186 1547
1: 13 20519 -879060 1547
3: 13 -20519 -961870 1547
1: 13 41405 -899946 1547
3: 13 -41405 -940984 1547
1: 13 42245 -900354 1547
3: 13 -42245 -940576 1547
2: -13 42721 900354 1547
4: -13 -42721 940576 1547
