Command line:- ../do_t 1859 1000000
2: -1 1183 981552 1859
1: 3 1287 -773344 1859
1: 6 1365 -531674 1859
2: -8 1309 314171 1859
1: 8 1573 -632736 1859
2: -8 1573 623948 1859
2: -9 2145 918346 1859
1: 11 845 494494 1859
1: 11 1313 -241670 1859
1: 11 1573 -461370 1859
2: -11 1573 452582 1859
1: 11 2197 -776490 1859
2: -11 2197 770198 1859
1: 12 1089 28561 1859
1: 12 1521 -388531 1859
1: 13 671 870012 1859
1: 13 847 413036 1859
2: -14 715 -700843 1859
2: -14 2717 725010 1859
2: -16 869 -314171 1859
1: 16 1573 -318565 1859
2: -16 1573 309777 1859
1: 16 2197 -534820 1859
2: -16 2197 528528 1859
2: -17 2353 531674 1859
2: -17 48763 993044 1859
1: 17 50531 -994136 1859
2: -18 4719 731601 1859
1: 18 60951 -942513 1859
2: -18 61743 942513 1859
4: -18 -72501 974831 1859
1: 18 85683 -947551 1859
1: 18 797511 -958633 1859
3: 18 -936429 -961103 1859
4: -18 -948597 961103 1859
3: 19 -32279 -940654 1859
3: 19 -45617 -931528 1859
1: 19 828269 -908226 1859
3: 21 -19305 -870012 1859
4: -21 -61347 837902 1859
1: 21 187083 -817960 1859
3: 21 -771147 -824010 1859
1: 21 791505 -821678 1859
2: -21 803517 821678 1859
1: 22 503 942513 1859
2: -22 511 -942513 1859
2: -22 847 -257049 1859
2: -22 949 -145002 1859
2: -22 1183 39039 1859
1: 22 1573 -232882 1859
2: -22 1573 224094 1859
1: 22 2197 -389818 1859
2: -22 2197 383526 1859
1: 22 6539 -652509 1859
3: 22 -6539 -918346 1859
2: -22 6643 652509 1859
4: -22 -6643 918346 1859
2: -22 8833 685464 1859
4: -22 -8833 885391 1859
2: -22 11011 705237 1859
4: -22 -11011 865618 1859
2: -22 12337 713856 1859
4: -22 -12337 856999 1859
2: -22 15379 728013 1859
4: -22 -15379 842842 1859
1: 22 20449 -742924 1859
2: -22 20449 742248 1859
3: 22 -20449 -827931 1859
4: -22 -20449 828607 1859
1: 22 28561 -754996 1859
2: -22 28561 754512 1859
3: 22 -28561 -815859 1859
4: -22 -28561 816343 1859
1: 22 60863 -771147 1859
3: 22 -60863 -799708 1859
2: -22 61831 771147 1859
4: -22 -61831 799708 1859
1: 22 85007 -775203 1859
