Command line:- ../do_t 382109 1000000
1: 988 228599 876603 382109
2: -2261 229957 -298792 382109
2: -4046 229957 -727207 382109
2: -5491 229957 -870012 382109
1: 9386 223685 634933 382109
2: -9386 231133 -634933 382109
1: 12138 227409 -793117 382109
1: 12138 227643 -854126 382109
1: 15379 225131 -425334 382109
2: -16473 239343 645918 382109
1: 19773 224553 -525616 382109
2: -21294 237405 -54587 382109
1: 22253 220571 -30758 382109
2: -22344 236691 -208715 382109
1: 24206 214795 672282 382109
2: -24276 239343 46137 382109
2: -25181 245119 683774 382109
2: -28322 247247 693576 382109
1: 28561 214795 362474 382109
1: 30056 214795 276822 382109
2: -30056 232883 -876603 382109
2: -31654 235079 -671840 382109
2: -31654 244205 215137 382109
1: 34476 212415 305045 382109
2: -36414 237405 -542659 382109
2: -37349 240737 -281580 382109
2: -40586 258077 876603 382109
1: 42483 202293 847704 382109
2: -42483 239343 -496522 382109
1: 42959 215137 -241332 382109
2: -42959 239473 -495040 382109
2: -42959 244205 -156156 382109
2: -43928 261443 928473 382109
1: 44764 199927 932603 382109
1: 45486 214149 -230685 382109
1: 45486 219765 -634933 382109
1: 47396 224903 -999635 382109
2: -47481 236691 -751374 382109
2: -47481 257049 525844 382109
1: 48412 199927 752267 382109
1: 48412 219127 -634933 382109
2: -48412 259559 634933 382109
1: 48841 199927 732830 382109
1: 48841 214795 -352534 382109
1: 49096 206635 215306 382109
1: 49096 208715 64974 382109
1: 49419 218127 -584402 382109
1: 51376 214795 -402220 382109
1: 51646 199927 613700 382109
1: 52598 217379 -584402 382109
2: -52598 261307 584402 382109
1: 52649 194579 971074 382109
1: 53067 202293 390728 382109
1: 53067 205479 171366 382109
1: 53067 223839 -971074 382109
1: 54587 199927 501942 382109
2: -54663 257049 307496 382109
1: 55233 214149 -430612 382109
2: -55594 269059 856830 382109
1: 56644 199927 430673 382109
2: -56644 234403 -963300 382109
2: -56644 261443 469300 382109
2: -56644 272935 992199 382109
1: 57122 205751 41344 382109
2: -57122 269059 804878 382109
1: 57722 199927 395352 382109
2: -60333 257049 171836 382109
1: 61009 199927 295358 382109
2: -61009 269059 684450 382109
1: 61516 208715 -230622 382109
2: -61516 269059 669864 382109
2: -62699 236113 -899080 382109
2: -63206 269059 622934 382109
1: 63308 199927 231591 382109
1: 63574 213109 -499681 382109
1: 64736 208715 -288743 382109
1: 64974 189873 793117 382109
2: -64974 238425 -793117 382109
1: 65702 189601 784329 382109
2: -65702 238697 -784329 382109
2: -65702 269059 558038 382109
2: -65892 239343 -753571 382109
2: -66759 276165 799708 382109
2: -67507 269059 514098 382109
1: 67626 189525 722813 382109
2: -68068 269059 500916 382109
1: 68306 192185 542659 382109
1: 70756 199927 53465 382109
1: 70756 208715 -383214 382109
2: -70756 261443 152932 382109
1: 71383 199087 83486 382109
1: 71383 199927 40166 382109
2: -71383 255731 -83486 382109
1: 72471 217503 -797810 382109
2: -72618 257049 -49419 382109
1: 72828 183027 936936 382109
2: -72828 254163 -166972 382109
2: -73644 236691 -922740 382109
2: -74698 269059 360126 382109
1: 74851 186745 657020 382109
2: -74919 265335 224094 382109
1: 75088 220507 -938119 382109
2: -76874 249067 -417430 382109
2: -76874 252655 -276640 382109
2: -76874 270725 375687 382109
1: 78988 199927 -104329 382109
1: 79781 192185 246064 382109
1: 79781 199927 -117810 382109
1: 79781 218785 -896376 382109
2: -79781 269059 268034 382109
2: -79781 289541 896376 382109
2: -80444 269059 256880 382109
2: -80864 289835 879138 382109
2: -83356 288439 784329 382109
1: 83486 186745 427329 382109
1: 83486 214795 -770406 382109
2: -83486 261443 -40698 382109
2: -84474 237405 -933725 382109
2: -84966 264537 41743 382109
1: 85683 202293 -307496 382109
2: -85683 239343 -861322 382109
2: -85683 259233 -141512 382109
1: 85918 184093 498719 382109
2: -85918 269059 171366 382109
2: -85918 291023 799708 382109
1: 87856 214795 -799708 382109
1: 89063 199927 -257754 382109
1: 90168 214179 -793117 382109
2: -90168 294147 793117 382109
2: -90307 289289 667888 382109
2: -92274 276165 286195 382109
2: -96668 269059 31616 382109
1: 97682 199927 -363888 382109
2: -97682 300713 804609 382109
2: -98294 305045 887757 382109
1: 98553 177327 522886 382109
2: -99127 292201 586872 382109
1: 99541 199927 -384370 382109
2: -103246 269059 -39546 382109
1: 103292 199927 -423453 382109
1: 103607 190463 -97682 382109
2: -104104 269059 -48165 382109
1: 104329 199927 -433762 382109
