Command line:- ../do_t 133 1000000
1: 1 7 914774 133
2: -1 7 -924882 133
1: 1 19 281162 133
2: -1 19 -284886 133
3: 1 -19 -458052 133
4: -1 -19 461776 133
1: 1 49 54872 133
2: -1 49 -56316 133
3: 1 -49 -231762 133
4: -1 -49 233206 133
1: 1 133 -35644 133
2: -1 133 35112 133
3: 1 -133 -141246 133
4: -1 -133 141778 133
1: 1 361 -68992 133
2: -1 361 68796 133
3: 1 -361 -107898 133
4: -1 -361 108094 133
1: 1 397 -70756 133
3: 1 -397 -106134 133
2: -1 401 70756 133
4: -1 -401 106134 133
1: 1 931 -80902 133
2: -1 931 80826 133
3: 1 -931 -95988 133
4: -1 -931 96064 133
1: 1 2527 -85666 133
2: -1 2527 85638 133
3: 1 -2527 -91224 133
4: -1 -2527 91252 133
1: 1 2779 -85918 133
3: 1 -2779 -90972 133
2: -1 2807 85918 133
4: -1 -2807 90972 133
1: 1 7543 -87514 133
3: 1 -7543 -89376 133
2: -1 7619 87514 133
4: -1 -7619 89376 133
1: 1 17689 -88048 133
2: -1 17689 88044 133
3: 1 -17689 -88842 133
4: -1 -17689 88846 133
1: 1 19453 -88084 133
3: 1 -19453 -88806 133
2: -1 19649 88084 133
4: -1 -19649 88806 133
1: 1 52801 -88312 133
3: 1 -52801 -88578 133
2: -1 53333 88312 133
4: -1 -53333 88578 133
1: 1 143317 -88396 133
3: 1 -143317 -88494 133
2: -1 144761 88396 133
4: -1 -144761 88494 133
1: 1 369607 -88426 133
3: 1 -369607 -88464 133
2: -1 373331 88426 133
4: -1 -373331 88464 133
1: 2 5 654493 133
3: 2 -5 -742938 133
1: 2 7 454860 133
2: -2 7 -464968 133
3: 2 -7 -543305 133
4: -2 -7 553413 133
2: -2 13 -229957 133
4: -2 -13 318402 133
1: 2 19 139650 133
2: -2 19 -143374 133
3: 2 -19 -228095 133
4: -2 -19 231819 133
2: -2 31 -70756 133
4: -2 -31 159201 133
1: 2 35 55594 133
3: 2 -35 -144039 133
1: 2 49 27075 133
2: -2 49 -28519 133
3: 2 -49 -115520 133
4: -2 -49 116964 133
3: 2 -79 -88445 133
2: -2 91 5054 133
4: -2 -91 83391 133
1: 2 95 -7448 133
3: 2 -95 -80997 133
1: 2 133 -17955 133
2: -2 133 17423 133
3: 2 -133 -70490 133
4: -2 -133 71022 133
2: -2 217 27797 133
4: -2 -217 60648 133
1: 2 245 -29963 133
3: 2 -245 -58482 133
2: -2 247 29792 133
4: -2 -247 58653 133
1: 2 361 -34545 133
2: -2 361 34349 133
3: 2 -361 -53900 133
