Command line:- ../do_t 3773 1000000
2: -4 2303 290521 3773
1: 7 2299 -168070 3773
1: 9 2541 -873964 3773
1: 11 2401 -381612 3773
2: -11 2401 357896 3773
2: -18 2541 420175 3773
1: 22 2009 396165 3773
1: 22 2401 -196735 3773
2: -22 2401 173019 3773
1: 22 3025 -823543 3773
1: 24 2499 -290521 3773
1: 24 3003 -739508 3773
2: -28 3575 924385 3773
2: -33 3087 565950 3773
1: 33 3993 -941192 3773
1: 42 1815 403368 3773
2: -44 5831 984753 3773
1: 49 2519 -158466 3773
2: -49 2563 158466 3773
1: 59 2783 -235298 3773
1: 63 1353 739508 3773
1: 66 7119 -739508 3773
2: -66 7287 739508 3773
1: 72 1155 924385 3773
1: 72 7203 -681835 3773
1: 72 17787 -864360 3773
1: 72 34419 -924385 3773
2: -72 352947 982157 3773
2: -72 871563 985978 3773
3: 76 -117649 -954327 3773
4: -76 -117649 954811 3773
1: 77 3509 -336140 3773
1: 77 17545 -806736 3773
2: -77 18029 806736 3773
1: 77 117649 -906840 3773
2: -77 117649 906356 3773
3: 77 -117649 -941930 3773
4: -77 -117649 942414 3773
1: 77 588245 -920876 3773
3: 77 -588245 -927894 3773
4: -78 -176715 924385 3773
4: -78 -324135 918995 3773
4: -79 -171157 913066 3773
4: -81 -32307 941192 3773
1: 81 124509 -862988 3773
4: -81 -486717 882882 3773
1: 82 7889 -622545 3773
1: 82 232897 -859705 3773
3: 82 -546595 -871563 3773
4: -82 -562667 871563 3773
1: 84 3267 -268912 3773
1: 84 17523 -739508 3773
2: -84 18051 739508 3773
3: 84 -192753 -857157 3773
4: -84 -198561 857157 3773
2: -87 7623 571438 3773
2: -88 1331 -588245 3773
2: -88 1715 -275429 3773
1: 88 7091 -554631 3773
4: -88 -12005 963732 3773
2: -88 45619 768075 3773
3: 88 -49637 -845152 3773
2: -88 65219 780325 3773
2: -88 84035 786709 3773
3: 88 -122573 -823543 3773
4: -88 -126445 823543 3773
4: -88 -319333 814660 3773
1: 88 347459 -803649 3773
4: -88 -456533 812910 3773
4: -88 -588245 811998 3773
1: 88 858011 -806736 3773
