Command line:- ../do_t 4913 1000000
1: 126 250563 -946764 4913
4: -129 -250563 946764 4913
3: 134 -144211 -918731 4913
2: -138 66759 835210 4913
2: -154 11849 584647 4913
1: 156 309519 -766428 4913
4: -159 -309519 766428 4913
2: -163 643603 736950 4913
4: -168 -65025 751689 4913
4: -182 -396797 668168 4913
4: -183 -229755 668168 4913
1: 226 447083 -530604 4913
4: -229 -447083 530604 4913
3: 247 -111265 -501126 4913
2: -252 250563 473093 4913
4: -254 -55777 501126 4913
3: 256 -11849 -584647 4913
3: 258 -250563 -473093 4913
1: 282 117045 -417605 4913
2: -288 885207 417605 4913
1: 291 574821 -412692 4913
4: -294 -574821 412692 4913
1: 296 584647 -405756 4913
4: -299 -584647 405756 4913
1: 337 41905 -334084 4913
1: 381 751689 -315588 4913
4: -384 -751689 315588 4913
4: -388 -41905 334084 4913
1: 422 417605 -284087 4913
4: -428 -417605 284087 4913
1: 434 28033 -250563 4913
1: 471 928557 -255476 4913
4: -474 -928557 255476 4913
1: 478 362117 -250563 4913
3: 486 -306051 -250563 4913
4: -536 -28033 250563 4913
1: 711 167331 -167042 4913
2: -719 667879 167042 4913
4: -726 -668457 167042 4913
3: 734 -166753 -167042 4913
2: -1384 82943 83521 4913
1: 1404 84099 -83521 4913
3: 1486 -82943 -83521 4913
4: -1506 -84099 83521 4913
1: 12138 33 -584647 4913
4: -12138 -135 584647 4913
1: 14161 47 -501126 4913
4: -14161 -149 501126 4913
3: 20519 -91 334084 4913
2: -20519 193 -334084 4913
1: 28322 145 -250563 4913
4: -28322 -247 250563 4913
3: 41038 -233 167042 4913
2: -41038 335 -167042 4913
1: 42483 243 -167042 4913
4: -42483 -345 167042 4913
3: 82076 -517 83521 4913
2: -82076 619 -83521 4913
3: 83232 -105 417605 4913
1: 84966 537 -83521 4913
4: -84966 -639 83521 4913
4: -115022 -77 668168 4913
1: 167042 65 -710651 4913
3: 167042 -65 709206 4913
2: -167042 71 -709206 4913
4: -167042 -71 710651 4913
4: -198543 -75 668168 4913
3: 250563 -99 472804 4913
2: -250563 105 -472804 4913
3: 291601 -281 167042 4913
4: -293046 -297 167042 4913
2: -305762 197 -250563 4913
3: 334084 -133 354603 4913
2: -334084 139 -354603 4913
1: 362406 189 -250563 4913
3: 501126 -201 236402 4913
2: -501126 207 -236402 4913
1: 515287 95 -501126 4913
3: 542742 -57 835210 4913
2: -584358 117 -417605 4913
4: -621928 -65 751689 4913
2: -668168 55 -887230 4913
3: 918731 -53 903414 4913
1: 928557 75 -638690 4913
2: -959769 291 -167042 4913
1: 961214 287 -167042 4913
