Command line:- ../do_t 63869 1000000
2: -14534 122825 899079 63869
1: 18252 250563 -979132 63869
1: 20956 131495 -751689 63869
2: -21801 545343 854862 63869
2: -24674 97393 417605 63869
4: -24843 -250563 979132 63869
2: -24843 259233 668168 63869
3: 26026 -424541 -835210 63869
3: 27716 -122825 -899079 63869
1: 29237 378301 -648516 63869
1: 29406 169065 -584647 63869
4: -31772 -298537 751689 63869
3: 33462 -259233 -668168 63869
3: 33969 -751689 -620194 63869
4: -35828 -378301 648516 63869
3: 36414 -69459 -751689 63869
4: -36414 -154635 751689 63869
2: -36504 250563 440725 63869
1: 36673 239003 -501126 63869
4: -38194 -131495 751689 63869
1: 40171 65065 -334084 63869
2: -40171 159029 334084 63869
1: 40729 66181 -334084 63869
1: 43264 289867 -437257 63869
4: -43771 -740129 501126 63869
1: 44616 236691 -417605 63869
2: -44954 299693 368475 63869
4: -46644 -169065 584647 63869
3: 46818 -57291 -584647 63869
4: -46818 -166803 584647 63869
1: 46982 584647 -419628 63869
1: 47827 594473 -412692 63869
3: 49686 -250563 -440725 63869
4: -53573 -584647 419628 63869
4: -54418 -594473 412692 63869
3: 54621 -48165 -501126 63869
4: -54621 -175929 501126 63869
4: -56446 -289867 437257 63869
2: -56784 368475 299693 63869
3: 58136 -299693 -368475 63869
1: 59488 567307 -334084 63869
4: -61854 -236691 417605 63869
2: -63882 16473 -918731 63869
1: 64558 60401 -250563 63869
2: -65234 417605 264435 63869
3: 66181 -6929 -835210 63869
4: -68107 -567307 334084 63869
1: 68614 437257 -289867 63869
3: 69966 -368475 -299693 63869
1: 70642 14161 -83521 63869
1: 75712 918731 -267036 63869
3: 78416 -417605 -264435 63869
1: 80106 394485 -250563 63869
1: 80342 18083 -167042 63869
2: -80342 206011 167042 63869
4: -80613 -71961 501126 63869
4: -81796 -437257 289867 63869
3: 82134 -607767 -250563 63869
4: -82303 -918731 267036 63869
2: -90246 285243 167042 63869
4: -97344 -394485 250563 63869
3: 105196 -845 668168 63869
2: -105196 18083 -668168 63869
1: 106132 2023 -584647 63869
1: 109242 15717 -250563 63869
4: -109242 -239811 250563 63869
2: -112421 22139 -501126 63869
3: 114413 -118201 -167042 63869
3: 117962 -2023 584647 63869
3: 120224 -2197 584647 63869
2: -120224 19435 -584647 63869
1: 129792 215883 -167042 63869
2: -148044 899079 122825 63869
4: -152776 -66181 334084 63869
3: 153452 -14161 83521 63869
4: -153959 -382925 167042 63869
4: -160212 -16473 918731 63869
3: 160684 -75881 -83521 63869
2: -160684 299975 83521 63869
3: 161226 -899079 -122825 63869
1: 163863 79599 -167042 63869
4: -163863 -303693 167042 63869
1: 167042 4901 -832031 63869
3: 167042 -4901 587826 63869
2: -167042 18083 -587826 63869
4: -167042 -18083 832031 63869
2: -170221 44447 -167042 63869
3: 176868 -5577 555169 63869
2: -176868 18759 -555169 63869
4: -203456 -18421 751689 63869
3: 210392 -10309 334084 63869
2: -210392 27547 -334084 63869
2: -213616 988091 83521 63869
1: 221663 11323 -501126 63869
4: -221663 -28561 501126 63869
3: 230854 -988091 -83521 63869
3: 250563 -10647 391884 63869
2: -250563 23829 -391884 63869
4: -288652 -60401 250563 63869
1: 327726 271245 -83521 63869
4: -327726 -495339 83521 63869
3: 334084 -16393 293913 63869
2: -334084 29575 -293913 63869
1: 414426 53235 -167042 63869
1: 417768 181203 -83521 63869
3: 420784 -29237 167042 63869
2: -420784 46475 -167042 63869
1: 443326 31265 -250563 63869
4: -443326 -48503 250563 63869
3: 501126 -27885 195942 63869
2: -501126 41067 -195942 63869
3: 518466 -7605 835210 63869
3: 535806 -14703 417605 63869
2: -555169 44785 -176868 63869
2: -558926 33293 -250563 63869
4: -641862 -181203 83521 63869
1: 664989 51207 -167042 63869
4: -664989 -68445 167042 63869
2: -711518 25519 -334084 63869
3: 751689 -45123 130628 63869
2: -751689 58305 -130628 63869
2: -769029 10647 -835210 63869
3: 841568 -67093 83521 63869
2: -841568 84331 -83521 63869
1: 871624 9971 -751689 63869
1: 918731 11323 -667590 63869
