Command line:- ../do_t 273581 1000000
2: -2527 165869 633556 273581
2: -2904 165699 302379 273581
1: 3179 164255 -987602 273581
1: 5324 164255 -956879 273581
1: 6069 159885 708092 273581
2: -6468 165699 -362032 273581
1: 8778 158661 531069 273581
1: 8778 159201 384659 273581
2: -8778 165597 -531069 273581
2: -9044 168487 177023 273581
1: 9248 162811 -586971 273581
1: 10241 158083 455202 273581
2: -10241 166175 -455202 273581
1: 10336 155771 986271 273581
1: 10982 158389 294063 273581
1: 11552 155771 781297 273581
2: -11628 170247 273581 273581
1: 12138 156849 480491 273581
1: 12138 158631 128744 273581
2: -12138 165699 -614922 273581
1: 12342 159201 2057 273581
2: -12716 168511 -126445 273581
1: 13167 156927 354046 273581
2: -13167 167331 -354046 273581
1: 13566 160083 -234498 273581
1: 14161 158389 15884 273581
2: -14161 172667 436810 273581
1: 14399 161051 -429590 273581
1: 14641 155771 413706 273581
2: -14641 167195 -429590 273581
2: -14641 174097 600780 273581
2: -14641 174845 707560 273581
2: -15162 166617 -532763 273581
1: 16473 159201 -234256 273581
1: 17391 159201 -271524 273581
1: 17689 158389 -175780 273581
2: -17689 177023 693022 273581
1: 18088 155771 151734 273581
1: 18392 161051 -538118 273581
1: 18634 153425 428043 273581
1: 18634 154105 337535 273581
2: -19992 181203 935693 273581
1: 20216 155771 34606 273581
1: 20482 154037 227601 273581
2: -20706 178695 633556 273581
1: 21964 146927 978285 273581
1: 21964 156695 -144837 273581
1: 21964 164255 -922383 273581
2: -22344 165699 -746691 273581
1: 22627 159239 -430122 273581
2: -22627 177023 357238 273581
1: 23716 161051 -625974 273581
2: -24206 174845 89661 273581
1: 24548 155771 -141086 273581
2: -24548 177023 263109 273581
1: 25289 158389 -406980 273581
1: 25432 149107 480491 273581
2: -25432 178619 354046 273581
1: 26201 145079 845614 273581
2: -26334 172533 -177023 273581
1: 27797 151147 167706 273581
2: -27797 173111 -167706 273581
1: 28322 158389 -464607 273581
2: -28322 165053 -834537 273581
2: -28322 167827 -602338 273581
2: -28322 177023 115368 273581
2: -28322 184471 644204 273581
1: 29282 155771 -273638 273581
2: -29282 170753 -382347 273581
2: -29282 174097 -129523 273581
2: -29282 180557 332367 273581
2: -29282 184093 571463 273581
2: -29282 187187 773262 273581
1: 29766 148257 337953 273581
1: 30324 143055 773311 273581
2: -30324 181203 335412 273581
1: 30723 149991 151734 273581
