Command line:- ../do_t 177023 1000000
1: 722 105875 102487 177023
2: -5586 107217 -322102 177023
2: -12996 115797 456533 177023
2: -16093 123823 878460 177023
1: 16758 109263 -834537 177023
1: 17689 102487 -289432 177023
2: -17689 102487 -933636 177023
1: 20207 88445 849178 177023
1: 21538 101479 -278179 177023
1: 23826 113337 -966306 177023
2: -23826 135681 966306 177023
2: -25137 131043 702768 177023
2: -26068 138985 966306 177023
2: -27588 128877 512435 177023
1: 29282 88445 366388 177023
1: 30723 115881 -966306 177023
2: -30723 146205 966306 177023
2: -31407 111573 -322102 177023
2: -33212 133133 483153 177023
1: 35378 102487 -450483 177023
2: -35378 102487 -772585 177023
2: -35378 109505 -439230 177023
2: -35378 126445 212960 177023
2: -35378 153307 951665 177023
1: 35739 107751 -644204 177023
2: -35739 141267 644204 177023
2: -38346 159201 966306 177023
1: 38808 98553 -322102 177023
2: -40432 98857 -922383 177023
1: 43923 120213 -936782 177023
2: -43923 167865 936782 177023
1: 46222 116375 -834537 177023
1: 47652 102165 -483153 177023
2: -47652 146853 483153 177023
2: -47726 146927 483153 177023
1: 53067 77319 292820 177023
1: 53067 83853 39930 177023
1: 53067 103455 -527076 177023
2: -57399 160083 527076 177023
1: 57722 73205 367840 177023
1: 59774 64619 717409 177023
2: -59774 102163 -717409 177023
2: -60648 131769 25410 177023
1: 61446 100719 -483153 177023
2: -61446 161367 483153 177023
2: -62814 102003 -717409 177023
1: 64372 88445 -219615 177023
1: 65219 108661 -630894 177023
2: -65219 179417 630894 177023
2: -66424 190817 717409 177023
2: -68894 186637 644204 177023
2: -70756 121121 -244904 177023
2: -70756 190333 649407 177023
2: -70756 209209 790614 177023
1: 71478 90993 -322102 177023
2: -71478 158025 322102 177023
1: 72618 83391 -161051 177023
2: -74366 161051 328251 177023
1: 77077 59185 556358 177023
2: -77077 107597 -556358 177023
1: 78337 73205 45738 177023
2: -78529 118769 -316778 177023
1: 79002 53067 805255 177023
2: -81928 240065 805255 177023
2: -84623 214795 644204 177023
1: 85918 97163 -475167 177023
2: -85918 278179 902055 177023
1: 87362 144305 -907742 177023
2: -87362 285817 907742 177023
1: 87846 96387 -468391 177023
2: -87846 191691 468391 177023
2: -88578 283503 885115 177023
2: -89376 131769 -135641 177023
2: -89528 148225 73205 177023
2: -90972 337953 995588 177023
2: -91238 122815 -278179 177023
1: 92169 85557 -322102 177023
2: -92169 176529 322102 177023
1: 95893 161051 -945516 177023
2: -95893 161051 167200 177023
2: -96558 159201 146410 177023
1: 96824 78529 -227601 177023
2: -100548 307461 816145 177023
1: 102487 123823 -723580 177023
1: 102487 161051 -909720 177023
2: -102487 161051 131404 177023
1: 104272 138985 -805255 177023
1: 105149 87001 -391314 177023
2: -105149 201077 391314 177023
1: 106134 43197 702768 177023
1: 106134 75867 -235587 177023
1: 106134 117249 -673486 177023
1: 106134 119427 -688127 177023
1: 106134 184569 -966306 177023
2: -106134 430353 966306 177023
1: 107996 137093 -783959 177023
2: -108339 269667 644204 177023
2: -109383 460845 966306 177023
2: -111188 95893 -805255 177023
1: 111188 196441 -966306 177023
2: -111188 479465 966306 177023
2: -112014 488433 966306 177023
1: 112651 48013 380666 177023
2: -112651 118769 -380666 177023
1: 113582 218405 -995588 177023
2: -117128 107065 -574750 177023
2: -117128 442225 874709 177023
2: -117686 296989 644204 177023
1: 120879 53067 117128 177023
1: 121296 92169 -483153 177023
1: 122452 108661 -605605 177023
1: 122892 37905 644204 177023
1: 126616 43681 336743 177023
1: 127547 33275 809248 177023
2: -127794 483153 826826 177023
1: 128744 300713 -995588 177023
2: -128744 866761 995588 177023
1: 128877 88935 -468512 177023
1: 130438 73283 -315447 177023
2: -130438 214795 315447 177023
2: -131271 297297 556358 177023
2: -136458 379335 661507 177023
1: 138624 118041 -644204 177023
1: 139612 88445 -483153 177023
1: 141512 28721 805255 177023
1: 141512 46585 71874 177023
1: 141512 80465 -424589 177023
1: 141512 225665 -863819 177023
1: 141512 389785 -966306 177023
2: -141512 740641 863819 177023
1: 142956 57477 -161051 177023
2: -142956 191541 161051 177023
1: 143374 422009 -966306 177023
1: 147098 190333 -800052 177023
1: 149093 211871 -819896 177023
2: -149093 326095 516428 177023
2: -149093 754435 819896 177023
2: -150898 742007 805255 177023
1: 151734 159201 -737374 177023
2: -151998 113715 -483153 177023
