Command line:- ../do_t 16093 1000000
1: 49 9317 905388 16093
2: -66 9747 130438 16093
1: 76 9163 859826 16093
2: -98 9025 -980947 16093
1: 98 9317 424897 16093
2: -98 9317 -536085 16093
2: -133 8833 -965580 16093
2: -147 9747 29282 16093
1: 171 10527 -675906 16093
2: -189 11319 960982 16093
1: 209 11221 -910404 16093
2: -209 11417 910404 16093
2: -228 10395 354046 16093
1: 242 10507 -482790 16093
2: -242 11191 687764 16093
1: 252 8151 885115 16093
2: -264 8379 -809248 16093
1: 294 11979 -897446 16093
2: -304 10043 112651 16093
1: 319 8113 708092 16093
1: 342 12705 -949487 16093
2: -343 12635 849178 16093
1: 361 9317 74844 16093
2: -361 9317 -186032 16093
1: 361 10241 -255552 16093
2: -361 10241 154396 16093
1: 363 7581 907984 16093
2: -363 10773 321860 16093
2: -378 11913 605605 16093
1: 392 7315 986271 16093
2: -392 8987 -303468 16093
1: 392 12331 -758670 16093
1: 418 11123 -455202 16093
2: -418 11515 455202 16093
2: -418 12635 689458 16093
2: -429 7581 -894432 16093
1: 441 14091 -960982 16093
1: 456 11979 -593978 16093
1: 462 11685 -531069 16093
2: -462 12141 531069 16093
1: 484 8303 373527 16093
1: 513 11913 -521752 16093
1: 532 8591 241395 16093
1: 539 11647 -455202 16093
2: -539 12179 455202 16093
1: 539 14641 -853404 16093
2: -539 14641 782648 16093
2: -588 7623 -655215 16093
2: -627 7581 -633556 16093
1: 627 11025 -303468 16093
2: -627 11613 303468 16093
1: 637 10285 -174724 16093
2: -638 12985 480491 16093
2: -638 15827 758670 16093
2: -638 19133 978285 16093
2: -658 13585 531069 16093
1: 672 11979 -416955 16093
2: -686 13321 480491 16093
2: -693 12255 354046 16093
2: -707 11191 204974 16093
1: 721 14641 -646912 16093
2: -721 14641 576156 16093
1: 722 6061 978285 16093
1: 722 6545 773311 16093
1: 722 6655 730884 16093
1: 722 7105 570999 16093
1: 722 7315 503118 16093
1: 722 9163 39930 16093
1: 722 9317 9625 16093
2: -722 9317 -120813 16093
1: 722 10241 -153065 16093
2: -722 10241 51909 16093
1: 722 10285 -160083 16093
1: 722 11165 -288827 16093
1: 722 11305 -307461 16093
1: 722 11495 -332024 16093
1: 722 14399 -626780 16093
1: 722 14641 -646065 16093
2: -722 14641 575309 16093
1: 722 15631 -718740 16093
1: 722 15827 -732050 16093
1: 722 16093 -749595 16093
2: -722 16093 685223 16093
1: 722 17255 -819896 16093
1: 722 17545 -835989 16093
1: 722 17765 -847847 16093
2: -722 18319 819896 16093
1: 722 19285 -922383 16093
2: -726 7581 -556479 16093
1: 741 7581 409948 16093
2: -798 8085 -379335 16093
2: -798 9075 -160930 16093
1: 798 14553 -581647 16093
2: -798 17787 712690 16093
2: -798 19965 811965 16093
2: -826 6517 -834537 16093
1: 833 25289 -981464 16093
2: -833 25289 940500 16093
1: 836 10927 -227601 16093
2: -836 11711 227601 16093
2: -847 14641 485184 16093
1: 847 17689 -723580 16093
2: -847 17689 665016 16093
2: -847 21299 811426 16093
1: 858 7581 344729 16093
2: -868 6655 -750519 16093
1: 882 12705 -393129 16093
2: -891 6027 -960982 16093
2: -893 18755 675906 16093
1: 912 17787 -678205 16093
1: 924 8379 151734 16093
2: -924 19551 682803 16093
1: 924 29547 -960982 16093
2: -924 31899 960982 16093
1: 926 6137 717409 16093
1: 931 9317 -5016 16093
2: -931 9317 -106172 16093
2: -931 10469 58564 16093
2: -931 11011 124146 16093
1: 931 14641 -508972 16093
2: -931 14641 438216 16093
2: -931 17303 584782 16093
2: -931 24563 823042 16093
1: 931 26873 -910404 16093
1: 931 27797 -926376 16093
2: -931 27797 889108 16093
2: -931 29029 910404 16093
2: -931 32851 966306 16093
2: -952 12947 305767 16093
2: -959 21109 708092 16093
2: -968 12635 274428 16093
2: -968 29963 889350 16093
2: -988 8855 -177023 16093
2: -1022 28519 819896 16093
2: -1026 11913 195657 16093
2: -1026 27951 807576 16093
1: 1057 17689 -585640 16093
2: -1057 17689 527076 16093
1: 1062 37905 -922383 16093
1: 1064 17003 -556358 16093
2: -1064 18571 556358 16093
1: 1064 41987 -949487 16093
2: -1064 45859 949487 16093
1: 1078 11381 -227601 16093
2: -1078 12445 227601 16093
1: 1078 14641 -444391 16093
2: -1078 14641 373635 16093
2: -1078 17423 505780 16093
2: -1078 47291 945010 16093
2: -1083 5985 -819896 16093
1: 1083 6897 403172 16093
2: -1083 11979 188650 16093
2: -1083 13167 279510 16093
1: 1083 17787 -575718 16093
2: -1083 26019 732050 16093
1: 1083 26697 -782628 16093
2: -1083 29205 782628 16093
2: -1083 38115 879186 16093
2: -1083 41895 907742 16093
1: 1083 43923 -944622 16093
1: 1083 48279 -967274 16093
1: 1102 37345 -885115 16093
2: -1122 53067 934362 16093
1: 1127 36575 -859826 16093
1: 1133 14641 -424536 16093
2: -1133 14641 353780 16093
