Command line:- ../do_t 133133 1000000
1: 77 79781 980980 133133
2: -399 80223 508326 133133
1: 546 79233 877591 133133
1: 726 79233 549081 133133
1: 798 79233 459173 133133
1: 1014 79233 266057 133133
2: -1014 79497 -866761 133133
1: 1482 79233 40755 133133
1: 1862 79781 -385385 133133
2: -1911 79233 -825968 133133
1: 2166 79233 -113399 133133
1: 2401 77077 882284 133133
1: 2508 80223 -593047 133133
2: -2541 79233 -732108 133133
2: -2793 79233 -706420 133133
2: -2888 80275 -290521 133133
2: -2964 83391 833833 133133
1: 3211 77077 543704 133133
1: 3211 77959 225302 133133
2: -3211 78337 -996072 133133
2: -3211 80507 -225302 133133
2: -3211 83369 729904 133133
2: -3388 80275 -312816 133133
2: -3549 79233 -651244 133133
1: 3718 77077 406847 133133
2: -3718 80465 -267197 133133
2: -3718 84721 943635 133133
2: -3773 84721 923780 133133
1: 3822 79233 -258115 133133
2: -3861 79059 -686686 133133
1: 3971 77077 351624 133133
2: -3971 84721 856856 133133
1: 4312 80275 -542773 133133
1: 4446 78771 -169442 133133
2: -4598 79781 -468195 133133
2: -4598 85085 762489 133133
1: 4693 77371 154154 133133
2: -4693 80465 -303212 133133
2: -4693 81095 -154154 133133
2: -4719 79233 -600704 133133
2: -4719 83391 365638 133133
1: 4732 81415 -788557 133133
2: -4732 85367 788557 133133
1: 4802 74347 896610 133133
1: 4802 77077 211185 133133
1: 4802 77615 81796 133133
2: -4802 79781 -467181 133133
1: 4802 79937 -456665 133133
1: 4802 80465 -574769 133133
2: -4802 82979 262086 133133
1: 5082 79233 -305045 133133
2: -5096 77803 -919828 133133
2: -5187 79233 -586872 133133
1: 5586 79233 -317889 133133
2: -6076 85063 472017 133133
2: -6419 87373 778316 133133
1: 6422 76685 112651 133133
1: 6422 77077 41895 133133
2: -6422 77077 -961723 133133
2: -6422 81781 -112651 133133
2: -6578 88445 903903 133133
2: -6776 84227 254163 133133
1: 6897 74529 446880 133133
2: -6897 79233 -552292 133133
2: -6897 83391 115934 133133
1: 6916 80503 -539539 133133
2: -6916 86279 539539 133133
1: 7098 79233 -345477 133133
1: 7098 80223 -495292 133133
1: 7203 81081 -619476 133133
2: -7203 83391 92950 133133
1: 7502 73283 579670 133133
1: 7546 71269 921557 133133
1: 7546 73853 478401 133133
2: -7546 84721 252681 133133
2: -7581 79233 -542828 133133
1: 7942 77077 -54145 133133
2: -7942 77077 -865683 133133
1: 7942 80465 -521703 133133
2: -7942 84721 219219 133133
1: 8232 70395 946946 133133
1: 8281 72721 566048 133133
2: -8281 79013 -566048 133133
1: 8918 71687 641212 133133
1: 8918 72479 525616 133133
2: -8918 79255 -525616 133133
2: -9196 91091 796936 133133
1: 9386 71687 584584 133133
1: 9386 73853 290521 133133
1: 9386 75509 77077 133133
1: 9386 79261 -373527 133133
2: -9386 82957 -77077 133133
2: -9386 91091 772926 133133
2: -9438 77175 -788424 133133
1: 9438 79233 -370747 133133
2: -9438 81225 -280917 133133
1: 9438 83391 -820456 133133
2: -9604 91091 746548 133133
2: -9633 79233 -522500 133133
1: 9633 81081 -573496 133133
2: -9633 83391 -37730 133133
2: -9633 88935 538118 133133
1: 10032 70395 686686 133133
2: -10108 76351 -869505 133133
1: 10153 82663 -722722 133133
2: -10192 79739 -459914 133133
1: 10374 79233 -377663 133133
1: 11011 69629 675792 133133
2: -11011 87989 338884 133133
1: 11319 84579 -854126 133133
2: -11319 94743 854126 133133
1: 11552 71995 347802 133133
1: 11552 75803 -55055 133133
1: 11858 67507 844662 133133
1: 11858 76219 -106134 133133
1: 11858 79781 -435071 133133
2: -11913 75411 -910910 133133
2: -11913 95823 867790 133133
1: 12103 74431 59774 133133
2: -12103 84035 -59774 133133
2: -12168 96195 866761 133133
2: -12274 91637 539539 133133
2: -12584 91091 477603 133133
1: 12691 67507 754754 133133
1: 12826 72163 247646 133133
1: 12844 67507 739508 133133
1: 12844 75383 -58653 133133
1: 12844 75803 -96558 133133
2: -13013 79781 -452760 133133
1: 13034 67769 691999 133133
2: -13034 77233 -691999 133133
1: 13357 65065 965888 133133
2: -13728 97755 817817 133133
1: 13794 79233 -394953 133133
1: 13794 83391 -695604 133133
1: 13794 87171 -944034 133133
2: -13794 100107 944034 133133
1: 14079 74529 -23716 133133
2: -14079 79233 -498784 133133
1: 14196 73359 71687 133133
1: 14406 83193 -671099 133133
1: 14406 83391 -684112 133133
2: -14406 96129 671099 133133
2: -14406 99099 835354 133133
2: -14553 93639 516230 133133
2: -14858 102245 957999 133133
1: 14872 65219 796005 133133
1: 14872 84835 -765919 133133
1: 14872 86515 -866761 133133
1: 15162 67155 579670 133133
1: 15162 79233 -399685 133133
2: -15548 99715 778316 133133
1: 15582 70785 229957 133133
2: -15778 102245 881923 133133
1: 15884 86191 -819819 133133
2: -15884 101087 819819 133133
2: -16464 105963 990451 133133
1: 16562 62491 921690 133133
1: 16562 67925 419881 133133
1: 16562 69575 283024 133133
1: 16562 82225 -583737 133133
2: -16731 89661 182476 133133
1: 16896 64827 671099 133133
1: 17024 76219 -215061 133133
2: -17328 97755 572572 133133
2: -17328 105963 924385 133133
1: 17381 61009 996072 133133
1: 17689 62491 826826 133133
1: 17689 66079 509894 133133
1: 17689 73853 -71148 133133
2: -17689 78923 -509894 133133
1: 17689 81719 -546546 133133
2: -17689 97603 546546 133133
1: 17787 64827 610090 133133
2: -17787 79233 -488072 133133
1: 17787 86697 -800660 133133
2: -17787 105963 891898 133133
1: 17836 69091 262808 133133
1: 17836 71687 73359 133133
2: -17836 82643 -262808 133133
1: 17936 62699 788557 133133
1: 18392 91091 -982205 133133
2: -18392 91091 203889 133133
1: 18718 61009 883421 133133
1: 18772 71687 45045 133133
2: -18772 72163 -996072 133133
2: -18772 89243 98098 133133
1: 18772 91091 -970200 133133
2: -18772 91091 191884 133133
2: -18772 93119 290521 133133
2: -18876 83391 -227409 133133
2: -18876 105963 821142 133133
1: 19208 62699 698896 133133
1: 19208 77539 -317889 133133
1: 19208 91091 -957011 133133
2: -19208 91091 178695 133133
1: 19266 79233 -409849 133133
1: 19266 83391 -618772 133133
2: -19266 99099 534394 133133
2: -19494 93639 289432 133133
2: -19844 80503 -405769 133133
1: 20384 68123 229957 133133
2: -20384 83611 -229957 133133
1: 20449 58751 955206 133133
1: 20449 62491 638666 133133
1: 20449 69433 141512 133133
1: 20449 71687 798 133133
2: -20449 71687 -989786 133133
1: 20449 84721 -666064 133133
2: -20449 84721 -170772 133133
1: 20449 86779 -753046 133133
1: 20449 91333 -931588 133133
1: 20482 61009 757295 133133
1: 20482 84035 -635778 133133
2: -20482 103243 635778 133133
2: -20592 81291 -361361 133133
1: 20691 83937 -629356 133133
1: 20812 57967 998165 133133
1: 21242 57967 965580 133133
2: -21266 76817 -627627 133133
2: -21294 89661 58653 133133
2: -21413 102245 558600 133133
1: 21546 61347 664734 133133
1: 21609 89661 -842764 133133
2: -21658 102245 548359 133133
1: 22022 59995 742938 133133
1: 22022 61009 663705 133133
1: 22022 74195 -169442 133133
2: -22022 74867 -742938 133133
2: -22022 92587 169442 133133
1: 22477 64493 391020 133133
1: 22477 74005 -166012 133133
2: -22477 92777 166012 133133
2: -22572 93639 198341 133133
1: 22638 58653 812383 133133
2: -22638 75867 -674310 133133
1: 22638 79497 -427063 133133
2: -22638 97755 353210 133133
2: -22638 99825 427063 133133
1: 22743 89661 -820456 133133
2: -22743 113061 830060 133133
1: 22869 93639 -947986 133133
2: -23023 102245 495292 133133
1: 23111 61009 605052 133133
1: 23716 93379 -919828 133133
2: -23716 118547 919828 133133
1: 23826 74529 -208593 133133
2: -23826 81627 -354662 133133
2: -23826 104811 546546 133133
2: -23826 108537 655473 133133
1: 24024 64827 309738 133133
1: 24187 57475 811538 133133
1: 24187 94325 -936936 133133
1: 24206 61009 551397 133133
1: 24206 69629 29887 133133
2: -24206 88837 -29887 133133
2: -24353 72865 -836836 133133
2: -24563 99275 347802 133133
1: 24596 57967 750519 133133
2: -24684 101871 427063 133133
2: -24843 70395 -984214 133133
1: 24843 78507 -389158 133133
2: -24843 79233 -476520 133133
2: -24843 100815 389158 133133
1: 24934 91333 -833833 133133
1: 24948 61347 495292 133133
1: 25137 93639 -896610 133133
2: -25168 93499 133770 133133
2: -25168 100555 371469 133133
1: 25403 61009 498036 133133
2: -25688 99275 316932 133133
2: -25688 111475 659813 133133
2: -25688 125195 965580 133133
1: 25872 70395 -42042 133133
1: 26026 85709 -645183 133133
2: -26026 98441 281941 133133
1: 26068 57967 673607 133133
2: -26068 123823 920205 133133
1: 26257 95665 -927472 133133
1: 26334 85557 -637637 133133
2: -26334 111549 637637 133133
1: 26411 58513 619476 133133
1: 26411 61009 456852 133133
2: -26411 76349 -619476 133133
1: 26411 77077 -337896 133133
2: -26411 77077 -581932 133133
1: 26411 77803 -366054 133133
1: 26411 85519 -635778 133133
2: -26411 101519 366054 133133
2: -26411 111587 635778 133133
2: -26411 112651 661466 133133
1: 26741 59983 508326 133133
1: 27313 61009 422576 133133
1: 27588 64827 199082 133133
2: -27588 70395 -936390 133133
2: -27588 75075 -677768 133133
1: 27588 80703 -472017 133133
2: -27588 83391 -289835 133133
2: -27588 106575 472017 133133
2: -27588 124215 861175 133133
1: 27797 58045 588588 133133
1: 27797 73931 -222950 133133
2: -27797 76817 -588588 133133
2: -27846 131043 972062 133133
1: 28158 79233 -421707 133133
2: -28158 92169 35035 133133
2: -28158 103455 374556 133133
2: -28158 108045 492349 133133
2: -28158 117117 698005 133133
2: -28158 126567 880880 133133
1: 28314 53067 913458 133133
1: 28314 67431 52136 133133
1: 28314 74613 -254163 133133
1: 28314 94809 -866761 133133
1: 28392 70395 -83006 133133
1: 28424 65219 157339 133133
2: -28556 123823 815087 133133
1: 28798 55223 732108 133133
1: 28798 69673 -57967 133133
1: 28812 53235 873620 133133
1: 28812 58311 529815 133133
1: 28812 63063 258115 133133
2: -28812 83391 -295581 133133
2: -28812 105963 422598 133133
2: -28899 124509 814492 133133
2: -28899 131043 926786 133133
1: 29106 93639 -825968 133133
2: -29146 123823 792792 133133
2: -29393 102245 312816 133133
1: 29414 61009 350889 133133
1: 29498 57967 524172 133133
2: -29601 124509 788424 133133
2: -29744 112651 552083 133133
1: 29876 99047 -931931 133133
1: 29887 57967 509390 133133
1: 29887 60025 390260 133133
1: 29887 61009 336140 133133
1: 29887 63175 222950 133133
1: 29887 65065 130340 133133
1: 29887 67375 24206 133133
1: 29887 88445 -687960 133133
1: 29887 91091 -754110 133133
1: 29887 94325 -829920 133133
1: 29887 99275 -936390 133133
2: -29887 123823 766038 133133
2: -30082 102557 305767 133133
1: 30096 53067 819819 133133
1: 30107 102245 -990584 133133
1: 30184 54587 711018 133133
1: 30184 75803 -309738 133133
2: -30324 105963 384846 133133
2: -30576 105963 378917 133133
2: -30646 99541 215061 133133
1: 30723 51909 871416 133133
2: -30723 70785 -871416 133133
2: -30723 108045 423852 133133
1: 30758 51623 890428 133133
1: 30758 73931 -247646 133133
2: -30888 120099 665665 133133
1: 31046 57967 467544 133133
1: 31046 94259 -811538 133133
1: 31213 52877 779532 133133
1: 31213 58121 453024 133133
1: 31213 61009 297176 133133
1: 31213 64009 150176 133133
1: 31213 70357 -119548 133133
2: -31213 73283 -739310 133133
1: 31213 73853 -248292 133133
2: -31213 78155 -516230 133133
2: -31213 80275 -427614 133133
