Command line:- ../do_t 19 1000000
1: 1 1 18050 19
2: -1 1 -19494 19
3: 1 -1 -21660 19
4: -1 -1 23104 19
1: 1 5 2166 19
3: 1 -5 -5776 19
3: 1 -11 -3610 19
1: 1 19 -760 19
2: -1 19 684 19
3: 1 -19 -2850 19
4: -1 -19 2926 19
1: 1 55 -1444 19
3: 1 -55 -2166 19
2: -1 59 1444 19
4: -1 -59 2166 19
1: 1 95 -1596 19
3: 1 -95 -2014 19
1: 1 209 -1710 19
3: 1 -209 -1900 19
1: 1 361 -1750 19
2: -1 361 1746 19
3: 1 -361 -1860 19
4: -1 -361 1864 19
1: 1 1045 -1786 19
3: 1 -1045 -1824 19
2: -1 1121 1786 19
4: -1 -1121 1824 19
1: 1 1805 -1794 19
3: 1 -1805 -1816 19
1: 1 3971 -1800 19
3: 1 -3971 -1810 19
1: 1 19855 -1804 19
3: 1 -19855 -1806 19
2: -1 21299 1804 19
4: -1 -21299 1806 19
1: 2 1 8664 19
2: -2 1 -10108 19
3: 2 -1 -10469 19
4: -2 -1 11913 19
1: 2 19 -399 19
2: -2 19 323 19
3: 2 -19 -1406 19
4: -2 -19 1482 19
1: 2 53 -722 19
3: 2 -53 -1083 19
2: -2 61 722 19
4: -2 -61 1083 19
1: 2 361 -876 19
2: -2 361 872 19
3: 2 -361 -929 19
4: -2 -361 933 19
1: 2 1007 -893 19
3: 2 -1007 -912 19
2: -2 1159 893 19
4: -2 -1159 912 19
1: 2 19133 -902 19
3: 2 -19133 -903 19
2: -2 22021 902 19
4: -2 -22021 903 19
1: 3 3 1444 19
4: -3 -9 1444 19
3: 3 -51 -722 19
1: 3 57 -494 19
4: -3 -63 722 19
4: -3 -171 646 19
3: 3 -969 -608 19
1: 3 1083 -596 19
4: -3 -1197 608 19
4: -3 -3249 604 19
3: 3 -18411 -602 19
4: -3 -22743 602 19
1: 4 1 3971 19
2: -4 1 -5415 19
2: -4 5 -722 19
3: 4 -7 -1083 19
3: 4 -19 -684 19
4: -4 -19 760 19
1: 4 49 -361 19
2: -4 65 361 19
4: -4 -95 513 19
1: 4 133 -418 19
4: -4 -247 475 19
1: 4 361 -439 19
2: -4 361 435 19
3: 4 -931 -456 19
4: -4 -1235 456 19
2: -4 1805 448 19
3: 4 -2527 -453 19
2: -4 4693 450 19
1: 4 17689 -451 19
2: -4 23465 451 19
2: -6 3 -1083 19
3: 6 -45 -361 19
2: -6 57 228 19
4: -6 -69 361 19
1: 6 171 -285 19
3: 6 -855 -304 19
2: -6 1083 297 19
4: -6 -1311 304 19
1: 6 3249 -300 19
3: 6 -16245 -301 19
4: -6 -24909 301 19
3: 7 -361 -264 19
4: -7 -361 268 19
3: 7 -15523 -258 19
4: -7 -25631 258 19
3: 8 -19 -323 19
4: -8 -19 399 19
3: 8 -779 -228 19
4: -8 -1387 228 19
3: 9 -3 -722 19
3: 9 -57 -228 19
2: -9 285 190 19
3: 9 -1083 -202 19
2: -9 5415 200 19
1: 11 95 -152 19
1: 11 12635 -164 19
2: -11 28519 164 19
1: 12 57 -133 19
3: 12 -627 -152 19
4: -12 -1539 152 19
1: 13 1 722 19
2: -13 1 -2166 19
4: -14 -95 152 19
3: 14 -361 -131 19
4: -14 -361 135 19
3: 14 -10469 -129 19
4: -14 -30685 129 19
3: 16 -475 -114 19
4: -16 -1691 114 19
4: -17 -247 114 19
4: -18 -3 722 19
4: -18 -57 133 19
4: -18 -1083 102 19
1: 19 1 266 19
2: -19 1 -1710 19
3: 19 -1 -456 19
4: -19 -1 1900 19
2: -19 5 -266 19
4: -19 -5 456 19
1: 19 361 -94 19
2: -19 361 90 19
3: 19 -361 -96 19
4: -19 -361 100 19
2: -19 1805 94 19
4: -19 -1805 96 19
2: -21 171 76 19
3: 21 -5415 -86 19
4: -21 -35739 86 19
1: 22 4693 -82 19
2: -22 36461 82 19
1: 23 361 -78 19
2: -23 361 74 19
3: 24 -171 -76 19
4: -24 -1995 76 19
