Command line:- ../do_t 27797 1000000
1: 77 16967 -945098 27797
1: 224 15827 829939 27797
2: -242 16625 -144039 27797
1: 242 17689 -999609 27797
2: -242 17689 824885 27797
1: 308 15523 833910 27797
2: -342 17787 617310 27797
1: 361 17633 -667128 27797
2: -361 17941 667128 27797
2: -396 17787 521284 27797
1: 462 18513 -912247 27797
1: 484 16891 -192052 27797
2: -504 17787 390963 27797
2: -532 15367 -720195 27797
1: 539 16093 164616 27797
2: -539 16093 -356668 27797
1: 627 19257 -905388 27797
2: -627 19845 905388 27797
2: -637 14801 -873620 27797
1: 646 15631 301796 27797
1: 684 17787 -438976 27797
2: -693 17787 260642 27797
1: 722 17479 -333564 27797
2: -722 18095 333564 27797
1: 756 19551 -829939 27797
1: 792 14763 528143 27797
1: 792 17787 -390963 27797
1: 798 14883 480130 27797
1: 836 14399 624169 27797
1: 836 19159 -679041 27797
2: -847 15827 -342950 27797
1: 847 17689 -348004 27797
2: -847 17689 173280 27797
2: -847 17765 192052 27797
2: -847 19855 651966 27797
1: 847 20159 -864234 27797
2: -847 20995 864234 27797
1: 882 14079 698896 27797
2: -882 21945 980837 27797
2: -1078 13433 -980837 27797
1: 1078 16093 34295 27797
1: 1078 20045 -679041 27797
1: 1083 17325 -222376 27797
2: -1083 18249 222376 27797
1: 1176 12939 829939 27797
1: 1176 18411 -393129 27797
2: -1176 20691 562438 27797
1: 1254 18963 -452694 27797
2: -1254 20139 452694 27797
2: -1323 20577 478192 27797
1: 1331 22099 -781926 27797
2: -1368 17787 89167 27797
1: 1386 17787 -260642 27797
1: 1386 19893 -528143 27797
2: -1386 21261 528143 27797
1: 1444 17171 -166782 27797
2: -1444 18403 166782 27797
1: 1482 12201 829939 27797
2: -1617 16245 -158840 27797
1: 1617 19779 -452694 27797
2: -1617 21375 452694 27797
1: 1628 20615 -528143 27797
1: 1694 11429 912247 27797
1: 1694 17689 -217683 27797
1: 1694 19741 -432117 27797
2: -1694 26411 781926 27797
1: 1848 20691 -480130 27797
2: -1862 15851 -205770 27797
