Command line:- ../do_t 5491 1000000
1: 6 3249 334084 5491
1: 19 2941 933470 5491
2: -19 3179 -307496 5491
1: 34 3667 -466735 5491
2: -38 3757 472226 5491
1: 76 4913 -665703 5491
2: -76 4913 641155 5491
1: 76 6137 -928557 5491
2: -76 6137 908905 5491
1: 92 4693 -501126 5491
2: -102 3249 -39304 5491
1: 114 2601 329460 5491
1: 133 4913 -385662 5491
2: -133 4913 361114 5491
2: -136 1805 -948209 5491
2: -148 11849 730303 5491
2: -151 334951 988380 5491
1: 151 771341 -994194 5491
1: 152 10693 -691866 5491
1: 152 13357 -751689 5491
1: 152 181781 -974168 5491
1: 152 227069 -977687 5491
4: -153 -250563 998526 5491
1: 154 22021 -835210 5491
3: 154 -334951 -988380 5491
2: -156 751689 962065 5491
2: -162 11913 668168 5491
4: -167 -730303 906882 5491
2: -171 4335 197676 5491
2: -171 5415 334084 5491
1: 171 14739 -688636 5491
1: 171 18411 -727124 5491
2: -171 51153 823650 5491
2: -171 63897 835210 5491
4: -171 -73695 921842 5491
4: -171 -92055 913818 5491
3: 171 -250563 -892962 5491
3: 171 -312987 -890698 5491
4: -171 -869601 885020 5491
2: -172 81073 840123 5491
2: -173 763249 867578 5491
3: 174 -41667 -933470 5491
1: 174 73695 -828495 5491
1: 177 26163 -746776 5491
1: 184 24565 -711892 5491
2: -186 250563 799615 5491
2: -196 1805 -668168 5491
1: 198 14739 -595289 5491
1: 198 252339 -751689 5491
2: -202 2527 -250563 5491
1: 204 2565 186694 5491
3: 204 -9747 -982600 5491
1: 204 341145 -732037 5491
2: -204 358473 732037 5491
2: -209 2023 -483208 5491
1: 209 6137 -343910 5491
2: -209 6137 324258 5491
1: 209 14365 -560082 5491
2: -209 15113 560082 5491
2: -209 45847 668168 5491
3: 209 -48841 -768740 5491
3: 209 -398905 -727124 5491
3: 209 -417605 -726864 5491
2: -211 466735 709308 5491
3: 214 -466735 -709308 5491
2: -216 103173 675070 5491
1: 221 17917 -560082 5491
2: -221 18905 560082 5491
1: 224 417605 -667850 5491
1: 227 55777 -625974 5491
3: 228 -14739 -804916 5491
3: 228 -18411 -776254 5491
2: -228 23409 565573 5491
2: -228 29241 584647 5491
3: 228 -243627 -669902 5491
4: -228 -257499 669902 5491
3: 228 -304323 -668168 5491
4: -228 -321651 668168 5491
2: -234 18411 525691 5491
2: -236 521645 634644 5491
3: 238 -17879 -746776 5491
4: -238 -18943 746776 5491
2: -239 445349 625974 5491
3: 239 -521645 -634644 5491
4: -241 -24565 711892 5491
3: 247 -14297 -746776 5491
3: 247 -142477 -624036 5491
1: 247 177973 -599386 5491
1: 249 751689 -602870 5491
1: 252 280041 -591413 5491
2: -256 69445 560082 5491
2: -256 417605 584098 5491
4: -258 -280041 591413 5491
1: 261 239343 -569908 5491
3: 262 -11849 -730303 5491
1: 263 139213 -560082 5491
2: -266 1805 -501126 5491
1: 266 4913 -198968 5491
2: -266 4913 174420 5491
4: -266 -51731 604010 5491
3: 266 -104329 -584069 5491
4: -266 -104329 585225 5491
2: -266 417605 562134 5491
1: 271 32129 -501126 5491
2: -272 4693 152303 5491
3: 272 -17803 -653429 5491
4: -272 -19019 653429 5491
2: -272 27797 486387 5491
4: -272 -918731 556301 5491
1: 274 20995 -466735 5491
4: -276 -460275 550256 5491
1: 282 312987 -529159 5491
4: -288 -312987 529159 5491
1: 289 1805 397086 5491
1: 289 3971 -104040 5491
3: 289 -3971 -939250 5491
1: 289 19855 -438124 5491
3: 289 -19855 -605166 5491
2: -289 21299 438124 5491
4: -289 -21299 605166 5491
1: 289 83521 -501790 5491
2: -289 83521 500346 5491
3: 289 -83521 -541500 5491
4: -289 -83521 542944 5491
1: 289 417605 -517674 5491
3: 289 -417605 -525616 5491
1: 289 918731 -519840 5491
3: 289 -918731 -523450 5491
4: -298 -496213 509371 5491
3: 302 -818387 -501126 5491
1: 304 1445 593028 5491
2: -304 10469 334084 5491
1: 304 24565 -431851 5491
2: -304 177973 486387 5491
3: 304 -301435 -501126 5491
4: -304 -324539 501126 5491
1: 304 417605 -492138 5491
4: -306 -3819 933470 5491
2: -306 5415 181781 5491
4: -306 -72561 515865 5491
3: 306 -250563 -498902 5491
2: -307 42959 451996 5491
4: -312 -14739 595289 5491
1: 323 2527 117912 5491
1: 323 17689 -383214 5491
3: 323 -17689 -550256 5491
2: -323 19133 383214 5491
4: -323 -19133 550256 5491
1: 323 83521 -449046 5491
2: -323 83521 447602 5491
3: 323 -83521 -484424 5491
4: -323 -83521 485868 5491
1: 323 584647 -464208 5491
3: 323 -584647 -469262 5491
4: -331 -417605 459192 5491
1: 334 41905 -417316 5491
3: 336 -18411 -525691 5491
4: -336 -132651 460275 5491
2: -342 14739 338181 5491
2: -342 18411 358649 5491
4: -342 -250563 446842 5491
4: -342 -312987 445638 5491
1: 347 83521 -418038 5491
2: -347 83521 416594 5491
2: -354 44217 392768 5491
3: 358 -42959 -451996 5491
2: -361 1445 -576266 5491
2: -361 1615 -471648 5491
2: -361 3077 -49130 5491
4: -361 -3077 884340 5491
4: -361 -3439 835210 5491
1: 361 4913 -149838 5491
2: -361 4913 125290 5491
3: 361 -4913 -685372 5491
4: -361 -4913 709920 5491
1: 361 5491 -178024 5491
2: -361 5491 156060 5491
3: 361 -5491 -657186 5491
4: -361 -5491 679150 5491
1: 361 14093 -324258 5491
3: 361 -14093 -510952 5491
2: -361 15385 324258 5491
4: -361 -15385 510952 5491
1: 361 15751 -334084 5491
3: 361 -15751 -501126 5491
2: -361 17195 334084 5491
