Command line:- ../do_t 99127 1000000
1: 3626 55199 693889 99127
1: 7203 50421 835210 99127
1: 7803 66885 -991270 99127
2: -9604 63869 44149 99127
1: 9826 47089 897974 99127
2: -9826 53753 -897974 99127
2: -11271 64827 56644 99127
2: -11662 83521 977550 99127
2: -12376 83521 907578 99127
1: 12716 46109 693889 99127
2: -12716 54733 -693889 99127
2: -13328 83521 825944 99127
2: -14161 83521 763518 99127
1: 14739 44217 705894 99127
2: -14739 50421 -988414 99127
2: -15028 83521 705894 99127
2: -16184 83521 638666 99127
1: 16807 40817 854862 99127
2: -16807 55777 -546210 99127
2: -16807 83521 606270 99127
2: -17836 83521 557718 99127
2: -18522 56355 -495635 99127
1: 19074 50421 72828 99127
1: 19208 83521 -971670 99127
2: -19208 83521 501074 99127
1: 19652 43757 448987 99127
2: -19652 57085 -448987 99127
1: 20384 83521 -929187 99127
2: -20384 83521 458591 99127
1: 21658 83521 -888370 99127
2: -21658 83521 417774 99127
1: 23324 83521 -841722 99127
2: -23324 83521 371126 99127
2: -23324 117649 874514 99127
1: 24752 83521 -806736 99127
2: -24752 83521 336140 99127
2: -25228 117649 795906 99127
1: 26068 63869 -437325 99127
1: 26299 83521 -773122 99127
2: -26299 83521 302526 99127
1: 26656 83521 -765919 99127
2: -26656 83521 295323 99127
2: -28322 83521 264110 99127
2: -28322 117649 690710 99127
1: 28812 50421 -83521 99127
1: 29478 50421 -90440 99127
1: 29478 56595 -262395 99127
1: 29478 73695 -588245 99127
2: -29478 151263 881433 99127
1: 30056 83521 -705894 99127
2: -30056 83521 235298 99127
1: 30634 117649 -960058 99127
2: -30634 117649 625974 99127
1: 31213 83521 -688450 99127
2: -31213 83521 217854 99127
1: 32368 83521 -672280 99127
2: -32368 83521 201684 99127
1: 32368 117649 -917575 99127
2: -32368 117649 583491 99127
1: 33614 40817 186694 99127
1: 33614 54043 -216699 99127
1: 33614 83521 -656082 99127
2: -33614 83521 185486 99127
1: 34391 117649 -873426 99127
2: -34391 117649 539342 99127
1: 35672 83521 -631806 99127
2: -35672 83521 161210 99127
1: 36358 117649 -835210 99127
2: -36358 117649 501126 99127
2: -38148 50421 -621061 99127
1: 38416 83521 -603484 99127
2: -38416 83521 132888 99127
2: -39102 250563 879795 99127
1: 39304 117649 -785128 99127
2: -39304 117649 451044 99127
2: -39304 240737 859558 99127
1: 39406 218491 -997339 99127
2: -40749 136857 538118 99127
1: 40817 83521 -581826 99127
2: -40817 83521 111230 99127
2: -40817 84035 117912 99127
2: -40817 218491 786080 99127
2: -40817 417605 985194 99127
2: -41123 391363 962948 99127
1: 41552 117649 -751689 99127
2: -41552 117649 417605 99127
1: 42483 250563 -960400 99127
1: 43218 35547 212415 99127
1: 43316 83521 -561834 99127
2: -43316 83521 91238 99127
2: -43372 417605 924385 99127
1: 44149 117649 -717298 99127
2: -44149 117649 383214 99127
2: -44217 91581 174930 99127
1: 44394 111843 -693889 99127
1: 45276 44217 -69972 99127
1: 45619 173689 -821338 99127
2: -45619 327437 821338 99127
2: -46546 247303 722211 99127
1: 46648 83521 -538510 99127
2: -46648 83521 67914 99127
2: -46648 117649 353736 99127
1: 46746 280041 -897974 99127
1: 47334 352947 -918731 99127
2: -47481 250563 710696 99127
1: 48552 751689 -957999 99127
1: 49504 83521 -521017 99127
2: -49504 83521 50421 99127
1: 50286 250563 -823543 99127
2: -50421 132651 389368 99127
1: 50421 250563 -821548 99127
1: 50456 117649 -648516 99127
2: -50456 117649 314432 99127
1: 51793 24565 548114 99127
1: 52598 83521 -504210 99127
2: -52598 83521 33614 99127
2: -52822 420175 751689 99127
2: -52822 789929 835210 99127
1: 52892 496213 -857157 99127
2: -53754 352947 704293 99127
1: 54043 32095 163268 99127
2: -54043 68747 -163268 99127
1: 54043 314531 -799680 99127
2: -54332 588245 779433 99127
1: 55488 309729 -778855 99127
3: 55862 -391363 -962948 99127
2: -56202 250563 588245 99127
2: -56252 588245 751689 99127
1: 56644 83521 -485002 99127
2: -56644 83521 14406 99127
1: 56644 117649 -595918 99127
2: -56644 117649 261834 99127
1: 57477 352947 -766428 99127
3: 57511 -584647 -907578 99127
4: -57511 -584647 974806 99127
1: 57624 751689 -811293 99127
3: 57778 -417605 -924385 99127
2: -58956 50421 -539427 99127
3: 58956 -213003 -973777 99127
1: 58956 453789 -767431 99127
4: -58956 -492891 973777 99127
4: -58956 -722211 929187 99127
1: 59682 250563 -706237 99127
1: 60112 83521 -470596 99127
1: 61268 117649 -563550 99127
2: -61268 117649 229466 99127
1: 62426 83521 -461874 99127
2: -62426 83521 -8722 99127
1: 64736 83521 -453789 99127
2: -64736 83521 -16807 99127
2: -64827 71961 -141610 99127
2: -64827 252105 501126 99127
1: 65518 588245 -707472 99127
1: 67228 24565 238595 99127
1: 67228 40817 -147390 99127
2: -67228 40817 -815558 99127
1: 67228 60025 -334084 99127
1: 67228 83521 -445690 99127
2: -67228 83521 -24906 99127
