Command line:- ../do_t 41327 1000000
1: 143 24565 422994 41327
2: -169 24497 -756602 41327
1: 221 24167 864688 41327
1: 242 24089 894166 41327
2: -242 24565 -471172 41327
1: 306 25311 -702559 41327
1: 338 24565 98736 41327
2: -572 24565 -279565 41327
2: -676 26741 790993 41327
1: 726 23829 334084 41327
1: 726 26367 -830297 41327
1: 858 25857 -540430 41327
2: -867 23595 -646204 41327
1: 968 26945 -830297 41327
2: -1122 22815 -810645 41327
1: 1452 25857 -373388 41327
2: -1573 22253 -773942 41327
2: -1573 23749 -383214 41327
1: 1573 24565 -87958 41327
1: 1573 28561 -835210 41327
1: 1683 21801 540430 41327
2: -1694 31603 977687 41327
1: 1768 20449 859775 41327
2: -1782 30855 830297 41327
2: -1846 30107 702559 41327
1: 1859 26741 -461822 41327
2: -1859 26741 206346 41327
2: -1859 29887 668168 41327
1: 1976 20449 751689 41327
2: -2028 21021 -918731 41327
1: 2028 27225 -501126 41327
2: -2057 23153 -442170 41327
1: 2178 19227 958035 41327
2: -2288 34969 988091 41327
1: 2312 20449 618171 41327
2: -2312 20449 -952255 41327
1: 2431 20449 579734 41327
2: -2431 20449 -913818 41327
2: -2448 33033 766428 41327
1: 2584 20449 535517 41327
2: -2584 20449 -869601 41327
2: -2704 34969 821049 41327
1: 2717 20449 501126 41327
2: -2717 20449 -835210 41327
1: 3146 31603 -692733 41327
2: -3146 31603 476561 41327
1: 3179 20449 404022 41327
2: -3179 20449 -738106 41327
2: -3267 27885 167042 41327
1: 3553 20449 343910 41327
2: -3553 20449 -677994 41327
1: 3666 16731 918731 41327
1: 3718 18785 553146 41327
1: 3718 19723 417605 41327
1: 3718 24565 -117436 41327
1: 3718 26741 -294780 41327
2: -3718 26741 39304 41327
1: 3718 34969 -765850 41327
2: -3718 34969 570486 41327
1: 3718 36023 -810645 41327
1: 3757 20449 316166 41327
2: -3757 20449 -650250 41327
2: -3927 23595 -255476 41327
2: -4056 18513 -899079 41327
2: -4056 44217 847484 41327
1: 4199 20449 265302 41327
2: -4199 20449 -599386 41327
1: 4202 39083 -830297 41327
2: -4233 39039 648516 41327
1: 4368 44217 -935935 41327
1: 4576 21097 165308 41327
1: 4576 48841 -988669 41327
2: -4576 48841 848793 41327
1: 4719 16731 668168 41327
1: 4719 25857 -206346 41327
1: 4719 28611 -360672 41327
1: 4719 44217 -872066 41327
2: -4774 43979 702559 41327
1: 4862 20449 206346 41327
1: 4913 20449 202470 41327
2: -4913 20449 -536554 41327
1: 4913 24565 -122694 41327
1: 4913 47795 -907868 41327
2: -4913 54043 877448 41327
2: -4913 56023 907868 41327
2: -4961 43771 668168 41327
2: -5082 44217 660790 41327
1: 5226 39831 -702559 41327
2: -5382 43095 594473 41327
2: -5423 17407 -864688 41327
1: 5434 20449 167042 41327
2: -5434 20449 -501126 41327
1: 5474 15587 702559 41327
1: 5491 20449 163574 41327
2: -5491 20449 -497658 41327
1: 5566 54043 -893503 41327
2: -5566 54043 767091 41327
1: 5577 14739 813076 41327
2: -5577 39015 470492 41327
2: -5577 41769 540430 41327
2: -5577 55539 786080 41327
1: 5746 61589 -943296 41327
2: -5746 74173 943296 41327
2: -6058 59653 766428 41327
1: 6084 34221 -486387 41327
1: 6253 60775 -864688 41327
2: -6292 24565 -151827 41327
1: 6292 35321 -501126 41327
2: -6292 35717 319345 41327
1: 6292 48841 -738106 41327
2: -6292 48841 598230 41327
1: 6292 60401 -856596 41327
1: 6292 83521 -995176 41327
2: -6292 83521 913380 41327
1: 6358 20449 118490 41327
2: -6358 20449 -452574 41327
1: 6358 55055 -800241 41327
2: -6358 67639 800241 41327
1: 6358 83521 -985270 41327
2: -6358 83521 903474 41327
1: 6604 83521 -950092 41327
2: -6604 83521 868296 41327
2: -6647 35321 286110 41327
2: -6864 44217 469183 41327
2: -6897 84669 835210 41327
2: -6929 86411 839256 41327
1: 6929 104533 -972774 41327
2: -7029 61347 668168 41327
1: 7072 60137 -766428 41327
2: -7072 75625 766428 41327
1: 7098 23595 -83521 41327
1: 7098 56355 -734349 41327
1: 7098 92895 -918731 41327
2: -7098 116919 918731 41327
1: 7106 20449 88434 41327
2: -7106 20449 -422518 41327
1: 7106 71027 -830297 41327
2: -7106 89419 830297 41327
1: 7194 53703 -702559 41327
1: 7282 83317 -864688 41327
1: 7436 13189 751689 41327
1: 7436 24089 -108086 41327
1: 7436 26741 -211259 41327
2: -7436 26741 -44217 41327
1: 7436 31501 -352869 41327
1: 7436 34969 -431766 41327
2: -7436 34969 236402 41327
1: 7436 83521 -848364 41327
2: -7436 83521 766568 41327
2: -7447 102245 835210 41327
2: -7502 71383 695045 41327
2: -7502 85085 766428 41327
1: 7514 20449 74562 41327
