Command line:- ../do_t 140777 1000000
2: -1071 85683 851326 140777
2: -1638 85683 396508 140777
1: 1666 85007 -844662 140777
2: -1989 85683 244902 140777
1: 2028 82467 703885 140777
2: -2197 84133 -649740 140777
2: -2401 83759 -821678 140777
2: -2401 86411 470158 140777
1: 2499 84669 -563108 140777
2: -2499 86697 563108 140777
2: -3042 87465 663663 140777
1: 3087 85683 -918442 140777
1: 3276 85683 -892143 140777
1: 3332 84331 -422331 140777
2: -3332 87035 422331 140777
1: 3468 85995 -968877 140777
2: -3468 88179 753571 140777
1: 3978 85683 -816340 140777
2: -4116 87567 399854 140777
2: -4284 85683 -134113 140777
2: -4802 82943 -856830 140777
2: -4802 86989 142805 140777
2: -4802 90077 845325 140777
1: 4998 83655 -281554 140777
2: -4998 87711 281554 140777
2: -5202 85683 -192080 140777
2: -5202 87465 199927 140777
1: 5733 85683 -708050 140777
2: -5831 88049 241332 140777
1: 6084 85683 -693889 140777
2: -6174 85683 -234668 140777
2: -7497 85683 -274890 140777
1: 7514 80801 107653 140777
2: -7956 85683 -285719 140777
2: -8568 93639 709631 140777
1: 8788 76895 594762 140777
2: -9163 86411 -215306 140777
1: 9248 76895 539539 140777
1: 9282 75429 753571 140777
2: -9282 82365 -753571 140777
1: 9464 74431 879138 140777
2: -9996 89739 140777 140777
1: 10404 85683 -597849 140777
2: -10404 93639 509704 140777
1: 10647 85683 -594762 140777
2: -10693 94471 561834 140777
1: 10829 88837 -896376 140777
2: -10829 98441 896376 140777
2: -11186 81289 -833833 140777
1: 11271 88641 -861224 140777
2: -11271 98637 861224 140777
2: -11466 85683 -339864 140777
2: -11492 99127 875420 140777
1: 11662 80951 -120666 140777
2: -11662 90415 120666 140777
2: -11662 99127 856830 140777
1: 12348 85683 -576555 140777
1: 13182 72501 693889 140777
1: 13182 73059 631176 140777
1: 13182 79233 -3757 140777
2: -13182 91035 107016 140777
2: -13182 98865 693889 140777
1: 13858 70805 819819 140777
2: -13923 85683 -361522 140777
1: 14161 79937 -99372 140777
2: -14161 91429 99372 140777
2: -14406 101439 760162 140777
2: -14872 99127 585585 140777
1: 14994 85683 -556444 140777
2: -14994 93639 224094 140777
1: 15028 86975 -645918 140777
2: -15028 100303 645918 140777
2: -15092 99127 571220 140777
2: -16807 107653 901680 140777
1: 17493 66885 896376 140777
1: 17493 78585 -80444 140777
2: -17493 92781 80444 140777
1: 17576 65807 996268 140777
2: -17576 99127 433979 140777
2: -17836 99127 421824 140777
1: 18207 85683 -539882 140777
2: -18207 93639 109850 140777
1: 19208 76895 -7514 140777
2: -19448 99127 353717 140777
1: 19773 87465 -624988 140777
1: 20618 64141 904995 140777
1: 20808 93639 -889785 140777
2: -21294 85683 -396508 140777
2: -21609 78897 -826072 140777
1: 21609 85683 -527714 140777
1: 21658 84035 -448188 140777
2: -21658 103243 448188 140777
1: 22253 71825 231868 140777
1: 22542 83643 -430612 140777
2: -22542 103635 430612 140777
1: 22932 85683 -523957 140777
2: -22984 99127 237783 140777
1: 23324 76219 -60333 140777
2: -23324 95147 60333 140777
2: -23324 99127 228488 140777
1: 23698 65065 637637 140777
2: -24167 99127 206570 140777
2: -24276 112047 651014 140777
2: -24276 122451 942513 140777
1: 24336 68943 341887 140777
2: -24843 122451 913614 140777
2: -25857 85683 -408170 140777
2: -26364 112047 571438 140777
2: -26364 122451 842231 140777
1: 27846 85683 -513128 140777
1: 28322 74191 -49686 140777
1: 28322 97019 -861224 140777
2: -28322 97175 49686 140777
2: -28322 127075 861224 140777
2: -28509 127449 861224 140777
1: 28561 57967 902258 140777
1: 28561 75803 -126378 140777
2: -28561 75803 -919394 140777
1: 28561 99127 -912982 140777
2: -28561 99127 113274 140777
2: -28812 112047 492830 140777
2: -28812 124215 781456 140777
2: -29498 87373 -341887 140777
2: -29988 85683 -415667 140777
1: 29988 93639 -746980 140777
1: 30056 80311 -322959 140777
2: -30056 106967 322959 140777
1: 30184 99127 -885391 140777
2: -30184 99127 85683 140777
2: -30464 74431 -971074 140777
1: 30758 88145 -584129 140777
2: -30758 118201 584129 140777
1: 31213 67235 224094 140777
1: 31213 70805 52728 140777
2: -31213 90559 -224094 140777
1: 31213 94129 -746980 140777
1: 31603 99127 -863590 140777
2: -31603 99127 63882 140777
1: 32487 79233 -298792 140777
2: -32487 108045 298792 140777
1: 32946 55419 861224 140777
1: 33124 103243 -927979 140777
2: -33124 141659 927979 140777
2: -33614 107653 266747 140777
1: 33813 85683 -504210 140777
1: 33813 87465 -553644 140777
1: 34986 71487 -40222 140777
2: -34986 99879 40222 140777
2: -35152 76895 -793016 140777
2: -35152 90895 -236691 140777
1: 35672 99127 -810693 140777
2: -35672 99127 10985 140777
2: -35672 145775 896376 140777
2: -36414 85683 -423948 140777
1: 36414 93639 -689858 140777
2: -36652 84035 -485537 140777
1: 36992 74431 -171366 140777
2: -37044 146523 862407 140777
1: 37349 99127 -792246 140777
2: -37349 99127 -7462 140777
1: 37349 107653 -939624 140777
2: -37349 107653 203252 140777
1: 38416 91663 -634933 140777
2: -38416 94367 -149396 140777
2: -38416 132431 634933 140777
2: -38532 122451 474045 140777
1: 38792 55223 634933 140777
1: 40131 85683 -497658 140777
2: -40222 142805 728875 140777
1: 40817 48841 959244 140777
1: 40817 69121 -34476 140777
2: -40817 76895 -754494 140777
2: -40817 77077 -746980 140777
2: -40817 91091 -258570 140777
2: -40817 102245 34476 140777
2: -40817 111265 228488 140777
2: -40817 120835 402662 140777
2: -40817 131495 566826 140777
2: -40817 142805 714204 140777
2: -40817 143143 718250 140777
2: -40817 155771 856830 140777
2: -40817 169169 981240 140777
1: 41743 98245 -736372 140777
2: -41743 146657 736372 140777
2: -42287 142805 679728 140777
1: 42483 68445 -33124 140777
2: -42483 112047 220402 140777
1: 42588 85683 -495635 140777
2: -42728 161551 861224 140777
1: 43218 78897 -340535 140777
2: -43218 85683 -430032 140777
1: 43218 116535 -971074 140777
2: -43218 176511 971074 140777
1: 43316 74431 -224094 140777
2: -43316 112847 224094 140777
2: -43602 127449 455455 140777
2: -44982 146523 662480 140777
1: 45084 52479 584402 140777
1: 45084 73647 -215306 140777
2: -45084 113631 215306 140777
2: -45084 122451 358111 140777
2: -45619 72709 -896376 140777
2: -45619 185759 971074 140777
1: 45696 101439 -753571 140777
1: 45951 105963 -811538 140777
2: -46137 112047 174930 140777
2: -46137 122451 342550 140777
2: -46137 191139 991270 140777
2: -46529 155987 722358 140777
1: 46648 57967 287300 140777
1: 46648 99127 -714025 140777
2: -46648 99127 -85683 140777
1: 48334 99127 -703066 140777
2: -48334 99127 -96642 140777
1: 48552 112047 -856128 140777
2: -48594 79233 -634933 140777
1: 48841 94129 -629356 140777
2: -48841 150773 629356 140777
2: -48841 199927 973434 140777
1: 49049 99127 -698646 140777
2: -49049 99127 -101062 140777
1: 49686 122451 -942344 140777
2: -50864 129311 369096 140777
2: -50864 179647 811538 140777
2: -51442 186745 842751 140777
1: 51646 48841 587951 140777
1: 51714 42483 960596 140777
1: 51714 85683 -489804 140777
1: 52003 54925 303212 140777
2: -52479 85683 -435778 140777
1: 52479 110109 -799708 140777
1: 52479 130683 -971074 140777
2: -52479 182937 799708 140777
2: -52479 217119 971074 140777
2: -52598 74431 -786526 140777
1: 52598 98441 -670085 140777
1: 52728 108375 -780325 140777
1: 52728 112047 -816340 140777
1: 52822 62101 37349 140777
2: -52822 71825 -882011 140777
1: 52822 86411 -500916 140777
2: -52822 124559 285610 140777
1: 53508 52479 373490 140777
2: -53742 137445 422331 140777
2: -53924 199927 862988 140777
2: -54502 228095 971074 140777
2: -55216 68783 -985439 140777
2: -55223 69139 -971074 140777
2: -55223 184093 755768 140777
2: -55692 85683 -437325 140777
2: -56066 176267 695604 140777
2: -56628 188139 753571 140777
2: -56644 108667 24843 140777
2: -56644 142103 430612 140777
1: 57122 40817 884017 140777
1: 57122 48841 453789 140777
1: 57122 57967 109242 140777
2: -57122 70805 -894495 140777
2: -57122 71825 -857157 140777
2: -57122 75565 -728875 140777
1: 57122 75803 -324632 140777
2: -57122 75803 -721140 140777
2: -57122 80899 -566440 140777
1: 57122 89327 -538118 140777
2: -57122 93925 -247303 140777
1: 57122 99127 -656418 140777
2: -57122 99127 -143290 140777
2: -57122 100555 -116620 140777
2: -57122 105791 -24990 140777
2: -57122 111475 64736 140777
2: -57122 131495 318990 140777
2: -57122 140335 408170 140777
1: 57122 140777 -975443 140777
2: -57122 140777 412335 140777
2: -57122 145775 457674 140777
2: -57122 150241 495635 140777
2: -57122 155575 538118 140777
2: -57122 156065 541875 140777
2: -57122 183515 720300 140777
2: -57122 184093 723485 140777
2: -57122 196469 787185 140777
2: -57122 204085 822545 140777
2: -57122 207025 835499 140777
2: -57122 217805 880005 140777
2: -57122 244205 972405 140777
1: 57624 112047 -777036 140777
2: -57624 180999 698139 140777
1: 57967 99127 -652678 140777
2: -57967 99127 -147030 140777
1: 58667 39377 927472 140777
1: 61516 50531 297381 140777
1: 61516 55223 135252 140777
1: 62426 55573 112047 140777
2: -62426 102221 -112047 140777
1: 62426 134963 -887588 140777
2: -62426 199927 718454 140777
2: -62426 248251 887588 140777
1: 63206 99127 -631722 140777
2: -63206 99127 -167986 140777
1: 63713 119707 -788970 140777
1: 64141 99127 -628342 140777
2: -64141 99127 -171366 140777
1: 64337 133229 -861224 140777
2: -64337 249985 861224 140777
1: 64736 66079 -173901 140777
1: 64827 51051 224094 140777
2: -64827 146523 376870 140777
1: 64974 64827 -149396 140777
2: -65892 122451 142805 140777
1: 66878 156065 -933725 140777
2: -67431 122451 132158 140777
2: -67626 85683 -441784 140777
2: -68952 212415 679042 140777
1: 69972 57291 -20111 140777
1: 69972 97971 -599781 140777
2: -69972 101439 -153790 140777
2: -69972 114075 20111 140777
2: -69972 195075 599781 140777
2: -70516 199927 613284 140777
2: -71672 143143 289835 140777
1: 71994 195993 -985439 140777
2: -71994 398769 985439 140777
2: -72332 155771 372645 140777
1: 72618 122451 -746980 140777
1: 72828 85683 -481915 140777
2: -72828 93639 -290004 140777
1: 72828 180075 -942513 140777
2: -72828 243867 726817 140777
2: -73402 221897 657475 140777
2: -73402 330395 884884 140777
1: 74431 48841 159536 140777
1: 74529 85683 -481474 140777
1: 74698 32585 895713 140777
1: 74698 38437 557375 140777
1: 74698 41743 408170 140777
1: 74698 45619 260780 140777
2: -74698 68257 -895713 140777
1: 74698 70805 -303849 140777
1: 74698 76895 -384846 140777
1: 74698 99127 -596050 140777
2: -74698 99127 -203658 140777
