Command line:- ../do_t 530621 1000000
1: 28322 311467 -705894 530621
2: -28322 334451 705894 530621
1: 42483 305721 -470596 530621
2: -42483 340197 470596 530621
2: -48841 333739 -360150 530621
2: -48841 343343 456190 530621
1: 56644 299975 -352947 530621
2: -56644 345943 352947 530621
2: -60112 355691 873964 530621
1: 65856 284427 571438 530621
1: 66248 296803 -352947 530621
1: 84966 288483 -235298 530621
2: -84966 357435 235298 530621
1: 97682 285719 -323792 530621
2: -103929 371943 436982 530621
1: 120224 289835 -789929 530621
1: 120666 252297 823543 530621
2: -120666 342465 -823543 530621
2: -135252 352947 -575848 530621
2: -137904 382347 235298 530621
1: 146523 287973 -941192 530621
2: -146523 417921 941192 530621
1: 169932 254007 -117649 530621
2: -169932 391911 117649 530621
1: 176579 228095 686686 530621
2: -178126 434945 823543 530621
2: -180336 422331 588245 530621
1: 195364 218491 716870 530621
1: 195364 266315 -705894 530621
2: -195364 439579 705894 530621
2: -206856 352947 -928795 530621
1: 285719 244205 -809480 530621
1: 293046 171717 823543 530621
1: 293046 222999 -470596 530621
1: 293046 227409 -554631 530621
2: -293046 482895 470596 530621
1: 304317 173901 605052 530621
2: -326536 537251 708295 530621
1: 346087 229177 -873964 530621
1: 353808 146523 823543 530621
1: 368186 226967 -941192 530621
2: -368186 617695 941192 530621
2: -386104 488579 117649 530621
1: 390728 179683 -352947 530621
1: 390728 218491 -930216 530621
2: -390728 526211 352947 530621
2: -396474 441441 -285719 530621
1: 404838 146523 235298 530621
1: 405756 192423 -655473 530621
2: -424634 537251 302526 530621
2: -428298 521703 201684 530621
2: -436696 495635 16807 530621
1: 439569 180075 -667478 530621
2: -456042 720447 941192 530621
2: -470596 606203 491470 530621
1: 528632 141659 -653072 530621
1: 537251 117649 -315756 530621
2: -537251 593047 264110 530621
1: 540124 99127 84035 530621
2: -542626 837811 936390 530621
1: 551616 147147 -857157 530621
2: -566636 652171 408170 530621
2: -571438 823543 827424 530621
1: 586092 93051 -235298 530621
2: -586092 554631 7889 530621
2: -586092 612843 235298 530621
2: -590716 847535 823543 530621
1: 600457 117649 -786352 530621
2: -668746 703885 352947 530621
1: 683774 32045 823543 530621
2: -683774 422773 -823543 530621
1: 705894 56355 -719810 530621
2: -709716 732615 352947 530621
1: 725662 48841 -823543 530621
1: 736372 31603 -470596 530621
2: -736372 813059 470596 530621
2: -755599 823543 459102 530621
1: 781456 4459 537824 530621
2: -781456 475643 -588245 530621
3: 813939 -11271 -624260 530621
3: 823543 -16807 -586092 530621
2: -823543 927979 516138 530621
2: -834054 577269 -218491 530621
3: 836381 -36703 -941192 530621
3: 844662 -33813 -705894 530621
3: 873964 -48841 -581385 530621
2: -873964 823543 304317 530621
3: 879138 -68523 -823543 530621
2: -885222 443037 -823543 530621
3: 909194 -29575 823543 530621
3: 957138 -146523 -823543 530621
3: 967603 -48841 590646 530621
2: -977207 606203 -244902 530621
3: 984334 -184877 -847210 530621
2: -985096 445315 -857157 530621
2: -988091 823543 190190 530621
2: -988312 948787 352947 530621
3: 988652 -48841 823543 530621
