Command line:- ../do_t 931 1000000
2: -1 455 -990584 931
2: -1 637 530670 931
2: -1 665 690802 931
1: 2 931 -868623 931
2: -2 931 864899 931
1: 3 399 573496 931
2: -3 441 -389158 931
1: 3 1029 -662074 931
1: 3 1083 -701092 931
2: -3 1197 769006 931
1: 4 361 588245 931
2: -4 361 -597849 931
1: 4 665 -175959 931
1: 4 1805 -749112 931
1: 4 2401 -832105 931
2: -4 2401 830661 931
1: 4 2785 -866761 931
2: -4 2801 866761 931
1: 4 6517 -990850 931
2: -4 6517 990318 931
2: -6 255 -866761 931
2: -6 399 -293265 931
2: -6 1029 328510 931
2: -6 1083 348145 931
2: -6 1155 371469 931
4: -6 -1617 972895 931
2: -6 1785 495292 931
4: -6 -1995 925414 931
4: -6 -2499 884450 931
3: 6 -2781 -866761 931
2: -6 2793 577220 931
4: -6 -2805 866761 931
2: -6 3135 593047 931
3: 6 -3591 -834176 931
2: -6 3927 619115 931
4: -6 -4389 814625 931
2: -6 4845 638666 931
4: -6 -5145 801059 931
4: -6 -5415 797132 931
4: -6 -6783 782040 931
2: -6 7203 666045 931
2: -6 7581 668850 931
2: -6 8085 672182 931
3: 6 -9261 -765681 931
3: 6 -9747 -763518 931
2: -6 10659 684285 931
4: -6 -11319 758100 931
4: -6 -11913 756315 931
2: -6 12495 689871 931
4: -6 -13965 751317 931
4: -6 -17493 745465 931
4: -6 -18411 744310 931
3: 6 -19467 -742938 931
2: -6 19551 701575 931
4: -6 -19635 742938 931
2: -6 21945 703836 931
3: 6 -25137 -738283 931
2: -6 27489 707560 931
4: -6 -30723 735490 931
2: -6 33915 710353 931
4: -6 -36015 733552 931
4: -6 -37905 732991 931
4: -6 -47481 730835 931
3: 6 -52839 -729904 931
2: -6 53067 714665 931
4: -6 -53295 729904 931
2: -6 56595 715141 931
2: -6 59565 715498 931
3: 6 -64827 -728498 931
3: 6 -68229 -728189 931
2: -6 74613 716870 931
4: -6 -79233 727415 931
4: -6 -83391 727160 931
2: -6 87465 717668 931
2: -6 92055 717899 931
4: -6 -97755 726446 931
4: -6 -122451 725610 931
4: -6 -128877 725445 931
3: 6 -136269 -725249 931
2: -6 136857 719340 931
4: -6 -137445 725249 931
2: -6 153615 719663 931
3: 6 -175959 -724584 931
2: -6 192423 720195 931
2: -6 202521 720300 931
4: -6 -215061 724185 931
2: -6 237405 720594 931
4: -6 -265335 723828 931
4: -6 -332367 723520 931
3: 6 -369873 -723387 931
2: -6 371469 721210 931
4: -6 -373065 723387 931
2: -6 396165 721278 931
2: -6 416955 721329 931
3: 6 -477603 -723142 931
2: -6 522291 721525 931
4: -6 -583737 722995 931
2: -6 612255 721639 931
2: -6 644385 721672 931
4: -6 -684285 722893 931
4: -6 -902139 722750 931
3: 6 -953883 -722722 931
4: -6 -962115 722722 931
1: 7 361 334082 931
2: -7 361 -343686 931
1: 7 397 247646 931
2: -7 401 -247646 931
1: 7 2401 -475798 931
2: -7 2401 474354 931
3: 7 -2401 -762432 931
4: -7 -2401 763876 931
1: 7 7543 -573496 931
3: 7 -7543 -664734 931
2: -7 7619 573496 931
4: -7 -7619 664734 931
1: 7 45619 -611572 931
2: -7 45619 611496 931
3: 7 -45619 -626658 931
4: -7 -45619 626734 931
1: 7 143317 -616714 931
3: 7 -143317 -621516 931
2: -7 144761 616714 931
4: -7 -144761 621516 931
1: 7 866761 -618718 931
2: -7 866761 618714 931
3: 7 -866761 -619512 931
4: -7 -866761 619516 931
1: 7 953197 -618754 931
3: 7 -953197 -619476 931
2: -7 962801 618754 931
4: -7 -962801 619476 931
3: 8 -931 -864899 931
4: -8 -931 868623 931
2: -8 2597 424536 931
1: 8 6517 -495558 931
2: -8 6517 495026 931
4: -8 -18179 558467 931
2: -8 19133 525819 931
3: 8 -45619 -548321 931
4: -8 -45619 548397 931
3: 8 -52763 -547428 931
4: -8 -53371 547428 931
2: -8 127253 539334 931
4: -8 -133931 543998 931
1: 8 369341 -540911 931
2: -8 373597 540911 931
2: -8 937517 541401 931
1: 9 285 456190 931
3: 9 -525 -990584 931
3: 9 -2793 -577220 931
1: 9 5145 -429590 931
1: 9 5415 -432180 931
3: 9 -5439 -530670 931
4: -9 -7203 519118 931
4: -9 -7581 517244 931
3: 9 -9975 -508326 931
1: 9 10545 -456190 931
3: 9 -19425 -495292 931
4: -9 -19677 495292 931
3: 9 -53067 -486570 931
1: 9 97755 -478800 931
3: 9 -103341 -484120 931
4: -9 -136857 483512 931
3: 9 -180075 -483018 931
3: 9 -189525 -482944 931
1: 9 190365 -480130 931
1: 9 200355 -480200 931
3: 9 -369075 -482258 931
4: -9 -373863 482258 931
1: 11 343 242592 931
2: -11 343 -252700 931
3: 11 -361 -998816 931
2: -11 4655 346332 931
3: 11 -15827 -407778 931
3: 11 -21679 -404054 931
1: 11 45619 -389196 931
2: -11 45619 389120 931
2: -11 74879 391020 931
2: -11 619115 393624 931
3: 11 -950453 -394212 931
4: -11 -965545 394212 931
1: 12 273 371469 931
1: 12 741 -91238 931
1: 12 1029 -166782 931
3: 12 -1491 -495292 931
1: 12 2793 -289541 931
4: -12 -3087 427063 931
3: 12 -4047 -410571 931
1: 12 7581 -334768 931
4: -12 -8379 385434 931
1: 12 13377 -346199 931
3: 12 -19383 -371469 931
4: -12 -19719 371469 931
4: -12 -22743 370097 931
1: 12 36309 -355642 931
3: 12 -52611 -364952 931
4: -12 -53523 364952 931
3: 12 -73059 -363888 931
1: 12 98553 -359121 931
1: 12 136857 -359689 931
3: 12 -198303 -362159 931
1: 12 371469 -360612 931
4: -12 -410571 361646 931
3: 12 -538251 -361522 931
3: 12 -949767 -361361 931
4: -12 -966231 361361 931
1: 13 361 177674 931
2: -13 361 -187278 931
3: 13 -949081 -333564 931
