Command line:- ../do_t 17017 1000000
1: 13 10115 990990 17017
1: 13 10285 -866320 17017
2: -17 10115 -858858 17017
2: -22 10115 -676676 17017
2: -22 10285 422331 17017
1: 28 10387 -935935 17017
1: 44 10283 -289289 17017
2: -52 10115 -319319 17017
2: -66 10647 845614 17017
1: 68 10115 143143 17017
2: -77 10285 80444 17017
1: 98 10115 81796 17017
1: 98 10285 -163761 17017
1: 117 9537 812812 17017
1: 119 10309 -172788 17017
1: 121 10829 -737256 17017
2: -121 10829 630292 17017
2: -126 9537 -871871 17017
2: -132 11271 980980 17017
1: 143 10115 38038 17017
1: 143 10285 -129948 17017
2: -147 9945 -320892 17017
2: -147 10647 349690 17017
1: 147 11271 -978406 17017
2: -153 9537 -728728 17017
1: 153 9555 588302 17017
1: 154 10829 -590733 17017
2: -154 10829 483769 17017
1: 154 11203 -884884 17017
2: -154 11339 884884 17017
2: -168 11271 759759 17017
1: 169 9163 915926 17017
2: -169 9581 -623084 17017
1: 169 9877 230384 17017
1: 169 10043 84966 17017
1: 169 10387 -201586 17017
1: 169 10829 -543048 17017
2: -169 10829 436084 17017
1: 169 11011 -675682 17017
2: -169 11011 570486 17017
2: -169 11033 586432 17017
1: 182 9163 845988 17017
2: -182 9163 -972400 17017
2: -182 9295 -845614 17017
1: 182 9469 561561 17017
2: -182 9605 -561561 17017
2: -182 10285 1547 17017
2: -187 9317 -804440 17017
2: -187 10115 -130130 17017
1: 187 11011 -615706 17017
1: 196 11011 -589849 17017
2: -196 11011 484653 17017
1: 204 10647 -345576 17017
2: -204 11271 616616 17017
1: 208 9295 623084 17017
1: 221 11221 -641784 17017
2: -221 11417 641784 17017
2: -231 11271 538538 17017
2: -234 9537 -497497 17017
1: 238 9295 536690 17017
1: 242 9163 620568 17017
2: -242 9163 -746980 17017
2: -242 9295 -651406 17017
2: -242 10115 -113568 17017
1: 242 10829 -395369 17017
2: -242 10829 288405 17017
2: -242 12155 909636 17017
2: -242 12181 920465 17017
1: 252 8619 993531 17017
2: -252 9555 -454597 17017
1: 264 11271 -567567 17017
2: -272 9295 -586432 17017
1: 273 9435 374374 17017
1: 289 9163 509366 17017
2: -289 9163 -635778 17017
1: 289 10829 -339768 17017
2: -289 10829 232804 17017
1: 289 11011 -416962 17017
2: -289 11011 311766 17017
1: 294 9801 146523 17017
2: -294 11271 412126 17017
1: 306 8349 985439 17017
1: 306 9537 273273 17017
1: 308 8515 867867 17017
1: 308 11135 -442442 17017
1: 312 10647 -244783 17017
2: -312 12495 802230 17017
2: -338 8477 -944163 17017
1: 338 8525 778855 17017
1: 338 8959 533610 17017
1: 338 9163 426360 17017
2: -338 9163 -552772 17017
1: 338 9625 200277 17017
1: 338 10115 -16940 17017
1: 338 10285 -87465 17017
1: 338 10829 -298265 17017
2: -338 10829 191301 17017
1: 338 11011 -364140 17017
2: -338 11011 258944 17017
1: 338 11375 -489566 17017
1: 338 11935 -667590 17017
1: 338 12155 -733040 17017
2: -338 12397 708917 17017
2: -338 13321 956879 17017
1: 343 13013 -953700 17017
2: -343 13013 864688 17017
2: -357 11271 330330 17017
2: -357 12441 680680 17017
1: 363 8085 976820 17017
1: 363 8967 488410 17017
2: -363 10647 109242 17017
1: 363 11271 -426790 17017
2: -363 11781 482664 17017
1: 363 12495 -775710 17017
1: 363 12675 -821338 17017
2: -364 9163 -517803 17017
1: 364 9559 210392 17017
1: 364 13351 -979132 17017
1: 371 8281 839256 17017
1: 374 8281 831963 17017
2: -374 8281 -971839 17017
1: 374 11011 -334152 17017
2: -374 11011 228956 17017
1: 374 13181 -916487 17017
2: -374 13573 916487 17017
2: -392 9295 -425986 17017
1: 392 9503 213928 17017
2: -396 8619 -742203 17017
1: 408 11271 -385385 17017
1: 429 7803 966966 17017
1: 434 12529 -663663 17017
1: 441 8619 538934 17017
1: 441 9537 171028 17017
1: 442 8281 693209 17017
2: -442 8281 -833085 17017
2: -442 9295 -384846 17017
2: -442 10115 -88088 17017
1: 442 11123 -320892 17017
2: -442 11515 320892 17017
1: 442 13013 -750057 17017
2: -442 13013 661045 17017
2: -442 13583 770770 17017
1: 442 14161 -954811 17017
2: -442 14161 873015 17017
2: -462 8775 -578578 17017
1: 462 11253 -341887 17017
1: 462 11271 -346346 17017
1: 462 13377 -785213 17017
1: 468 8619 503965 17017
2: -468 11067 187187 17017
2: -476 12103 427856 17017
2: -476 14651 882453 17017
1: 484 9163 278681 17017
2: -484 9163 -405093 17017
1: 484 14287 -894166 17017
2: -507 8415 -678062 17017
2: -507 9009 -445060 17017
1: 507 11271 -320166 17017
2: -507 13005 569184 17017
2: -507 13923 719950 17017
2: -517 14365 769692 17017
2: -532 15895 936936 17017
2: -539 8801 -495924 17017
1: 539 9317 195364 17017
1: 539 9971 6358 17017
2: -539 11011 142766 17017
2: -539 11509 252824 17017
1: 539 13039 -627198 17017
2: -539 14399 741234 17017
1: 546 7497 882453 17017
1: 546 9333 187187 17017
2: -546 9741 -187187 17017
1: 559 12859 -578578 17017
1: 561 11271 -294294 17017
2: -572 8687 -510510 17017
2: -572 10115 -81081 17017
1: 572 14399 -776594 17017
2: -572 14399 696150 17017
2: -578 7553 -957957 17017
1: 578 7631 770770 17017
1: 578 7735 726726 17017
1: 578 7865 673309 17017
2: -578 8177 -693693 17017
1: 578 8281 513645 17017
2: -578 8281 -653521 17017
1: 578 9163 223080 17017
2: -578 9163 -349492 17017
1: 578 9295 184338 17017
2: -578 9877 -143143 17017
2: -578 10043 -99372 17017
1: 578 10285 -74529 17017
1: 578 10829 -196625 17017
2: -578 10829 89661 17017
1: 578 11011 -234780 17017
2: -578 11011 129584 17017
2: -578 11869 301301 17017
1: 578 12155 -448448 17017
1: 578 13013 -584045 17017
2: -578 13013 495033 17017
2: -578 14027 640332 17017
1: 578 14365 -764841 17017
1: 578 14399 -768950 17017
2: -578 14399 688506 17017
2: -578 15521 819819 17017
2: -578 17017 967967 17017
1: 581 14161 -736164 17017
2: -581 14161 654368 17017
1: 583 8281 508640 17017
2: -583 8281 -648516 17017
1: 588 9075 244205 17017
1: 588 10659 -158015 17017
1: 588 11271 -283140 17017
1: 588 12675 -524535 17017
2: -588 13923 615043 17017
1: 588 15015 -826540 17017
2: -588 16731 925089 17017
2: -612 14883 703885 17017
1: 616 10999 -221221 17017
1: 627 7497 758472 17017
1: 629 14443 -714714 17017
2: -637 8855 -413270 17017
2: -637 9295 -286110 17017
1: 637 9299 160446 17017
2: -637 9775 -160446 17017
2: -637 10115 -78650 17017
2: -637 10285 -39780 17017
2: -637 13685 534820 17017
2: -637 13915 563550 17017
2: -637 14365 617100 17017
1: 637 14399 -701454 17017
2: -637 14399 621010 17017
2: -637 15895 776490 17017
1: 658 14365 -676753 17017
1: 663 7623 665210 17017
1: 663 10647 -143990 17017
1: 663 11025 -213928 17017
2: -663 11613 213928 17017
2: -663 17787 897702 17017
1: 663 18207 -990990 17017
2: -672 12495 347633 17017
1: 672 17199 -909194 17017
1: 676 7007 896478 17017
1: 676 9163 181577 17017
2: -676 9163 -307989 17017
2: -676 10703 44506 17017
1: 676 11011 -208369 17017
2: -676 11011 103173 17017
1: 676 14399 -663306 17017
2: -676 14399 582862 17017
2: -676 15631 705738 17017
2: -676 16819 807177 17017
1: 686 13013 -499103 17017
2: -686 13013 410091 17017
1: 689 8281 419628 17017
2: -689 8281 -559504 17017
2: -693 8619 -452914 17017
1: 693 9555 82654 17017
2: -697 7865 -693056 17017
1: 714 11271 -242242 17017
2: -714 14157 524433 17017
1: 714 17787 -896376 17017
2: -726 7293 -877149 17017
2: -726 10101 -78897 17017
2: -726 11271 136318 17017
2: -726 11739 210392 17017
1: 726 14553 -634933 17017
2: -726 18759 877982 17017
2: -726 20757 985439 17017
1: 728 9295 133518 17017
1: 728 15895 -747747 17017
1: 742 8281 384659 17017
2: -742 8281 -524535 17017
1: 742 18139 -884884 17017
1: 748 10115 -39039 17017
1: 748 11011 -193375 17017
2: -748 11011 88179 17017
2: -777 18513 804440 17017
1: 782 8591 281554 17017
2: -782 22253 975975 17017
1: 784 14399 -577473 17017
2: -784 14399 497029 17017
1: 784 20111 -937992 17017
2: -784 20111 880396 17017
2: -798 15249 561561 17017
2: -799 19723 844662 17017
1: 816 13167 -442442 17017
