Command line:- ../do_t 22253 1000000
2: -51 13167 -756602 22253
1: 154 14161 -988669 22253
2: -154 14161 848793 22253
1: 196 14399 -987513 22253
2: -196 14399 849949 22253
2: -238 13673 171955 22253
1: 242 13475 -167042 22253
1: 242 14161 -654585 22253
2: -242 14161 514709 22253
1: 252 12495 594473 22253
2: -264 14739 815507 22253
1: 294 12903 216172 22253
1: 294 14739 -859826 22253
1: 308 14603 -756602 22253
1: 363 11781 825384 22253
2: -363 14739 574770 22253
1: 392 12155 540430 22253
1: 442 15125 -722211 22253
1: 462 13005 66759 22253
2: -462 14739 437206 22253
2: -484 13583 14161 22253
1: 539 14399 -402866 22253
2: -539 14399 265302 22253
1: 539 14501 -432344 22253
2: -539 14977 432344 22253
1: 578 11123 769318 22253
2: -578 11515 -769318 22253
2: -588 14739 329120 22253
2: -612 17787 953122 22253
1: 616 14467 -378301 22253
2: -616 15011 378301 22253
2: -693 12495 -324258 22253
2: -693 17787 835210 22253
2: -726 13923 68782 22253
1: 726 14739 -388178 22253
1: 728 15827 -594473 22253
1: 759 18513 -962948 22253
2: -784 12427 -314721 22253
1: 792 17787 -835210 22253
2: -833 13915 49130 22253
2: -833 19481 884340 22253
1: 836 11543 378301 22253
1: 847 10829 589560 22253
1: 847 12155 206346 22253
1: 847 14161 -236980 22253
1: 847 14365 -275128 22253
1: 847 15895 -530026 22253
1: 847 18785 -898212 22253
1: 867 17325 -712096 22253
2: -867 18249 712096 22253
1: 902 10285 722211 22253
1: 924 14739 -319396 22253
2: -968 10115 -916419 22253
2: -1001 15827 324258 22253
1: 1008 17787 -668168 22253
2: -1071 17787 520778 22253
2: -1078 10115 -832898 22253
2: -1078 10285 -781167 22253
1: 1078 14263 -216172 22253
1: 1078 14399 -235824 22253
2: -1078 14399 98260 22253
2: -1078 15215 216172 22253
2: -1078 21301 810645 22253
2: -1078 21659 835210 22253
1: 1089 10659 481474 22253
1: 1089 15141 -334084 22253
1: 1122 12705 34391 22253
1: 1156 10927 384659 22253
2: -1156 11711 -384659 22253
1: 1156 17171 -534072 22253
2: -1156 18403 534072 22253
1: 1176 14739 -265353 22253
1: 1224 17787 -560082 22253
1: 1323 15609 -334084 22253
2: -1358 24565 791945 22253
1: 1386 17787 -501126 22253
2: -1452 14739 93296 22253
1: 1452 22491 -736950 22253
2: -1519 11033 -432344 22253
2: -1573 11849 -283220 22253
1: 1573 34391 -991746 22253
2: -1573 34391 934150 22253
1: 1584 16779 -378301 22253
2: -1584 17787 334084 22253
1: 1617 8925 648516 22253
1: 1617 14739 -211310 22253
2: -1617 18513 373388 22253
1: 1617 27951 -835210 22253
2: -1638 30855 825384 22253
2: -1659 40749 979132 22253
1: 1666 11011 225998 22253
2: -1666 16093 191607 22253
2: -1666 26257 692733 22253
1: 1666 34727 -943296 22253
1: 1683 17787 -422518 22253
1: 1694 9053 584647 22253
1: 1694 9163 560082 22253
2: -1694 9163 -776254 22253
2: -1694 10021 -584647 22253
1: 1694 13991 -137564 22253
1: 1694 14161 -153459 22253
2: -1694 14161 13583 22253
2: -1694 15487 137564 22253
1: 1734 16863 -356048 22253
2: -1734 18711 356048 22253
2: -1758 40425 918731 22253
2: -1771 23987 578578 22253
2: -1848 14739 58905 22253
1: 1848 40131 -918731 22253
2: -1848 44835 918731 22253
1: 1881 29631 -756602 22253
1: 1898 42581 -918731 22253
1: 1918 29189 -734349 22253
1: 1936 9163 476561 22253
2: -1936 9163 -692733 22253
1: 1936 54043 -981274 22253
2: -1936 54043 944622 22253
2: -2016 17787 250563 22253
1: 2023 16709 -305184 22253
2: -2023 18865 305184 22253
2: -2023 41503 806310 22253
1: 2057 16415 -284954 22253
2: -2057 18571 284954 22253
1: 2057 25795 -619038 22253
2: -2057 29183 619038 22253
1: 2057 36113 -786080 22253
2: -2057 83521 999404 22253
2: -2112 22491 432344 22253
1: 2142 25725 -594473 22253
2: -2142 29253 594473 22253
2: -2142 72237 928557 22253
2: -2156 8591 -751689 22253
2: -2156 11011 -334084 22253
1: 2156 13787 -108086 22253
1: 2156 14399 -152303 22253
2: -2156 14399 14739 22253
2: -2156 15691 108086 22253
2: -2156 20519 352869 22253
2: -2156 26299 527714 22253
1: 2156 34391 -731357 22253
2: -2156 34391 673761 22253
2: -2178 12495 -157216 22253
1: 2178 26877 -608923 22253
1: 2178 34221 -722211 22253
1: 2178 42483 -802842 22253
1: 2189 89131 -972774 22253
2: -2299 63869 836332 22253
2: -2312 11011 -317611 22253
1: 2312 16555 -267036 22253
2: -2312 19019 267036 22253
2: -2312 112651 935204 22253
2: -2338 100793 908905 22253
2: -2352 35547 629442 22253
1: 2352 91035 -909194 22253
1: 2352 97515 -918731 22253
2: -2352 112299 918731 22253
2: -2354 25721 467313 22253
2: -2376 250563 982597 22253
2: -2379 191301 962948 22253
1: 2401 218603 -972774 22253
2: -2429 454597 987224 22253
2: -2442 103173 873103 22253
2: -2448 17787 196520 22253
