Command line:- ../do_t 123823 1000000
1: 2744 75449 -834176 123823
2: -4802 75449 -161994 123823
1: 4802 76171 -796005 123823
2: -6498 73059 -619115 123823
2: -6859 75449 -235298 123823
2: -7203 81225 530670 123823
2: -13718 75803 -293265 123823
2: -13718 84035 282891 123823
2: -13718 89167 588245 123823
2: -14014 94943 866761 123823
1: 16807 71117 -227430 123823
1: 18772 60025 459914 123823
1: 20577 62769 195510 123823
2: -26068 117649 823080 123823
2: -27097 117649 781926 123823
1: 27436 48013 890771 123823
2: -27436 117649 769044 123823
2: -28519 117649 729942 123823
1: 28812 50421 651605 123823
1: 29841 61731 26068 123823
2: -30968 117649 651605 123823
2: -33271 130321 755286 123823
1: 33614 45619 761349 123823
2: -33614 130321 745178 123823
1: 33957 102885 -925414 123823
2: -35017 130321 705894 123823
2: -35378 117649 537890 123823
2: -35378 130321 696290 123823
2: -36822 151263 856653 123823
2: -38024 130321 631463 123823
1: 41154 61731 -117649 123823
2: -41154 144039 689087 123823
1: 41876 39053 866761 123823
2: -41876 61789 -866761 123823
1: 42028 117649 -932824 123823
2: -42028 117649 411540 123823
2: -43218 96387 88445 123823
1: 45619 130321 -957754 123823
2: -45619 130321 487158 123823
1: 48013 117649 -849034 123823
2: -48013 117649 327750 123823
1: 50421 136857 -919106 123823
2: -50421 194481 781926 123823
1: 51262 84035 -538251 123823
1: 51604 130321 -873964 123823
2: -51604 130321 403368 123823
1: 52136 117649 -802503 123823
2: -52136 117649 281219 123823
1: 52136 130321 -867447 123823
2: -52136 130321 396851 123823
1: 54194 117649 -781926 123823
2: -54194 117649 260642 123823
1: 54872 60025 -178752 123823
1: 54872 117649 -775485 123823
2: -54872 117649 254201 123823
2: -54872 294937 941192 123823
1: 56677 31213 884450 123823
1: 57038 117649 -755934 123823
2: -57038 117649 234650 123823
1: 62034 165699 -866761 123823
1: 62814 50421 -30324 123823
2: -65562 267501 729904 123823
1: 66542 130321 -730590 123823
2: -66542 130321 259994 123823
2: -67228 60025 -781926 123823
1: 67228 130321 -725536 123823
2: -67228 130321 254940 123823
2: -67228 404681 855190 123823
2: -67228 651605 963235 123823
1: 70034 130321 -705894 123823
2: -70034 130321 235298 123823
1: 70217 281219 -912380 123823
2: -70658 89167 -162925 123823
1: 70756 117649 -659908 123823
2: -70756 117649 138624 123823
1: 70756 130321 -701092 123823
2: -70756 130321 230496 123823
1: 73549 117649 -644746 123823
2: -73549 117649 123462 123823
2: -74366 314531 689871 123823
1: 74431 184877 -781926 123823
1: 75264 185193 -775523 123823
1: 75922 857375 -957999 123823
1: 75962 651605 -941192 123823
1: 77178 352947 -871093 123823
1: 81634 219127 -760627 123823
2: -81634 562799 760627 123823
