Command line:- ../do_t 730303 1000000
1: 38437 417605 864234 730303
2: -56644 459553 -131784 730303
1: 74137 417605 -781926 730303
1: 94503 390963 679728 730303
1: 94962 390963 663255 730303
1: 115311 390963 64736 730303
1: 167042 354025 781926 730303
1: 167042 395675 -980837 730303
1: 192052 377245 -584647 730303
2: -194208 514425 -38437 730303
1: 204323 336091 790704 730303
2: -206346 486387 -912247 730303
1: 233206 336091 299693 730303
1: 240737 319345 781926 730303
1: 250563 312987 849072 730303
2: -250563 497097 -884450 730303
1: 260642 315875 584647 730303
1: 260642 354025 -580890 730303
2: -260642 568939 476561 730303
2: -260642 584647 738647 730303
2: -269059 584647 658464 730303
2: -300713 584647 397100 730303
2: -301546 584647 390963 730303
2: -324258 514425 -854658 730303
1: 334084 300713 101802 730303
2: -334084 624169 669522 730303
2: -334084 633913 781926 730303
2: -336091 528143 -668168 730303
2: -336091 584647 163248 730303
2: -337022 584647 157757 730303
2: -373388 651605 702219 730303
1: 386274 250563 912247 730303
1: 390963 250563 850248 730303
1: 390963 312987 -679728 730303
2: -390963 663255 706384 730303
2: -393148 651605 584647 730303
1: 418399 240737 796518 730303
1: 441014 233567 730303 730303
1: 466412 240065 275128 730303
1: 481474 219127 668933 730303
2: -481474 562799 -668933 730303
2: -501126 770763 912247 730303
1: 521284 240737 -235212 730303
2: -521284 573937 -648516 730303
2: -521284 653429 52717 730303
2: -521284 750533 707761 730303
2: -538118 651605 -13872 730303
1: 584647 182305 550886 730303
2: -584647 599621 -550886 730303
2: -584647 829141 864234 730303
1: 585903 250563 -849072 730303
1: 599386 240737 -781926 730303
2: -601426 584647 -713697 730303
1: 616588 240737 -883728 730303
2: -631218 751689 342950 730303
2: -658342 912247 935697 730303
2: -668168 881201 796005 730303
2: -668304 843657 653429 730303
1: 672182 135541 988380 730303
2: -672182 584647 -830623 730303
2: -672182 816221 530604 730303
1: 688636 130321 962948 730303
1: 699618 144039 378301 730303
1: 725249 130321 501126 730303
1: 730303 130321 441014 730303
2: -730303 651605 -441014 730303
2: -735794 912247 714119 730303
1: 736372 130321 369920 730303
1: 741608 130321 309519 730303
1: 746776 130321 250733 730303
1: 748258 112999 816221 730303
1: 751689 128877 237538 730303
1: 776254 118769 257754 730303
2: -781354 912247 604299 730303
1: 781926 142443 -407779 730303
2: -781926 807177 237558 730303
1: 805732 130321 -366520 730303
2: -807177 751689 -41154 730303
2: -811832 790993 116603 730303
1: 816221 89167 825384 730303
2: -816221 610451 -825384 730303
2: -822358 912247 515865 730303
1: 823004 83521 987696 730303
1: 823004 130321 -530604 730303
1: 828856 130321 -584647 730303
1: 834632 83521 796005 730303
1: 834632 130321 -637245 730303
1: 835499 83521 781926 730303
2: -864234 967119 584647 730303
2: -873278 912247 417605 730303
2: -886977 722211 -294576 730303
1: 898529 116603 -962948 730303
1: 905388 67473 373388 730303
1: 912247 70805 102306 730303
1: 912247 79135 -216172 730303
1: 912247 83521 -358330 730303
1: 912247 88445 -501126 730303
1: 912247 93347 -628320 730303
1: 912247 104329 -869890 730303
1: 918731 59927 521284 730303
2: -918731 683011 -521284 730303
2: -918731 816221 37506 730303
1: 919828 83521 -460636 730303
2: -932127 761349 -186694 730303
1: 932824 83521 -632149 730303
1: 933793 83521 -644746 730303
1: 948209 48013 637602 730303
2: -954788 651605 -722211 730303
1: 954856 83521 -912247 730303
1: 962948 48013 287793 730303
2: -962948 651605 -729963 730303
2: -962948 908905 260642 730303
2: -979032 751689 -283024 730303
