Command line:- ../do_t 480491 1000000
2: -130321 336743 -96800 480491
1: 161051 198911 899536 480491
2: -161051 363527 213180 480491
2: -161051 366025 260642 480491
2: -184832 424589 917301 480491
1: 260642 161051 632137 480491
2: -260642 480491 810579 480491
2: -264252 483153 806113 480491
1: 271524 185193 -126445 480491
1: 278179 161051 411540 480491
2: -297198 390963 -161051 480491
1: 315447 219849 -960982 480491
2: -315447 562077 960982 480491
1: 322102 130321 801152 480491
1: 322102 216239 -941127 480491
2: -322102 565687 941127 480491
1: 390963 131769 3146 480491
1: 390963 144837 -263538 480491
2: -390963 483153 235114 480491
2: -393129 390963 -409948 480491
2: -393976 651605 925045 480491
2: -455202 390963 -515097 480491
1: 457292 130321 -483153 480491
1: 459553 75449 966306 480491
1: 480491 130321 -630894 480491
2: -480491 651605 630894 480491
1: 483153 128877 -627418 480491
2: -483153 395307 -521284 480491
2: -483153 653049 627418 480491
1: 521284 73205 198924 480491
1: 521284 126445 -817234 480491
1: 521284 133705 -893101 480491
2: -521284 832601 893101 480491
2: -540056 651605 483153 480491
1: 630894 48735 -480491 480491
2: -630894 733191 480491 480491
1: 679041 20577 -322102 480491
2: -708282 810579 480491 480491
3: 781926 -43923 -653642 480491
3: 781926 -70851 -966306 480491
2: -781926 443223 -525745 480491
2: -781926 658845 129470 480491
2: -781926 893475 483153 480491
3: 829939 -34295 380666 480491
2: -829939 486989 -380666 480491
2: -834537 483153 -397822 480491
3: 836798 -77803 -556358 480491
2: -849178 912247 423621 480491
2: -859826 651605 39930 480491
2: -884752 816221 278179 480491
3: 885533 -130321 -644204 480491
2: -905388 432117 -644204 480491
3: 912247 -278179 -916938 480491
2: -912247 432839 -644204 480491
3: 960982 -130321 -315447 480491
2: -960982 912247 315447 480491
3: 966306 -133209 -313709 480491
2: -966306 915135 313709 480491
3: 966758 -424589 -917301 480491
