Command line:- ../do_t 65219 1000000
1: 2401 34727 878460 65219
1: 2401 42845 -966306 65219
2: -2401 45001 966306 65219
1: 3087 43923 -945252 65219
2: -3234 36015 -805255 65219
2: -3641 45619 644204 65219
2: -4802 38269 -322102 65219
1: 4802 41767 -483153 65219
2: -4802 46079 483153 65219
2: -4802 49973 790614 65219
1: 5324 47677 -894432 65219
2: -5324 53165 894432 65219
2: -6174 43923 182105 65219
1: 7203 40689 -322102 65219
2: -7203 47157 322102 65219
2: -7777 31213 -966306 65219
1: 7986 46305 -596288 65219
2: -7986 54537 596288 65219
2: -8232 33957 -644204 65219
2: -8349 64827 878460 65219
2: -8558 69629 966306 65219
1: 8918 25289 968968 65219
1: 9317 45619 -511104 65219
2: -9317 55223 511104 65219
2: -9604 29645 -995588 65219
1: 9604 33517 117128 65219
2: -9604 46585 171699 65219
2: -9604 67529 805255 65219
2: -9604 73205 914518 65219
2: -9702 50421 322102 65219
1: 9947 64141 -966306 65219
1: 10406 40817 -292820 65219
1: 10648 44933 -447216 65219
2: -10648 55909 447216 65219
1: 11858 69629 -907742 65219
2: -11858 88837 907742 65219
1: 14406 27951 286165 65219
1: 14406 37455 -161051 65219
2: -14406 50391 161051 65219
2: -14406 53361 234256 65219
1: 14406 82401 -878460 65219
2: -14406 131769 973324 65219
2: -14641 31213 -641058 65219
1: 14641 42875 -325248 65219
2: -14641 57967 325248 65219
1: 14641 60025 -647350 65219
1: 15004 67081 -717409 65219
2: -15004 91385 717409 65219
1: 15092 105301 -966306 65219
2: -15092 143717 966306 65219
1: 15972 42189 -298144 65219
2: -15972 58653 298144 65219
1: 16121 18865 966306 65219
2: -16562 184877 966306 65219
2: -17052 131769 812273 65219
1: 17754 165669 -966306 65219
2: -18228 79233 483153 65219
1: 18634 40817 -255552 65219
2: -18634 60025 255552 65219
2: -19208 158389 779966 65219
1: 19208 247093 -966306 65219
2: -19208 367829 966306 65219
1: 19668 21609 483153 65219
1: 20286 396165 -966306 65219
2: -20433 483153 938938 65219
1: 20691 25725 204974 65219
1: 21021 684285 -966306 65219
2: -21119 132055 644204 65219
1: 21296 39445 -223608 65219
2: -21296 61397 223608 65219
1: 21609 17787 702768 65219
2: -21609 28875 -644204 65219
2: -21609 33033 -439230 65219
1: 21609 43923 -301048 65219
2: -21609 117975 585640 65219
1: 21609 155001 -790614 65219
2: -21609 307461 831270 65219
2: -21609 444675 878460 65219
1: 21609 475167 -921052 65219
1: 22442 161051 -770231 65219
2: -22442 161051 664587 65219
1: 22638 95697 -644204 65219
2: -22638 153321 644204 65219
3: 22869 -424977 -995588 65219
4: -22869 -684285 995588 65219
2: -23184 396165 805255 65219
2: -23324 57233 139755 65219
4: -23324 -811195 966306 65219
4: -23474 -962801 951665 65219
4: -23667 -645183 966306 65219
1: 23716 60025 -453871 65219
2: -23716 98441 453871 65219
1: 23958 266511 -789283 65219
2: -23958 439383 789283 65219
1: 24486 36015 -161051 65219
3: 24684 -414687 -922383 65219
4: -24684 -694575 922383 65219
1: 24696 19965 400631 65219
1: 24696 72237 -512435 65219
1: 24696 124509 -658845 65219
1: 25179 122451 -644204 65219
4: -25256 -333739 966306 65219
2: -25578 26499 -717409 65219
4: -26103 -266511 966306 65219
2: -26362 182347 586971 65219
1: 26411 12985 966306 65219
2: -26411 22589 -966306 65219
1: 27244 348601 -717409 65219
2: -27244 617705 717409 65219
1: 27391 336743 -711480 65219
1: 27951 36015 -170368 65219
2: -27951 64827 170368 65219
3: 28077 -570999 -794486 65219
3: 28266 -396165 -805255 65219
3: 28798 -391363 -790614 65219
4: -28798 -717899 790614 65219
1: 28812 83853 -495132 65219
2: -28812 195657 547041 65219
1: 28812 216909 -644204 65219
2: -28812 398013 644204 65219
2: -28812 483153 660759 65219
3: 28812 -922383 -760243 65219
2: -28842 64827 161051 65219
1: 29282 35329 -162624 65219
2: -29282 65513 162624 65219
1: 29282 161051 -602651 65219
2: -29282 161051 497007 65219
3: 29282 -161051 -849954 65219
4: -29282 -161051 955598 65219
1: 29282 247303 -645777 65219
3: 29282 -247303 -806828 65219
2: -29282 458591 645777 65219
4: -29282 -458591 806828 65219
4: -29766 -136857 980947 65219
1: 29841 282975 -644204 65219
1: 30184 86093 -483153 65219
