Command line:- ../do_t 292201 1000000
2: -4332 177723 371293 292201
1: 4693 172039 742586 292201
2: -4693 175763 -742586 292201
1: 9386 170177 371293 292201
2: -9386 177625 -371293 292201
1: 17689 169169 -131820 292201
1: 24206 172919 -742586 292201
2: -24206 193135 742586 292201
1: 35378 160381 59319 292201
2: -35378 199927 631046 292201
2: -40432 190463 -57122 292201
1: 48412 162811 -371293 292201
2: -48412 203243 371293 292201
2: -49686 189525 -257049 292201
1: 51207 159201 -228488 292201
2: -53067 202293 228488 292201
2: -57122 194579 -137904 292201
1: 59584 147199 208715 292201
2: -61446 211185 371293 292201
1: 68894 142805 215137 292201
2: -70756 199927 -111540 292201
2: -70756 208715 147199 292201
2: -72501 235011 768950 292201
1: 92274 159201 -604175 292201
1: 93499 142805 -156156 292201
2: -98696 190855 -542659 292201
2: -104481 265335 742586 292201
1: 106134 168831 -856830 292201
2: -108661 198575 -399854 292201
2: -110864 245119 399854 292201
1: 114244 106495 811538 292201
2: -114244 181583 -811538 292201
2: -115596 174363 -999635 292201
2: -123823 185003 -742586 292201
2: -141512 199927 -482833 292201
1: 156674 120835 -184548 292201
2: -159201 230685 -96668 292201
2: -159201 303693 571220 292201
2: -161006 371293 939575 292201
1: 169169 123823 -329550 292201
2: -171366 280497 325325 292201
1: 176176 123823 -371293 292201
2: -199927 371293 667128 292201
2: -204687 399399 742586 292201
2: -207613 371293 625404 292201
1: 212268 67431 685464 292201
1: 212268 76323 371293 292201
1: 212268 85683 111033 292201
1: 223587 83391 57122 292201
1: 228488 68951 405769 292201
2: -228488 219127 -405769 292201
1: 233142 68229 371293 292201
2: -237177 486213 799708 292201
1: 238336 114751 -542659 292201
1: 247793 133931 -742586 292201
1: 257754 85683 -260260 292201
1: 269724 53067 428415 292201
1: 283024 41743 735995 292201
1: 283024 76895 -290004 292201
2: -298186 538265 648115 292201
1: 303962 114023 -742586 292201
2: -305368 463567 500916 292201
1: 311974 88445 -586599 292201
2: -312949 194579 -742586 292201
2: -314171 346199 177450 292201
1: 317471 107939 -742586 292201
2: -325983 968877 896376 292201
2: -336091 272935 -171366 292201
1: 342732 53067 -348309 292201
1: 359632 123823 -885391 292201
1: 361361 82859 -742586 292201
2: -361361 861175 742586 292201
2: -367913 492043 399854 292201
1: 371293 17689 592436 292201
1: 371293 22021 249704 292201
1: 371293 28561 -70756 292201
1: 371293 56791 -607126 292201
1: 371293 154147 -949858 292201
2: -371293 194579 -763802 292201
1: 371293 199927 -995638 292201
2: -371293 199927 -712614 292201
2: -371293 266057 -249704 292201
