Command line:- ../do_t 289 1000000
2: -1 79 -501126 289
1: 1 85 432344 289
3: 1 -173 -835210 289
2: -1 187 29478 289
4: -1 -187 805732 289
1: 1 289 -167620 289
2: -1 289 166464 289
3: 1 -289 -667590 289
4: -1 -289 668746 289
1: 1 865 -334084 289
3: 1 -865 -501126 289
2: -1 869 334084 289
4: -1 -869 501126 289
2: -1 1343 363562 289
4: -1 -1343 471648 289
1: 1 1445 -367608 289
3: 1 -1445 -467602 289
1: 1 2941 -393040 289
3: 1 -2941 -442170 289
2: -1 3179 394774 289
4: -1 -3179 440436 289
1: 1 4913 -402900 289
2: -1 4913 402832 289
3: 1 -4913 -432310 289
4: -1 -4913 432378 289
1: 1 14705 -412692 289
3: 1 -14705 -422518 289
2: -1 14773 412692 289
4: -1 -14773 422518 289
2: -1 22831 414426 289
4: -1 -22831 420784 289
1: 1 24565 -414664 289
3: 1 -24565 -420546 289
1: 1 49997 -416160 289
3: 1 -49997 -419050 289
2: -1 54043 416262 289
4: -1 -54043 418948 289
1: 1 83521 -416740 289
2: -1 83521 416736 289
3: 1 -83521 -418470 289
4: -1 -83521 418474 289
1: 1 249985 -417316 289
3: 1 -249985 -417894 289
2: -1 251141 417316 289
4: -1 -251141 417894 289
2: -1 388127 417418 289
4: -1 -388127 417792 289
1: 1 417605 -417432 289
3: 1 -417605 -417778 289
1: 1 849949 -417520 289
3: 1 -849949 -417690 289
2: -1 918731 417526 289
4: -1 -918731 417684 289
2: -2 67 -334084 289
4: -2 -67 751689 289
2: -2 221 44217 289
4: -2 -221 373388 289
1: 2 289 -84099 289
2: -2 289 82943 289
3: 2 -289 -333506 289
4: -2 -289 334662 289
1: 2 863 -167042 289
3: 2 -863 -250563 289
2: -2 871 167042 289
4: -2 -871 250563 289
2: -2 1139 176868 289
4: -2 -1139 240737 289
2: -2 3757 199121 289
4: -2 -3757 218484 289
1: 2 4913 -201467 289
2: -2 4913 201399 289
3: 2 -4913 -216138 289
4: -2 -4913 216206 289
1: 2 14671 -206346 289
3: 2 -14671 -211259 289
2: -2 14807 206346 289
4: -2 -14807 211259 289
2: -2 19363 206924 289
4: -2 -19363 210681 289
2: -2 63869 208233 289
4: -2 -63869 209372 289
1: 2 83521 -208371 289
2: -2 83521 208367 289
3: 2 -83521 -209234 289
4: -2 -83521 209238 289
1: 2 249407 -208658 289
3: 2 -249407 -208947 289
2: -2 251719 208658 289
4: -2 -251719 208947 289
2: -2 329171 208692 289
4: -2 -329171 208913 289
3: 3 -51 -609212 289
3: 3 -123 -334084 289
2: -3 153 -19652 289
3: 3 -357 -206346 289
3: 3 -861 -167042 289
1: 3 867 -111554 289
4: -3 -873 167042 289
1: 3 2091 -127738 289
4: -3 -2601 148546 289
1: 3 6069 -135252 289
1: 3 14637 -137564 289
3: 3 -14739 -140828 289
2: -3 14841 137564 289
3: 3 -35547 -139876 289
2: -3 44217 138652 289
3: 3 -103173 -139434 289
3: 3 -248829 -139298 289
1: 3 250563 -139106 289
4: -3 -252297 139298 289
1: 3 604299 -139162 289
4: -3 -751689 139234 289
4: -4 -25 835210 289
2: -4 35 -417605 289
4: -4 -85 319345 289
2: -4 119 -49130 289
4: -4 -125 250563 289
3: 4 -289 -166464 289
4: -4 -289 167620 289
4: -4 -425 147390 289
2: -4 595 73695 289
1: 4 859 -83521 289
2: -4 875 83521 289
4: -4 -1445 117045 289
2: -4 2023 95370 289
4: -4 -2125 112999 289
2: -4 2975 98260 289
3: 4 -4913 -108052 289
4: -4 -4913 108120 289
4: -4 -7225 106930 289
2: -4 10115 102595 289
1: 4 14603 -103173 289
2: -4 14875 103173 289
4: -4 -24565 105145 289
2: -4 34391 103870 289
4: -4 -36125 104907 289
2: -4 50575 104040 289
3: 4 -83521 -104616 289
4: -4 -83521 104620 289
4: -4 -122825 104550 289
2: -4 171955 104295 289
1: 4 248251 -104329 289
2: -4 252875 104329 289
4: -4 -417605 104445 289
2: -4 584647 104370 289
4: -4 -614125 104431 289
2: -4 859775 104380 289
3: 6 -45 -334084 289
4: -6 -51 309519 289
3: 6 -153 -147390 289
1: 6 765 -54043 289
3: 6 -855 -83521 289
2: -6 867 55488 289
4: -6 -879 83521 289
1: 6 2601 -65025 289
3: 6 -2907 -73695 289
3: 6 -13005 -70516 289
1: 6 14535 -68782 289
4: -6 -14739 70431 289
2: -6 14943 68782 289
3: 6 -44217 -69870 289
1: 6 49419 -69360 289
1: 6 221085 -69547 289
3: 6 -247095 -69649 289
2: -6 250563 69552 289
4: -6 -254031 69649 289
1: 6 751689 -69585 289
3: 6 -840123 -69615 289
3: 7 -17 -658342 289
4: -7 -17 677994 289
1: 7 14501 -58956 289
2: -7 14977 58956 289
1: 7 83521 -59536 289
2: -7 83521 59532 289
3: 8 -17 -574821 289
4: -8 -17 594473 289
1: 8 23 334084 289
3: 8 -289 -82943 289
4: -8 -289 84099 289
1: 8 391 -29478 289
3: 8 -4913 -54009 289
4: -8 -4913 54077 289
1: 8 6647 -50864 289
3: 8 -83521 -52307 289
4: -8 -83521 52311 289
1: 8 112999 -52122 289
2: -9 15 -501126 289
1: 9 51 108086 289
4: -9 -255 78608 289
3: 9 -867 -55488 289
4: -9 -3009 49130 289
2: -9 4335 44506 289
1: 9 14739 -45866 289
2: -9 51153 46240 289
4: -9 -73695 46512 289
3: 9 -250563 -46432 289
4: -9 -869601 46410 289
1: 11 1445 -33524 289
3: 11 -4913 -39270 289
4: -11 -4913 39338 289
4: -11 -36703 38148 289
1: 11 319345 -37944 289
1: 12 867 -28033 289
4: -12 -1377 39304 289
1: 12 14331 -34391 289
2: -12 15147 34391 289
1: 12 250563 -34777 289
4: -12 -397953 34816 289
4: -13 -19 334084 289
4: -13 -799 39304 289
2: -13 93347 32062 289
3: 14 -17 -324258 289
4: -14 -17 343910 289
4: -14 -1445 33524 289
1: 14 14263 -29478 289
2: -14 15215 29478 289
1: 14 83521 -29769 289
2: -14 83521 29765 289
4: -14 -879427 29835 289
1: 16 2839 -24565 289
1: 16 48263 -26010 289
1: 16 820471 -26095 289
1: 17 7 560082 289
3: 17 -7 -609212 289
1: 17 49 58956 289
3: 17 -49 -108086 289
2: -17 53 -58956 289
4: -17 -53 108086 289
1: 17 83521 -24516 289
2: -17 83521 24512 289
3: 17 -83521 -24614 289
4: -17 -83521 24618 289
1: 17 584647 -24558 289
3: 17 -584647 -24572 289
2: -18 51 -58956 289
4: -18 -867 28033 289
2: -18 14739 22916 289
4: -18 -250563 23217 289
4: -19 -85 68782 289
1: 19 239581 -21964 289
2: -19 261545 21964 289
2: -21 2601 18496 289
3: 21 -9537 -20230 289
1: 21 14025 -19652 289
2: -21 15453 19652 289
3: 21 -810645 -19890 289
3: 22 -4913 -19618 289
4: -22 -4913 19686 289
1: 23 17 157216 289
2: -23 17 -176868 289
3: 24 -9 -334084 289
2: -24 255 4913 289
1: 24 1071 -14739 289
3: 24 -2601 -18496 289
2: -24 52887 17340 289
2: -24 73695 17357 289
1: 24 309519 -17391 289
3: 24 -751689 -17404 289
1: 26 85 14739 289
3: 26 -417605 -16068 289
3: 26 -800819 -16065 289
3: 28 -17 -157216 289
4: -28 -17 176868 289
1: 28 13787 -14739 289
2: -28 15691 14739 289
4: -29 -53465 14450 289
1: 31 595 -9826 289
2: -32 7 -334084 289
3: 32 -1241 -14739 289
2: -32 2023 11849 289
3: 32 -358649 -13056 289
2: -32 584647 13046 289
4: -33 -51 58956 289
1: 33 751689 -12652 289
2: -34 5 -447083 289
4: -34 -5 471648 289
2: -34 11 -196520 289
4: -34 -11 221085 289
1: 34 47 29478 289
3: 34 -47 -54043 289
2: -34 55 -29478 289
4: -34 -55 54043 289
1: 34 83521 -12259 289
2: -34 83521 12255 289
3: 34 -83521 -12306 289
4: -34 -83521 12310 289
2: -34 417605 12277 289
4: -34 -417605 12288 289
2: -34 918731 12280 289
4: -34 -918731 12285 289
1: 36 51 24565 289
1: 36 14739 -11475 289
1: 36 45951 -11560 289
3: 38 -2023 -11849 289
1: 38 228599 -10982 289
2: -38 272527 10982 289
2: -39 2295 9826 289
4: -39 -928557 10710 289
1: 41 4913 -9860 289
2: -41 4913 9792 289
1: 42 13311 -9826 289
2: -42 16167 9826 289
3: 43 -13277 -9826 289
4: -43 -16201 9826 289
1: 44 323 -4913 289
3: 44 -4913 -9792 289
4: -44 -4913 9860 289
1: 46 17 73695 289
2: -46 17 -93347 289
4: -46 -2329 9826 289
4: -46 -34391 9129 289
1: 46 417605 -9075 289
2: -47 152303 8874 289
4: -48 -153 19652 289
4: -48 -44217 8738 289
2: -51 3 -520778 289
3: 51 -9 -147390 289
1: 51 45 19652 289
2: -51 57 -19652 289
2: -51 250563 8182 289
3: 51 -751689 -8190 289
1: 52 7 167042 289
3: 54 -561 -9826 289
4: -54 -21675 7803 289
4: -54 -958035 7735 289
3: 56 -17 -73695 289
4: -56 -17 93347 289
4: -56 -25721 7514 289
4: -57 -9 167042 289
1: 57 250563 -7322 289
2: -61 112999 6834 289
3: 63 -3 -334084 289
1: 63 14739 -6562 289
3: 66 -51 -24565 289
3: 66 -30345 -6358 289
4: -67 -54043 6256 289
3: 68 -1 -903992 289
1: 68 43 14739 289
2: -68 59 -14739 289
3: 68 -83521 -6152 289
4: -68 -83521 6156 289
1: 71 8381 -5780 289
4: -74 -8381 5780 289
2: -74 34391 5610 289
3: 76 -85 -14739 289
1: 76 206635 -5491 289
2: -76 294491 5491 289
1: 82 4913 -4947 289
2: -82 4913 4879 289
1: 84 11883 -4913 289
2: -84 17595 4913 289
3: 86 -11815 -4913 289
4: -86 -17663 4913 289
3: 88 -4913 -4879 289
4: -88 -4913 4947 289
3: 91 -673081 -4590 289
2: -93 397953 4488 289
1: 96 39015 -4335 289
1: 102 3 176868 289
2: -102 9 -93347 289
1: 102 39 9826 289
2: -102 63 -9826 289
1: 102 250563 -4092 289
2: -102 751689 4093 289
1: 103 83521 -4048 289
2: -103 83521 4044 289
3: 109 -1 -501126 289
4: -109 -1 835210 289
2: -114 250563 3660 289
1: 119 83521 -3504 289
2: -119 83521 3500 289
4: -126 -3 250563 289
3: 126 -255 -4913 289
2: -126 14739 3264 289
3: 126 -604299 -3315 289
3: 129 -14739 -3264 289
2: -132 427431 3162 289
3: 136 -1 -368475 289
4: -136 -1 702559 289
1: 136 7 49130 289
3: 136 -83521 -3075 289
4: -136 -83521 3079 289
1: 136 584647 -3070 289
4: -139 -417605 3006 289
2: -144 66759 2890 289
4: -146 -323 4913 289
4: -153 -3 216172 289
4: -153 -250563 2732 289
2: -158 584647 2642 289
2: -159 73695 2618 289
3: 181 -83521 -2310 289
4: -181 -83521 2314 289
3: 187 -29 -9826 289
4: -187 -73 9826 289
2: -202 11849 2023 289
2: -204 3 -171955 289
1: 204 27 4913 289
2: -204 75 -4913 289
2: -204 250563 2045 289
1: 206 83521 -2025 289
2: -206 83521 2021 289
3: 208 -11849 -2023 289
1: 211 24565 -1972 289
2: -213 3 -167042 289
4: -214 -24565 1972 289
3: 218 -1 -167042 289
4: -218 -1 501126 289
2: -221 7 -68782 289
3: 221 -417605 -1890 289
1: 228 250563 -1831 289
1: 238 83521 -1753 289
2: -238 83521 1749 289
3: 241 -111265 -1734 289
4: -241 -389861 1734 289
4: -242 -55777 1734 289
1: 252 14739 -1649 289
4: -258 -14739 1649 289
1: 274 918731 -1524 289
1: 289 1 82076 289
2: -289 1 -416160 289
3: 289 -1 -84966 289
4: -289 -1 419050 289
2: -289 5 -82076 289
4: -289 -5 84966 289
1: 289 83521 -1444 289
2: -289 83521 1440 289
3: 289 -83521 -1446 289
4: -289 -83521 1450 289
2: -289 417605 1444 289
4: -289 -417605 1446 289
4: -304 -122825 1377 289
3: 306 -3 -24565 289
3: 306 -250563 -1365 289
2: -314 417605 1329 289
3: 346 -859775 -1207 289
3: 351 -162129 -1190 289
1: 356 761515 -1173 289
1: 361 41905 -1156 289
2: -361 459221 1156 289
3: 362 -83521 -1154 289
4: -362 -83521 1158 289
4: -364 -41905 1156 289
3: 374 -7 -4913 289
4: -374 -95 4913 289
2: -381 44217 1088 289
3: 384 -44217 -1088 289
1: 391 417605 -1068 289
4: -408 -9 39304 289
4: -408 -751689 1024 289
2: -431 1 -334084 289
4: -436 -1 334084 289
1: 482 28033 -867 289
4: -482 -529159 867 289
4: -488 -28033 867 289
3: 534 -987513 -782 289
1: 546 221085 -765 289
3: 556 -417605 -751 289
2: -561 751689 744 289
1: 578 1 -42483 289
2: -578 1 -291601 289
3: 578 -1 41038 289
4: -578 -1 293046 289
2: -578 7 -41038 289
4: -578 -7 42483 289
1: 578 83521 -723 289
2: -578 83521 719 289
3: 578 -83521 -722 289
4: -578 -83521 726 289
2: -578 584647 722 289
4: -578 -584647 723 289
2: -584 270215 714 289
2: -592 34391 697 289
3: 598 -34391 -697 289
4: -697 -7 39304 289
1: 721 83521 -580 289
2: -721 83521 576 289
3: 722 -166753 -578 289
2: -722 667879 578 289
1: 723 167331 -578 289
4: -723 -668457 578 289
3: 724 -83521 -576 289
4: -724 -83521 580 289
4: -813 -751689 514 289
2: -852 3 -83521 289
1: 862 1 -83521 289
2: -862 1 -250563 289
1: 867 3 -28322 289
4: -867 -9 28322 289
1: 867 250563 -482 289
4: -867 -751689 482 289
3: 872 -1 83521 289
4: -872 -1 250563 289
4: -882 -3 83521 289
4: -884 -417605 473 289
4: -946 -437257 442 289
3: 969 -9 9826 289
2: -969 250563 430 289
4: -984 -397953 425 289
4: -1054 -25 9826 289
4: -1071 -3 78608 289
1: 1083 250563 -386 289
1: 1088 7 -14739 289
1: 1088 584647 -384 289
3: 1116 -515865 -374 289
3: 1156 -1 104040 289
4: -1156 -1 230044 289
3: 1156 -5 20519 289
2: -1156 11 -20519 289
3: 1156 -83521 -360 289
4: -1156 -83521 364 289
3: 1156 -417605 -361 289
2: -1156 918731 361 289
2: -1182 751689 353 289
2: -1224 15 -14739 289
1: 1231 142477 -340 289
4: -1234 -142477 340 289
2: -1264 584647 330 289
2: -1432 82943 289 289
3: 1438 -82943 -289 289
1: 1442 83521 -291 289
2: -1442 83521 287 289
3: 1444 -584069 -289 289
1: 1446 585225 -289 289
3: 1448 -83521 -287 289
4: -1448 -83521 291 289
1: 1452 84099 -289 289
4: -1458 -84099 289 289
2: -1734 3 -69360 289
1: 1734 9 -14161 289
4: -1734 -15 14161 289
2: -1734 250563 240 289
1: 1734 751689 -241 289
1: 1751 83521 -240 289
2: -1751 83521 236 289
2: -1768 7 -29478 289
3: 1853 -1 127738 289
