Command line:- ../do_t 5929 256000
2: -84 3267 -207515 5929
2: -88 3479 -65219 5929
1: 98 3949 -195657 5929
2: -98 4037 195657 5929
1: 126 3993 -169785 5929
2: -147 4059 130438 5929
2: -198 4263 130438 5929
1: 242 4459 -162624 5929
1: 294 3861 -65219 5929
2: -294 4125 65219 5929
2: -343 3509 -27104 5929
1: 343 3773 -47916 5929
2: -343 3773 10648 5929
1: 343 3839 -55902 5929
2: -343 4147 55902 5929
2: -343 4459 87846 5929
2: -363 3087 -96558 5929
1: 363 7203 -254826 5929
1: 372 7203 -248897 5929
1: 413 2401 175692 5929
2: -413 2401 -234256 5929
2: -441 3993 25872 5929
1: 441 8349 -237160 5929
1: 462 7203 -202312 5929
1: 469 10043 -249018 5929
2: -483 6897 166012 5929
1: 484 6811 -183799 5929
2: -484 7595 183799 5929
1: 528 3087 27951 5929
1: 539 2401 127776 5929
1: 539 14641 -251664 5929
2: -539 14641 242060 5929
2: -539 16807 252890 5929
1: 546 5445 -124509 5929
2: -567 19239 249018 5929
1: 588 7203 -161051 5929
2: -588 11979 204281 5929
1: 638 45619 -255552 5929
1: 649 2401 101156 5929
2: -649 2401 -159720 5929
1: 651 7203 -146410 5929
1: 686 1715 234256 5929
2: -686 2057 -221067 5929
2: -686 2783 -96558 5929
1: 686 3685 -27951 5929
1: 686 3773 -33275 5929
2: -686 3773 -3993 5929
2: -686 4301 27951 5929
2: -686 5831 87846 5929
1: 686 6655 -129822 5929
2: -686 7889 131769 5929
1: 686 8107 -152460 5929
1: 686 14641 -198765 5929
2: -686 14641 189161 5929
1: 686 18865 -211629 5929
2: -686 22627 212828 5929
1: 686 22981 -219615 5929
2: -686 30613 224147 5929
1: 686 40535 -235466 5929
1: 686 41503 -235950 5929
2: -686 41503 232562 5929
2: -686 47311 235466 5929
2: -686 64141 240911 5929
1: 686 73205 -244727 5929
2: -686 86779 244904 5929
1: 686 89177 -246785 5929
1: 686 114905 -248897 5929
2: -686 134113 248897 5929
1: 686 207515 -252164 5929
2: -686 248897 252273 5929
1: 686 252791 -252890 5929
2: -694 121121 245245 5929
2: -702 79233 238249 5929
2: -721 98441 234256 5929
2: -726 7203 112772 5929
1: 726 9261 -156695 5929
2: -726 43923 220892 5929
1: 726 64827 -229900 5929
3: 736 -121121 -245245 5929
1: 742 26411 -207636 5929
2: -742 26411 202312 5929
1: 756 123783 -226380 5929
2: -758 33271 204974 5929
3: 768 -79233 -238249 5929
1: 771 169785 -223608 5929
2: -784 6655 93786 5929
2: -784 189679 219615 5929
2: -788 22627 184877 5929
1: 803 102487 -211974 5929
2: -803 102487 210602 5929
4: -804 -169785 223608 5929
2: -824 143143 207515 5929
1: 826 2401 73205 5929
2: -826 2401 -131769 5929
2: -834 43923 192080 5929
1: 837 134799 -204974 5929
1: 847 2401 70664 5929
2: -847 2401 -129228 5929
1: 847 14641 -161896 5929
2: -847 14641 152292 5929
3: 847 -14641 -253134 5929
1: 847 45619 -192874 5929
