Command line:- ../do_t 91091 256000
2: -2401 54925 -217074 91091
2: -2401 55055 -175760 91091
2: -3146 55223 -164775 91091
2: -5929 55223 -228488 91091
1: 7203 53361 -171366 91091
2: -7203 57057 -48334 91091
2: -7546 57967 27885 91091
1: 8918 48521 246064 91091
2: -8918 55297 -246064 91091
1: 9604 51545 -61347 91091
2: -9604 55601 -224939 91091
1: 10192 48037 215306 91091
2: -10192 55781 -215306 91091
2: -11858 63713 236964 91091
2: -14406 63063 120835 91091
1: 14872 44933 234234 91091
2: -14872 55909 -234234 91091
1: 16731 44247 208208 91091
1: 17836 45133 123032 91091
2: -17836 58685 -123032 91091
1: 20384 44165 107653 91091
2: -20384 59653 -107653 91091
1: 20449 42875 170352 91091
1: 20618 41503 237783 91091
1: 20923 41503 228488 91091
1: 22308 42189 156156 91091
2: -22308 58653 -156156 91091
1: 22638 51183 -199927 91091
2: -22638 71511 199927 91091
2: -24167 59339 -144144 91091
1: 26026 40817 133848 91091
2: -26026 60025 -133848 91091
2: -26364 72501 158466 91091
1: 26411 49489 -171366 91091
2: -26411 73205 171366 91091
2: -26411 76895 238524 91091
2: -27636 70785 107653 91091
1: 28561 41503 60452 91091
1: 28561 49049 -172326 91091
2: -28561 57967 -203280 91091
2: -28561 61985 -95942 91091
2: -28561 64141 -43890 91091
2: -28561 65065 -22638 91091
2: -28561 71995 119364 91091
2: -28561 73255 142296 91091
2: -28561 75803 186340 91091
2: -28561 77077 207270 91091
1: 28812 50193 -202631 91091
2: -28812 72501 125554 91091
1: 29744 39445 117117 91091
2: -29744 61397 -117117 91091
1: 31213 40051 70304 91091
2: -31213 63767 -70304 91091
2: -33033 79233 180154 91091
1: 33462 38073 104104 91091
2: -33462 62769 -104104 91091
1: 33614 35035 217503 91091
2: -33957 61347 -137228 91091
2: -34398 85683 243089 91091
1: 35574 36015 142805 91091
1: 35672 38357 61516 91091
2: -35672 65461 -61516 91091
2: -36309 79233 145002 91091
2: -38416 77077 98865 91091
2: -38532 79233 124553 91091
1: 39039 36015 89232 91091
2: -39039 64827 -89232 91091
1: 39546 46137 -166012 91091
2: -40656 72501 22295 91091
1: 40898 35329 85176 91091
2: -40898 65513 -85176 91091
1: 41503 49049 -224094 91091
1: 41503 50479 -246064 91091
2: -41503 57967 -229164 91091
2: -41503 94523 246064 91091
2: -41769 85683 166012 91091
1: 41846 41503 -85683 91091
1: 43218 46137 -182468 91091
2: -43218 61347 -165789 91091
2: -45619 94471 207636 91091
2: -45738 85683 134799 91091
2: -45962 63713 -132132 91091
2: -46137 72501 -7546 91091
2: -46137 79233 69498 91091
1: 46706 28561 230496 91091
1: 47432 31213 125229 91091
1: 47432 47333 -215306 91091
2: -47432 97669 215306 91091
2: -48279 79233 57122 91091
1: 48334 29645 164346 91091
1: 48334 32585 72072 91091
1: 48334 41503 -127855 91091
1: 48334 41743 -132055 91091
1: 48334 45619 -193765 91091
2: -48334 68257 -72072 91091
1: 49049 28561 191730 91091
1: 49049 41503 -131820 91091
1: 49434 32955 49049 91091
1: 49588 31213 96668 91091
2: -50193 85683 105644 91091
2: -52052 69629 -66924 91091
1: 52822 28301 145002 91091
1: 52822 28561 136532 91091
1: 52822 37631 -85683 91091
2: -52822 58201 -237276 91091
2: -52822 63973 -145002 91091
2: -52822 77077 13182 91091
2: -52822 81289 53196 91091
2: -52822 85063 85683 91091
2: -52822 107653 232518 91091
2: -52998 101871 199927 91091
1: 55198 28561 105644 91091
2: -55539 85683 76832 91091
1: 57122 26411 148357 91091
1: 57122 31213 13794 91091
1: 57122 41503 -169701 91091
1: 57122 46109 -225302 91091
1: 57122 49049 -255332 91091
2: -57122 57967 -244783 91091
2: -57122 77077 -4018 91091
2: -57122 91091 108339 91091
2: -57122 112357 225302 91091
1: 57967 28561 72842 91091
1: 57967 41503 -173056 91091
1: 59444 28561 56595 91091
1: 60984 27885 57967 91091
1: 61347 27783 56784 91091
2: -61347 73059 -56784 91091
2: -61347 79233 338 91091
1: 62426 28193 35152 91091
1: 62426 28561 26136 91091
2: -62426 67375 -120835 91091
2: -62426 75625 -35152 91091
2: -62426 105875 164775 91091
2: -63882 85683 41503 91091
1: 64141 45461 -234234 91091
2: -64141 125905 234234 91091
1: 64827 33033 -83486 91091
1: 66199 28561 -8470 91091
1: 66924 25725 52052 91091
2: -66924 75117 -52052 91091
2: -67431 79233 -18590 91091
1: 67914 43095 -221221 91091
1: 69454 24167 66885 91091
1: 69629 29645 -57122 91091
1: 70252 28561 -41503 91091
2: -70304 107653 136367 91091
2: -70686 85683 18865 91091
2: -71148 72501 -85358 91091
2: -71148 79233 -28561 91091
1: 71344 24805 30758 91091
2: -71344 79013 -30758 91091
1: 72501 23667 48048 91091
2: -72501 77175 -48048 91091
2: -72501 138411 226380 91091
1: 75504 33957 -153790 91091
2: -76832 107653 111683 91091
1: 77077 26411 -52728 91091
1: 77077 28561 -89278 91091
1: 77077 40817 -224094 91091
2: -77077 146461 224094 91091
1: 77924 31213 -131820 91091
1: 78078 21609 44616 91091
1: 79233 19383 96668 91091
1: 79233 25773 -57122 91091
1: 79233 35997 -189618 91091
2: -79233 72891 -96668 91091
2: -79233 96921 57122 91091
2: -79233 135369 189618 91091
1: 80223 38661 -215306 91091
2: -80223 148617 215306 91091
2: -81634 143143 198237 91091
1: 81796 20237 42588 91091
1: 81796 28561 -117649 91091
1: 81796 31801 -157339 91091
2: -81796 80605 -42588 91091
2: -81796 126665 157339 91091
2: -81796 142805 196882 91091
1: 82467 33969 -182182 91091
2: -82467 137397 182182 91091
1: 83006 24167 -56147 91091
1: 83006 28457 -123032 91091
1: 83006 28561 -124404 91091
1: 83006 33631 -180999 91091
2: -83006 116545 123032 91091
2: -83006 120835 136409 91091
2: -83006 137735 180999 91091
2: -83006 142805 192318 91091
1: 83447 26411 -96668 91091
1: 83486 30821 -154154 91091
2: -83486 127645 154154 91091
2: -84162 108339 91091 91091
2: -84942 85683 -16807 91091
1: 85683 16731 105644 91091
1: 85683 33957 -193578 91091
2: -85683 79233 -59246 91091
2: -85683 147147 191576 91091
2: -86436 105105 72501 91091
2: -86528 117733 115934 91091
1: 86779 20449 -11830 91091
1: 89232 17493 39039 91091
2: -89232 83349 -39039 91091
2: -89661 79233 -65910 91091
1: 90077 24167 -105644 91091
1: 90552 14157 138411 91091
1: 90552 19773 -31031 91091
1: 91091 28561 -164934 91091
2: -91091 142805 164934 91091
1: 91238 13189 171366 91091
1: 91924 39325 -246064 91091
1: 92274 32955 -207515 91091
1: 92274 36015 -228085 91091
2: -93236 142805 158466 91091
1: 93412 28561 -175273 91091
1: 93639 22869 -109850 91091
1: 94864 12005 171366 91091
1: 94864 22165 -107653 91091
2: -94864 122837 107653 91091
2: -96316 156065 173563 91091
1: 96668 14749 36036 91091
1: 96668 36421 -240786 91091
2: -96668 86093 -36036 91091
2: -96668 107653 57134 91091
2: -96668 212597 240786 91091
1: 98098 28561 -194656 91091
1: 98441 24167 -155012 91091
2: -98441 176605 197054 91091
1: 99176 31213 -217503 91091
2: -99372 79233 -79937 91091
1: 99484 10985 147147 91091
2: -100386 215985 231868 91091
2: -100793 148889 149058 91091
2: -101871 85683 -46200 91091
2: -102921 194481 204490 91091
1: 103243 34307 -245388 91091
1: 103334 9295 173901 91091
2: -103766 199927 207515 91091
2: -103831 142805 130438 91091
1: 104027 28561 -216678 91091
1: 104104 12005 33462 91091
2: -104104 88837 -33462 91091
2: -104958 89661 -30758 91091
2: -105456 69333 -156065 91091
2: -105456 72501 -132055 91091
1: 105644 7865 226291 91091
1: 105644 10465 72501 91091
1: 105644 10985 50479 91091
1: 105644 19481 -142805 91091
1: 105644 20449 -154635 91091
1: 105644 27209 -213785 91091
1: 105644 28561 -222255 91091
1: 105644 29645 -228488 91091
2: -105644 63713 -204633 91091
2: -105644 77077 -101062 91091
2: -105644 81809 -72501 91091
2: -105644 107653 39182 91091
2: -105644 171941 171366 91091
1: 106722 18759 -140777 91091
1: 106964 12005 -4394 91091
2: -107261 156065 145002 91091
1: 107653 16807 -119548 91091
1: 107653 24167 -200508 91091
2: -107653 129623 94864 91091
2: -107653 141659 119548 91091
2: -108394 136367 107653 91091
1: 109263 19773 -169442 91091
1: 109494 6591 245245 91091
2: -109512 124509 79261 91091
1: 110396 28561 -237699 91091
1: 110446 20449 -183196 91091
1: 110789 10985 -22022 91091
1: 110957 26411 -228488 91091
2: -112651 68783 -165620 91091
1: 114244 5929 185465 91091
1: 114244 6413 144060 91091
1: 114244 7865 50421 91091
1: 114244 8281 29645 91091
1: 114244 12005 -92202 91091
1: 114244 12985 -112651 91091
1: 114244 13013 -113190 91091
1: 114244 18865 -190729 91091
1: 114244 20405 -203742 91091
1: 114244 20449 -204085 91091
1: 114244 29645 -253428 91091
2: -114244 77077 -109662 91091
2: -114244 145481 112651 91091
2: -114244 228613 203742 91091
1: 115089 12705 -115934 91091
2: -115248 72501 -140283 91091
1: 115934 18865 -200772 91091
1: 115934 28561 -254100 91091
2: -115934 230153 200772 91091
1: 117117 7203 29744 91091
1: 118638 16401 -196196 91091
2: -118638 232617 196196 91091
1: 119119 12005 -145002 91091
2: -119119 175273 145002 91091
2: -119821 207515 175084 91091
1: 120549 21609 -241670 91091
2: -120736 102245 -2366 91091
2: -122451 60489 -241670 91091
1: 122694 5145 28392 91091
1: 122694 11319 -171535 91091
2: -122694 95697 -28392 91091
1: 124509 7605 -120666 91091
1: 124509 15435 -228488 91091
1: 124509 16731 -236600 91091
2: -124509 72501 -146874 91091
2: -124509 105963 4732 91091
2: -124509 112047 22568 91091
2: -124509 163761 120666 91091
2: -124509 215061 171366 91091
2: -124509 227409 180154 91091
1: 124852 2849 217503 91091
1: 124852 4477 17576 91091
1: 124852 5929 -68107 91091
2: -124852 63217 -217503 91091
2: -124852 99341 -17576 91091
2: -125229 79233 -106678 91091
2: -127426 214375 165165 91091
1: 128282 5239 -117117 91091
2: -128282 166127 117117 91091
2: -129116 219373 165620 91091
2: -129591 93639 -43940 91091
1: 129623 3773 -82082 91091
1: 129654 2145 96668 91091
2: -129654 85683 -77803 91091
2: -131274 85683 -79233 91091
2: -132132 79233 -112047 91091
2: -132418 127253 48334 91091
1: 133084 2197 -110110 91091
1: 133848 1029 26026 91091
1: 133848 2541 -173901 91091
2: -133848 99813 -26026 91091
2: -133848 246477 173901 91091
1: 135278 2401 -237276 91091
2: -138061 142805 69286 91091
3: 139258 -2197 -155727 91091
3: 139524 -6591 -245245 91091
3: 141659 -1183 204490 91091
3: 142142 -2401 -24167 91091
2: -142538 66199 -199927 91091
3: 142688 -2299 15379 91091
2: -142688 106117 -15379 91091
3: 143143 -2401 24336 91091
2: -143143 103243 -24336 91091
3: 145002 -3087 24024 91091
3: 145002 -7623 -160524 91091
3: 145002 -19773 -237699 91091
3: 145002 -21609 -241813 91091
2: -145002 103929 -24024 91091
2: -145236 79233 -120835 91091
3: 145684 -9295 -173901 91091
2: -146902 155987 77077 91091
3: 147862 -26411 -232882 91091
2: -148862 94471 -58201 91091
3: 148951 -28561 -230496 91091
3: 149534 -10985 -147147 91091
2: -150579 124509 21294 91091
3: 150748 -41503 -237783 91091
2: -150766 120835 13377 91091
3: 152978 -41503 -228488 91091
3: 153664 -5915 40898 91091
3: 153664 -35035 -217503 91091
2: -153664 221221 128271 91091
3: 154154 -12005 -112047 91091
3: 154154 -26411 -197730 91091
3: 154154 -28561 -203105 91091
3: 154154 -132055 -254852 91091
3: 154154 -142805 -255927 91091
2: -154154 199283 112047 91091
3: 156156 -7203 22308 91091
3: 156156 -85683 -241472 91091
2: -156156 108045 -22308 91091
3: 156849 -93639 -241670 91091
3: 157339 -12005 -81796 91091
2: -157339 170471 81796 91091
2: -157437 85683 -98252 91091
3: 158184 -19635 -147147 91091
3: 158184 -122451 -243815 91091
3: 158466 -7371 48334 91091
3: 158466 -9801 -28561 91091
3: 158466 -13689 -94809 91091
3: 158466 -51597 -217503 91091
3: 158466 -68607 -228488 91091
2: -158466 88935 -85683 91091
3: 158466 -95823 -237952 91091
2: -158466 99645 -48334 91091
3: 158466 -127413 -243867 91091
2: -158466 132495 28561 91091
2: -158466 165165 74698 91091
3: 158466 -177957 -248963 91091
2: -158466 185055 94809 91091
2: -158466 230685 127842 91091
3: 159236 -26411 -171366 91091
3: 160083 -79233 -228488 91091
3: 160446 -16317 -107653 91091
2: -160446 203595 107653 91091
3: 162578 -15379 -83006 91091
