Command line:- ../do_t 26411 256000
2: -484 15533 -235298 26411
2: -726 15435 -218491 26411
1: 1452 14553 117649 26411
1: 1617 17061 -235298 26411
2: -1617 18513 235298 26411
1: 2783 12691 201684 26411
1: 3234 16335 -117649 26411
2: -3234 19239 117649 26411
2: -4356 13377 -252105 26411
2: -8712 46893 235298 26411
1: 11374 22295 -151263 26411
2: -12789 11253 -235298 26411
1: 12826 117649 -247156 26411
2: -12826 117649 223440 26411
1: 13431 111573 -235298 26411
1: 13622 128381 -235298 26411
1: 14157 226821 -235298 26411
2: -15114 110103 184877 26411
3: 15488 -214963 -235298 26411
3: 16023 -116523 -235298 26411
3: 16214 -99715 -235298 26411
1: 16577 222607 -201684 26411
3: 16819 -117649 -223440 26411
4: -16819 -117649 247156 26411
1: 17534 125195 -184877 26411
4: -19118 -222607 201684 26411
3: 19239 -136857 -192080 26411
2: -19602 14259 -117649 26411
2: -19602 38073 67228 26411
3: 20196 -110103 -184877 26411
4: -20933 -58751 235298 26411
4: -22616 -125195 184877 26411
3: 24079 -38759 -168070 26411
3: 25168 -12691 -201684 26411
1: 25168 38269 -117649 26411
1: 25531 218491 -133084 26411
1: 25652 117649 -129507 26411
2: -25652 117649 105791 26411
2: -26741 228095 115248 26411
3: 27097 -8833 -201684 26411
4: -27097 -47069 201684 26411
1: 27244 61105 -117649 26411
1: 27346 232897 -124852 26411
3: 28028 -5203 -235298 26411
4: -28028 -30371 235298 26411
1: 28314 100695 -117649 26411
4: -29524 -218491 133084 26411
2: -29766 252105 104272 26411
3: 30129 -3675 -235298 26411
3: 30734 -228095 -115248 26411
3: 30976 -76979 -117649 26411
3: 32046 -37389 -117649 26411
2: -33154 34643 16807 26411
3: 33638 -117649 -105791 26411
4: -33638 -117649 129507 26411
3: 33759 -252105 -104272 26411
3: 34122 -14553 -117649 26411
1: 42434 605 -235298 26411
1: 42834 40131 -84035 26411
3: 44933 -3751 -33614 26411
2: -44933 59653 33614 26411
3: 47553 -38073 -67228 26411
4: -47674 -92267 100842 26411
4: -51546 -13377 252105 26411
3: 52393 -1127 235298 26411
1: 54194 10285 -100842 26411
4: -54194 -66187 100842 26411
4: -55176 -15435 218491 26411
1: 56056 7381 -117649 26411
4: -56056 -42955 117649 26411
2: -59192 13189 -117649 26411
4: -60742 -38269 117649 26411
3: 67228 -2783 154007 26411
2: -67228 10769 -154007 26411
4: -67276 -22295 151263 26411
2: -76146 16335 -84035 26411
1: 78892 9457 -117649 26411
4: -79576 -16819 168070 26411
1: 81291 29403 -67228 26411
4: -81291 -85305 67228 26411
4: -82038 -10731 235298 26411
3: 89056 -34643 -16807 26411
3: 89866 -35453 -16807 26411
2: -89866 91355 16807 26411
1: 90024 66885 -50421 26411
3: 90552 -3267 201684 26411
2: -90552 8349 -201684 26411
3: 92444 -193795 -33614 26411
4: -98736 -40131 84035 26411
3: 98784 -3795 184877 26411
2: -98784 8877 -184877 26411
1: 100842 6171 -171843 26411
4: -100842 -14157 171843 26411
3: 106428 -3267 235298 26411
1: 108388 48521 -50421 26411
4: -108388 -104423 50421 26411
1: 117649 7865 -147294 26411
3: 117649 -7865 88004 26411
2: -117649 15851 -88004 26411
4: -117649 -15851 147294 26411
1: 117649 117649 -37510 26411
2: -117649 117649 13794 26411
3: 117649 -117649 -21780 26411
4: -117649 -117649 45496 26411
1: 118482 10527 -117649 26411
3: 120736 -5203 151263 26411
2: -120736 10285 -151263 26411
3: 130438 -3707 235298 26411
2: -130438 6941 -235298 26411
3: 135828 -6171 134456 26411
2: -135828 11253 -134456 26411
4: -136073 -8591 235298 26411
1: 136514 6215 -184877 26411
4: -136514 -11297 184877 26411
4: -145926 -66885 50421 26411
1: 151263 11253 -114562 26411
4: -151263 -19239 114562 26411
1: 160083 4917 -235298 26411
4: -160083 -8151 235298 26411
1: 162582 86757 -33614 26411
4: -162582 -142659 33614 26411
3: 181104 -9075 100842 26411
2: -181104 14157 -100842 26411
1: 235298 19723 -73647 26411
3: 235298 -19723 44002 26411
2: -235298 27709 -44002 26411
4: -235298 -27709 73647 26411
1: 235298 117649 -24684 26411
2: -235298 117649 968 26411
3: 235298 -117649 -4961 26411
4: -235298 -117649 28677 26411
