Command line:- ../do_t 1859 256000
1: 11 1313 -241670 1859
1: 12 1089 28561 1859
2: -22 949 -145002 1859
2: -22 1183 39039 1859
1: 22 1573 -232882 1859
2: -22 1573 224094 1859
1: 26 935 120835 1859
1: 39 1089 4394 1859
2: -39 1815 166972 1859
2: -44 845 -133848 1859
1: 44 1573 -118638 1859
2: -44 1573 109850 1859
1: 44 2197 -196482 1859
2: -44 2197 190190 1859
2: -59 7865 250458 1859
1: 62 3211 -184041 1859
1: 63 4719 -210912 1859
1: 66 1521 -74360 1859
2: -66 6747 217503 1859
1: 66 19773 -247390 1859
2: -68 3509 171366 1859
2: -68 33293 245388 1859
2: -69 19773 235950 1859
1: 69 206349 -249106 1859
4: -71 -138073 245388 1859
1: 71 155441 -241670 1859
2: -73 109681 234234 1859
4: -74 -32747 241670 1859
1: 76 25025 -217503 1859
1: 76 57629 -223080 1859
1: 77 4901 -174746 1859
1: 77 26741 -215306 1859
1: 77 28561 -215886 1859
2: -77 28561 215402 1859
3: 77 -59653 -228488 1859
4: -77 -63041 228488 1859
3: 77 -63713 -228228 1859
2: -78 693 -145002 1859
1: 78 4587 -169169 1859
2: -78 4851 169169 1859
4: -78 -7623 254852 1859
3: 78 -50457 -226291 1859
4: -78 -53361 226291 1859
3: 78 -85683 -224334 1859
4: -79 -57629 223080 1859
2: -81 6591 176176 1859
3: 81 -8151 -241670 1859
1: 81 61347 -209560 1859
4: -84 -61347 209560 1859
2: -84 194181 204490 1859
1: 86 50531 -196625 1859
3: 86 -180895 -202124 1859
1: 88 1573 -61516 1859
2: -88 1573 52728 1859
1: 88 2197 -99814 1859
2: -88 2197 93522 1859
3: 88 -59411 -199927 1859
4: -88 -63283 199927 1859
3: 88 -82979 -198913 1859
4: -88 -88387 198913 1859
1: 91 4565 -145002 1859
2: -91 4873 145002 1859
1: 91 28561 -182710 1859
2: -91 28561 182226 1859
1: 96 72501 -177320 1859
3: 97 -143143 -179478 1859
2: -99 507 -223080 1859
2: -99 4719 131820 1859
1: 99 6357 -145002 1859
2: -99 6825 145002 1859
4: -99 -17745 185900 1859
2: -99 46137 170170 1859
1: 99 59169 -171366 1859
2: -99 63525 171366 1859
1: 99 85683 -172348 1859
2: -99 164775 173316 1859
4: -99 -165165 175760 1859
3: 101 -39325 -175760 1859
3: 101 -94471 -173030 1859
4: -102 -4719 210912 1859
2: -104 605 -151593 1859
3: 104 -7139 -191139 1859
1: 104 49973 -162578 1859
2: -104 53845 162578 1859
2: -104 142805 164802 1859
1: 106 4147 -120835 1859
4: -106 -11011 180154 1859
3: 106 -81289 -165165 1859
2: -109 13585 145002 1859
2: -113 169169 151866 1859
3: 114 -6591 -176176 1859
1: 116 605 114244 1859
1: 116 28561 -143385 1859
2: -116 28561 142901 1859
2: -117 85683 145684 1859
1: 118 109109 -145002 1859
1: 121 485 171366 1859
2: -121 529 -171366 1859
1: 121 715 70304 1859
1: 121 845 37518 1859
1: 121 1261 -21970 1859
1: 121 1859 -60840 1859
2: -121 1859 53404 1859
3: 121 -1859 -224770 1859
4: -121 -1859 232206 1859
1: 121 2197 -73450 1859
2: -121 2197 67158 1859
3: 121 -2197 -212160 1859
4: -121 -2197 218452 1859
2: -121 3289 92274 1859
2: -121 3887 100048 1859
4: -121 -3887 185562 1859
1: 121 5335 -114244 1859
3: 121 -5335 -171366 1859
2: -121 5819 114244 1859
4: -121 -5819 171366 1859
1: 121 6305 -118638 1859
3: 121 -6305 -166972 1859
2: -121 6877 118638 1859
4: -121 -6877 166972 1859
3: 121 -9295 -159198 1859
1: 121 10985 -128934 1859
3: 121 -10985 -156676 1859
1: 121 13871 -131820 1859
3: 121 -13871 -153790 1859
1: 121 16393 -133510 1859
3: 121 -16393 -152100 1859
1: 121 24167 -136500 1859
2: -121 24167 135928 1859
3: 121 -24167 -149110 1859
4: -121 -24167 149682 1859
1: 121 28561 -137470 1859
2: -121 28561 136986 1859
3: 121 -28561 -148140 1859
4: -121 -28561 148624 1859
2: -121 42757 138918 1859
4: -121 -42757 146692 1859
2: -121 50531 139516 1859
4: -121 -50531 146094 1859
1: 121 69355 -140608 1859
2: -121 75647 140608 1859
1: 121 81965 -140946 1859
3: 121 -81965 -144664 1859
2: -121 89401 140946 1859
4: -121 -89401 144664 1859
1: 121 120835 -141544 1859
3: 121 -120835 -144066 1859
1: 121 142805 -141738 1859
3: 121 -142805 -143872 1859
1: 121 180323 -141960 1859
3: 121 -180323 -143650 1859
1: 121 213109 -142090 1859
3: 121 -213109 -143520 1859
2: -123 184041 139594 1859
2: -124 3025 85683 1859
1: 124 160381 -138424 1859
2: -126 4719 103259 1859
3: 126 -25773 -142805 1859
3: 126 -32955 -141570 1859
4: -128 -3211 184041 1859
1: 128 26741 -129623 1859
1: 131 142805 -130922 1859
1: 132 897 24167 1859
3: 132 -4719 -160381 1859
3: 132 -6591 -152009 1859
1: 132 8349 -114244 1859
1: 132 11661 -118976 1859
3: 132 -61347 -133172 1859
3: 132 -85683 -132528 1859
1: 132 108537 -129623 1859
1: 132 151593 -129987 1859
1: 133 19097 -122694 1859
1: 136 102245 -125736 1859
4: -139 -102245 125736 1859
1: 143 4477 -92274 1859
3: 143 -4477 -149396 1859
2: -143 4961 92274 1859
4: -143 -4961 149396 1859
1: 143 28561 -116358 1859
2: -143 28561 115874 1859
3: 143 -28561 -125312 1859
4: -143 -28561 125796 1859
4: -144 -6171 142805 1859
4: -144 -32955 124267 1859
4: -144 -167739 120835 1859
1: 146 10985 -106964 1859
3: 147 -217503 -118118 1859
3: 153 -91113 -114244 1859
3: 154 -2197 -166023 1859
4: -154 -2197 172315 1859
1: 154 28561 -108064 1859
2: -154 28561 107580 1859
3: 154 -57959 -114244 1859
4: -154 -64735 114244 1859
3: 156 -891 -241670 1859
1: 156 9801 -98865 1859
4: -156 -85683 112288 1859
2: -158 10153 96668 1859
2: -158 155987 108537 1859
1: 161 120835 -106392 1859
2: -162 2541 57122 1859
1: 162 6591 -89661 1859
2: -162 61347 104611 1859
4: -164 -120835 106392 1859
3: 168 -61347 -104611 1859
1: 169 341 211926 1859
2: -169 385 -211926 1859
2: -169 605 -97682 1859
2: -169 847 -40560 1859
4: -169 -847 245050 1859
1: 169 3751 -73684 1859
3: 169 -3751 -130806 1859
2: -169 4235 73684 1859
4: -169 -4235 130806 1859
1: 169 28561 -98494 1859
2: -169 28561 98010 1859
3: 169 -28561 -105996 1859
4: -169 -28561 106480 1859
2: -169 142805 101398 1859
4: -169 -142805 103092 1859
2: -169 199927 101640 1859
4: -169 -199927 102850 1859
2: -171 363 -228488 1859
1: 174 7623 -85683 1859
4: -174 -40053 102245 1859
1: 176 325 217503 1859
1: 176 1573 -32955 1859
1: 176 2197 -51480 1859
2: -176 2197 45188 1859
3: 176 -2299 -142805 1859
3: 176 -3211 -130130 1859
2: -176 9317 85683 1859
1: 176 102245 -97175 1859
2: -176 107653 97097 1859
1: 176 142805 -97460 1859
3: 176 -149435 -98865 1859
3: 176 -208715 -98670 1859
4: -176 -224939 98696 1859
4: -179 -10985 106964 1859
1: 182 4411 -72501 1859
2: -182 5027 72501 1859
1: 182 28561 -91476 1859
2: -182 28561 90992 1859
4: -184 -4147 120835 1859
2: -192 72501 88517 1859
2: -196 6721 72501 1859
1: 196 14365 -81796 1859
1: 196 36905 -85683 1859
3: 197 -10153 -96668 1859
2: -198 363 -199927 1859
1: 198 507 91091 1859
1: 198 4719 -68107 1859
1: 198 6123 -72501 1859
2: -198 7059 72501 1859
1: 198 56991 -85683 1859
2: -198 65703 85683 1859
2: -198 85683 86053 1859
2: -199 54925 84942 1859
1: 203 28561 -82038 1859
2: -203 28561 81554 1859
3: 204 -4719 -103259 1859
4: -204 -103455 85683 1859
1: 208 48037 -81289 1859
2: -208 55781 81289 1859
3: 209 -6097 -96668 1859
4: -209 -7085 96668 1859
3: 209 -105391 -83486 1859
2: -211 15379 75504 1859
3: 216 -23595 -83486 1859
3: 221 -605 -210912 1859
3: 221 -4345 -96668 1859
4: -221 -5093 96668 1859
3: 223 -847 -171366 1859
4: -228 -6591 89661 1859
1: 228 14157 -70304 1859
4: -229 -14365 81796 1859
1: 231 2535 -44616 1859
3: 231 -61347 -76050 1859
1: 234 363 134017 1859
4: -234 -1815 123032 1859
2: -234 11253 65910 1859
1: 234 85683 -72963 1859
1: 236 7865 -63713 1859
2: -242 319 -199927 1859
2: -242 377 -158184 1859
1: 242 463 85683 1859
3: 242 -463 -228488 1859
2: -242 551 -85683 1859
4: -242 -551 228488 1859
1: 242 1859 -32279 1859
2: -242 1859 24843 1859
3: 242 -1859 -110526 1859
4: -242 -1859 117962 1859
1: 242 2197 -38298 1859
2: -242 2197 32006 1859
3: 242 -2197 -104507 1859
4: -242 -2197 110799 1859
2: -242 2717 39546 1859
4: -242 -2717 103259 1859
2: -242 3211 44447 1859
4: -242 -3211 98358 1859
2: -242 4147 50531 1859
4: -242 -4147 92274 1859
2: -242 4901 53742 1859
4: -242 -4901 89063 1859
1: 242 5093 -57122 1859
3: 242 -5093 -85683 1859
1: 242 6019 -59319 1859
3: 242 -6019 -83486 1859
2: -242 6061 57122 1859
4: -242 -6061 85683 1859
2: -242 7163 59319 1859
4: -242 -7163 83486 1859
1: 242 24167 -68393 1859
2: -242 24167 67821 1859
3: 242 -24167 -74412 1859
4: -242 -24167 74984 1859
1: 242 28561 -68856 1859
2: -242 28561 68372 1859
3: 242 -28561 -73949 1859
4: -242 -28561 74433 1859
2: -242 35321 68952 1859
4: -242 -35321 73853 1859
2: -242 41743 69329 1859
4: -242 -41743 73476 1859
2: -242 53911 69797 1859
4: -242 -53911 73008 1859
2: -242 63713 70044 1859
4: -242 -63713 72761 1859
1: 242 66209 -70304 1859
1: 242 78247 -70473 1859
3: 242 -78247 -72332 1859
2: -242 78793 70304 1859
2: -242 93119 70473 1859
4: -242 -93119 72332 1859
3: 244 -15379 -75504 1859
1: 246 5445 -57122 1859
1: 252 9633 -61347 1859
