Command line:- ../do_t 49049 256000
2: -507 29841 166012 49049
2: -1372 29887 -26754 49049
1: 1573 28567 62426 49049
2: -1859 29645 -115248 49049
2: -1859 31213 215600 49049
1: 2548 26983 249704 49049
2: -2548 28919 -249704 49049
1: 2646 27885 79233 49049
1: 3146 26411 254800 49049
2: -3718 29939 -105644 49049
2: -3718 31213 30723 49049
1: 5096 26015 124852 49049
1: 5148 24843 237699 49049
1: 5808 30303 -218491 49049
1: 6292 26411 36309 49049
1: 7436 31339 -252105 49049
1: 8281 24805 76832 49049
1: 8281 29315 -158466 49049
2: -8281 31097 -76832 49049
2: -8281 36751 158466 49049
2: -9196 34643 57967 49049
1: 9438 23667 107016 49049
2: -9438 31941 -50421 49049
1: 9996 23595 93639 49049
1: 10164 21411 218491 49049
2: -10164 28275 -218491 49049
1: 10192 24079 62426 49049
2: -10192 31823 -62426 49049
2: -10478 36113 79233 49049
1: 11011 21125 201684 49049
2: -11011 28561 -201684 49049
1: 11154 21609 167629 49049
2: -11154 36015 63602 49049
2: -11374 41405 189679 49049
2: -11622 43197 218491 49049
1: 11858 32747 -249704 49049
2: -11858 45331 249704 49049
1: 12012 20787 184877 49049
2: -12012 28899 -184877 49049
1: 12089 20449 201684 49049
2: -13728 27951 -218491 49049
1: 14014 20449 141659 49049
1: 14287 20449 134456 49049
1: 14406 23595 2548 49049
2: -14406 50193 249557 49049
2: -14872 41503 119364 49049
1: 15386 20449 108045 49049
2: -15873 53361 249704 49049
2: -16093 31603 -100842 49049
1: 16562 21659 38416 49049
1: 16562 25597 -79233 49049
2: -16562 34243 -38416 49049
2: -16562 40469 79233 49049
2: -16731 33033 -67228 49049
2: -16731 50421 203896 49049
1: 16807 20449 79016 49049
1: 16807 26411 -100386 49049
2: -16807 26741 -251888 49049
1: 16807 31213 -195052 49049
2: -16807 31213 -113256 49049
2: -16807 31603 -103026 49049
2: -16807 40817 81796 49049
2: -16807 48763 185094 49049
2: -17199 27885 -211288 49049
1: 17787 16731 225694 49049
1: 17787 34983 -244902 49049
2: -17787 57291 244902 49049
1: 18252 17787 160867 49049
2: -18252 51051 184877 49049
1: 18326 34645 -237699 49049
2: -18513 50421 175084 49049
1: 18876 24255 -62426 49049
2: -18876 39039 33614 49049
2: -18928 29887 -151263 49049
1: 19208 16807 184041 49049
2: -19844 50323 156065 49049
1: 20384 20207 31213 49049
2: -20384 35695 -31213 49049
1: 20449 16807 155498 49049
1: 20449 26411 -114954 49049
2: -20449 26411 -249410 49049
1: 20449 31213 -187768 49049
2: -20449 31213 -120540 49049
2: -20449 35035 -43218 49049
1: 20449 36407 -244902 49049
2: -20449 49049 137200 49049
2: -20449 64435 244902 49049
1: 20592 19551 49049 49049
1: 21417 14703 235298 49049
2: -21609 61347 211190 49049
1: 21756 16731 132055 49049
1: 22022 17407 100842 49049
2: -22022 32279 -100842 49049
