Command line:- ../do_t 9317 256000
1: 336 4851 161051 9317
1: 588 7623 -219615 9317
1: 644 7007 -161051 9317
2: -1176 11979 182347 9317
1: 1323 19965 -244904 9317
2: -1484 41503 248897 9317
2: -1519 16093 175692 9317
2: -1652 28435 204974 9317
1: 1666 14641 -172909 9317
2: -1666 14641 149193 9317
2: -1722 88935 234256 9317
2: -1764 43923 210782 9317
1: 1778 73205 -227843 9317
3: 1813 -73205 -255310 9317
1: 1848 15435 -161051 9317
2: -1848 20139 161051 9317
2: -1862 109505 219615 9317
3: 1946 -41503 -248897 9317
1: 1946 59411 -204974 9317
3: 1953 -88935 -234256 9317
1: 2044 161051 -206052 9317
2: -2044 161051 203896 9317
1: 2058 12705 -131769 9317
4: -2072 -73205 227843 9317
2: -2128 12947 102487 9317
3: 2191 -161051 -203896 9317
4: -2191 -161051 206052 9317
2: -2262 40425 161051 9317
3: 2289 -57717 -204974 9317
1: 2303 30613 -159720 9317
4: -2352 -19965 244904 9317
1: 2352 36531 -161051 9317
2: -2352 51315 161051 9317
1: 2402 42581 -161051 9317
1: 2548 102487 -162745 9317
2: -2548 102487 159357 9317
1: 2574 101577 -161051 9317
2: -2574 147441 161051 9317
4: -2583 -30129 204974 9317
3: 2646 -51909 -178354 9317
1: 2646 249249 -161051 9317
3: 2744 -247093 -161051 9317
1: 2793 77319 -146410 9317
3: 2816 -99421 -161051 9317
4: -2816 -149597 161051 9317
3: 2842 -102487 -159357 9317
4: -2842 -102487 162745 9317
2: -2842 206305 147741 9317
3: 2988 -40425 -161051 9317
3: 3038 -34375 -161051 9317
4: -3038 -53471 161051 9317
4: -3087 -165165 146410 9317
1: 3108 16335 -102487 9317
4: -3128 -42581 161051 9317
3: 3136 -16093 -175692 9317
1: 3234 1953 161051 9317
2: -3234 3129 -161051 9317
3: 3283 -39809 -146410 9317
4: -3332 -30613 159720 9317
1: 3528 43923 -111320 9317
3: 3542 -13279 -161051 9317
4: -3542 -22295 161051 9317
1: 3577 161051 -118206 9317
2: -3577 161051 116050 9317
3: 3724 -14641 -149193 9317
4: -3724 -14641 172909 9317
1: 3751 8281 -58564 9317
2: -3751 14357 58564 9317
4: -3822 -7623 219615 9317
1: 4088 161051 -103565 9317
2: -4088 161051 101409 9317
3: 4361 -89177 -103818 9317
3: 4382 -161051 -101409 9317
4: -4382 -161051 103565 9317
1: 4557 1089 234256 9317
4: -4557 -43923 111320 9317
3: 4746 -4851 -161051 9317
1: 4753 10285 -58564 9317
1: 4998 22869 -73205 9317
1: 5203 1015 204974 9317
2: -5203 2219 -204974 9317
4: -5292 -12705 131769 9317
3: 5362 -12947 -102487 9317
4: -5488 -70301 87846 9317
1: 5684 2783 14641 9317
4: -5726 -7007 161051 9317
2: -6174 48279 58564 9317
1: 6223 73205 -66792 9317
4: -6272 -139997 73205 9317
4: -6342 -16335 102487 9317
1: 6566 8833 -43923 9317
3: 6762 -1089 -234256 9317
2: -7056 43923 49731 9317
1: 7154 161051 -59642 9317
2: -7154 161051 57486 9317
4: -7252 -73205 66792 9317
3: 7381 -5341 -87846 9317
4: -7381 -17297 87846 9317
3: 7497 -223971 -58564 9317
1: 7502 5243 -29282 9317
2: -7502 17395 29282 9317
