Command line:- ../do_t 7 256000
1: 1 1 686 7
2: -1 1 -882 7
3: 1 -1 -1176 7
4: -1 -1 1372 7
1: 1 7 -112 7
2: -1 7 84 7
3: 1 -7 -378 7
4: -1 -7 406 7
1: 1 19 -196 7
3: 1 -19 -294 7
2: -1 23 196 7
4: -1 -23 294 7
1: 1 49 -226 7
2: -1 49 222 7
3: 1 -49 -264 7
4: -1 -49 268 7
1: 1 133 -238 7
3: 1 -133 -252 7
2: -1 161 238 7
4: -1 -161 252 7
1: 1 931 -244 7
3: 1 -931 -246 7
2: -1 1127 244 7
4: -1 -1127 246 7
1: 2 1 294 7
2: -2 1 -490 7
3: 2 -1 -539 7
4: -2 -1 735 7
4: -2 -5 245 7
1: 2 7 -63 7
2: -2 7 35 7
3: 2 -7 -182 7
4: -2 -7 210 7
1: 2 17 -98 7
3: 2 -17 -147 7
2: -2 25 98 7
4: -2 -25 147 7
2: -2 35 105 7
4: -2 -35 140 7
1: 2 49 -114 7
2: -2 49 110 7
3: 2 -49 -131 7
4: -2 -49 135 7
1: 2 119 -119 7
3: 2 -119 -126 7
2: -2 175 119 7
4: -2 -175 126 7
2: -2 245 120 7
4: -2 -245 125 7
1: 2 833 -122 7
3: 2 -833 -123 7
2: -2 1225 122 7
4: -2 -1225 123 7
3: 3 -15 -98 7
1: 3 21 -70 7
4: -3 -27 98 7
3: 3 -105 -84 7
1: 3 147 -80 7
4: -3 -189 84 7
3: 3 -735 -82 7
4: -3 -1323 82 7
1: 4 1 98 7
2: -4 1 -294 7
3: 4 -7 -84 7
4: -4 -7 112 7
1: 4 13 -49 7
2: -4 29 49 7
1: 4 49 -58 7
2: -4 49 54 7
3: 4 -91 -63 7
4: -4 -203 63 7
1: 4 637 -61 7
2: -4 1421 61 7
2: -6 3 -49 7
3: 6 -9 -49 7
2: -6 21 28 7
4: -6 -33 49 7
3: 6 -63 -42 7
2: -6 147 39 7
4: -6 -231 42 7
3: 6 -441 -41 7
4: -6 -1617 41 7
1: 7 1 14 7
2: -7 1 -210 7
3: 7 -1 -84 7
4: -7 -1 280 7
2: -7 5 -14 7
4: -7 -5 84 7
1: 7 49 -34 7
2: -7 49 30 7
3: 7 -49 -36 7
4: -7 -49 40 7
2: -7 245 34 7
4: -7 -245 36 7
2: -8 1 -196 7
3: 8 -7 -35 7
4: -8 -7 63 7
1: 8 49 -30 7
2: -8 49 26 7
4: -9 -3 98 7
3: 9 -21 -28 7
4: -9 -273 28 7
1: 12 21 -21 7
4: -12 -315 21 7
2: -12 441 20 7
4: -13 -1 196 7
1: 14 1 -42 7
2: -14 1 -154 7
3: 14 -1 7 7
4: -14 -1 189 7
1: 14 49 -18 7
3: 14 -49 -17 7
2: -14 343 17 7
4: -14 -343 18 7
1: 16 1 -49 7
2: -16 1 -147 7
1: 16 49 -16 7
2: -16 49 12 7
3: 17 -91 -14 7
2: -17 385 14 7
4: -18 -21 21 7
1: 18 105 -14 7
4: -18 -399 14 7
3: 19 -49 -12 7
4: -19 -49 16 7
1: 21 3 -28 7
4: -21 -9 28 7
1: 21 147 -12 7
4: -21 -441 12 7
2: -22 35 7 7
3: 26 -1 49 7
4: -26 -1 147 7
4: -27 -147 10 7
1: 28 1 -70 7
2: -28 1 -126 7
1: 28 5 -21 7
4: -28 -11 21 7
1: 28 49 -10 7
2: -28 49 6 7
1: 28 245 -9 7
4: -28 -539 9 7
1: 32 49 -9 7
2: -32 49 5 7
3: 34 -329 -7 7
2: -34 623 7 7
4: -36 -3 49 7
1: 36 357 -7 7
4: -36 -651 7 7
3: 38 -49 -5 7
4: -38 -49 9 7
2: -39 441 6 7
1: 41 2989 -6 7
4: -41 -5047 6 7
2: -42 3 -35 7
1: 42 9 -14 7
4: -42 -15 14 7
2: -42 147 5 7
1: 42 441 -6 7
4: -42 -735 6 7
1: 43 245 -6 7
