Command line:- ../do_t 77077 256000
1: 847 45799 83006 77077
2: -1372 46475 -149072 77077
1: 1694 45461 41503 77077
2: -1694 46813 -41503 77077
1: 2366 45619 -87846 77077
2: -2662 46585 -173901 77077
1: 3234 43923 215306 77077
1: 3432 43923 187278 77077
1: 3549 43923 172186 77077
1: 4116 43923 111202 77077
1: 4368 43923 89180 77077
1: 4719 43923 62426 77077
2: -4802 46585 -210067 77077
1: 5824 45619 -190333 77077
1: 6006 43923 -8918 77077
1: 7203 43923 -52390 77077
1: 7392 43923 -57967 77077
1: 7644 43923 -64974 77077
1: 8112 43923 -76832 77077
1: 8281 40777 189728 77077
2: -8281 47069 -189728 77077
1: 8918 40535 176176 77077
1: 8918 41503 94380 77077
2: -8918 47311 -176176 77077
1: 9317 42419 7546 77077
2: -9317 49855 -7546 77077
1: 10164 43923 -115934 77077
1: 10192 40051 154154 77077
2: -10192 47795 -154154 77077
2: -10647 51909 75460 77077
1: 11011 45619 -223366 77077
2: -11011 55223 223366 77077
1: 11154 43923 -129654 77077
1: 11319 40131 103818 77077
2: -11908 55223 190333 77077
1: 12936 43923 -149058 77077
2: -13156 57967 251559 77077
1: 13377 43923 -153062 77077
1: 13728 43923 -156065 77077
1: 14196 43923 -159838 77077
1: 14406 41067 -29282 77077
1: 14406 45441 -224939 77077
2: -14406 46893 -224939 77077
2: -14406 58377 224939 77077
1: 14641 41503 -54418 77077
2: -14641 49049 -126308 77077
2: -14641 57967 205254 77077
2: -15092 57967 192995 77077
2: -15778 57967 175692 77077
1: 15886 36113 195657 77077
2: -15972 47775 -189189 77077
1: 16464 43923 -175084 77077
1: 16562 37631 94864 77077
1: 16562 44473 -195657 77077
2: -16562 50215 -94864 77077
2: -16562 59345 195657 77077
1: 17303 41405 -86240 77077
1: 17303 42875 -142142 77077
1: 17836 37147 88088 77077
1: 17836 41503 -95953 77077
2: -17836 50699 -88088 77077
2: -17836 57967 131769 77077
1: 18018 36015 138424 77077
1: 18634 38701 3773 77077
2: -18634 53573 -3773 77077
1: 18876 43923 -187278 77077
1: 19208 35035 155727 77077
1: 20237 32747 242242 77077
2: -20449 59339 120274 77077
2: -20856 64827 224939 77077
2: -21266 49247 -156156 77077
2: -21296 65219 223587 77077
1: 21609 39039 -50578 77077
2: -21609 51909 -78936 77077
1: 22022 40817 -111683 77077
2: -22022 60025 111683 77077
1: 22308 40131 -93170 77077
1: 22638 43923 -201110 77077
1: 23958 36015 22308 77077
2: -23958 51909 -93639 77077
1: 24024 43923 -205114 77077
1: 24843 40755 -130438 77077
1: 24843 43923 -207270 77077
2: -25289 46991 -234234 77077
1: 26026 31213 169037 77077
1: 26411 30121 207636 77077
2: -26411 47957 -207636 77077
1: 26754 33957 51909 77077
2: -26754 61347 79618 77077
1: 27104 45619 -245388 77077
2: -27709 55223 -40898 77077
1: 28812 43923 -215982 77077
2: -28812 53235 -87846 77077
2: -28812 63063 86515 77077
1: 29282 31213 107913 77077
1: 29282 41503 -170352 77077
2: -29282 49049 -184275 77077
2: -29282 55055 -53508 77077
2: -29282 57967 140 77077
2: -29282 65065 110789 77077
2: -29282 68497 156065 77077
2: -29282 77077 251615 77077
1: 29498 31265 102487 77077
1: 30576 43923 -219128 77077
2: -30613 57967 -8778 77077
1: 31213 28567 173030 77077
1: 31213 32065 50336 77077
1: 31213 41405 -175692 77077
1: 31213 44785 -234256 77077
1: 31213 44891 -235950 77077
2: -31213 55781 -50336 77077
2: -31213 65219 94666 77077
2: -31213 77909 234256 77077
1: 31458 27885 195657 77077
2: -31556 57967 -14641 77077
1: 31654 30613 91091 77077
2: -31746 74529 195657 77077
1: 31801 31213 69212 77077
1: 33033 43923 -222950 77077
2: -33124 56507 -47432 77077
1: 34606 35329 -71071 77077
2: -34606 57967 -31416 77077
2: -34606 65219 67522 77077
2: -34606 65513 71071 77077
1: 34814 41261 -184877 77077
1: 35672 30371 44044 77077
1: 35672 42419 -204974 77077
2: -35672 46475 -251559 77077
2: -35672 57475 -44044 77077
2: -35672 80275 204974 77077
1: 35937 27951 115934 77077
2: -36179 57967 -38962 77077
1: 37323 36015 -103818 77077
1: 38416 36179 -113256 77077
1: 38416 40963 -190333 77077
2: -38416 65219 42757 77077
2: -38416 81731 190333 77077
2: -38416 91091 250228 77077
2: -40053 64827 29282 77077
1: 40656 43923 -231868 77077
1: 40898 22295 247324 77077
1: 40898 31213 -30855 77077
1: 40898 32585 -60137 77077
1: 40898 45619 -250470 77077
2: -40898 68257 60137 77077
1: 41503 22295 235950 77077
2: -41503 57967 -60258 77077
1: 42042 43923 -233142 77077
1: 42588 23595 166012 77077
1: 42588 36015 -131769 77077
2: -42592 86515 187278 77077
2: -43076 72163 83006 77077
1: 43923 21567 222950 77077
1: 43923 24843 104370 77077
1: 43923 27885 19208 77077
1: 43923 33033 -89180 77077
1: 43923 40053 -192080 77077
2: -43923 53361 -132496 77077
2: -43923 74529 97216 77077
2: -43923 99099 240786 77077
1: 44616 43923 -235298 77077
2: -47476 102487 227409 77077
2: -48363 49179 -204974 77077
2: -49049 57967 -82522 77077
