Command line:- ../do_t 121 256000
1: 1 19 204974 121
2: -1 55 -23958 121
4: -1 -55 170368 121
4: -1 -73 146410 121
1: 1 121 -29524 121
2: -1 121 29040 121
3: 1 -121 -116886 121
4: -1 -121 117370 121
1: 1 209 -47916 121
3: 1 -209 -98494 121
1: 1 361 -58564 121
3: 1 -361 -87846 121
2: -1 365 58564 121
4: -1 -365 87846 121
2: -1 605 64372 121
4: -1 -605 82038 121
2: -1 803 66550 121
4: -1 -803 79860 121
1: 1 1331 -69234 121
2: -1 1331 69190 121
3: 1 -1331 -77176 121
4: -1 -1331 77220 121
1: 1 2299 -70906 121
3: 1 -2299 -75504 121
1: 1 3971 -71874 121
3: 1 -3971 -74536 121
2: -1 4015 71874 121
4: -1 -4015 74536 121
2: -1 6655 72402 121
4: -1 -6655 74008 121
2: -1 8833 72600 121
4: -1 -8833 73810 121
1: 1 14641 -72844 121
2: -1 14641 72840 121
3: 1 -14641 -73566 121
4: -1 -14641 73570 121
1: 1 25289 -72996 121
3: 1 -25289 -73414 121
1: 1 43681 -73084 121
3: 1 -43681 -73326 121
2: -1 44165 73084 121
4: -1 -44165 73326 121
2: -1 73205 73132 121
4: -1 -73205 73278 121
2: -1 97163 73150 121
4: -1 -97163 73260 121
1: 2 11 202312 121
2: -2 11 -207636 121
1: 2 121 -14883 121
2: -2 121 14399 121
3: 2 -121 -58322 121
4: -2 -121 58806 121
1: 2 359 -29282 121
3: 2 -359 -43923 121
2: -2 367 29282 121
4: -2 -367 43923 121
1: 2 1331 -34628 121
2: -2 1331 34584 121
3: 2 -1331 -38577 121
4: -2 -1331 38621 121
1: 2 3949 -35937 121
3: 2 -3949 -37268 121
2: -2 4037 35937 121
4: -2 -4037 37268 121
1: 2 14641 -36423 121
2: -2 14641 36419 121
3: 2 -14641 -36782 121
4: -2 -14641 36786 121
1: 2 43439 -36542 121
3: 2 -43439 -36663 121
2: -2 44407 36542 121
4: -2 -44407 36663 121
2: -3 9 -175692 121
1: 3 21 58564 121
3: 3 -33 -77198 121
3: 3 -51 -58564 121
4: -3 -99 42592 121
3: 3 -231 -31944 121
3: 3 -357 -29282 121
1: 3 363 -19602 121
4: -3 -369 29282 121
1: 3 561 -21296 121
2: -3 1089 22748 121
1: 3 2541 -23716 121
1: 3 3927 -23958 121
3: 3 -3993 -24838 121
2: -3 4059 23958 121
3: 3 -6171 -24684 121
4: -3 -11979 24552 121
3: 3 -27951 -24464 121
3: 3 -43197 -24442 121
1: 3 43923 -24362 121
4: -3 -44649 24442 121
1: 3 67881 -24376 121
2: -3 131769 24388 121
2: -4 7 -175692 121
1: 4 11 99825 121
2: -4 11 -105149 121
4: -4 -53 43923 121
1: 4 55 5324 121
4: -4 -77 35937 121
3: 4 -121 -29040 121
4: -4 -121 29524 121
1: 4 355 -14641 121
2: -4 371 14641 121
2: -4 583 15972 121
3: 4 -605 -20449 121
3: 4 -781 -19965 121
2: -4 847 16698 121
1: 4 1331 -17325 121
2: -4 1331 17281 121
3: 4 -3905 -18634 121
4: -4 -4081 18634 121
4: -4 -6413 18513 121
1: 4 6655 -18106 121
1: 4 8591 -18150 121
4: -4 -9317 18447 121
3: 4 -14641 -18390 121
4: -4 -14641 18394 121
1: 4 42955 -18271 121
2: -4 44891 18271 121
2: -4 70543 18282 121
3: 4 -73205 -18319 121
3: 4 -94501 -18315 121
2: -4 102487 18288 121
4: -6 -15 73205 121
3: 6 -27 -43923 121
4: -6 -33 39930 121
2: -6 165 6655 121
1: 6 297 -9317 121
3: 6 -351 -14641 121
2: -6 363 9680 121
4: -6 -375 14641 121
4: -6 -825 13310 121
4: -6 -1815 12705 121
3: 6 -3267 -12463 121
1: 6 3861 -11979 121
4: -6 -3993 12430 121
2: -6 4125 11979 121
2: -6 9075 12100 121
2: -6 19965 12155 121
1: 6 35937 -12177 121
3: 6 -42471 -12221 121
2: -6 43923 12180 121
4: -6 -45375 12221 121
4: -6 -99825 12210 121
4: -6 -219615 12205 121
1: 7 11 55902 121
2: -7 11 -61226 121
4: -7 -143 15972 121
2: -7 319 7986 121
3: 7 -3839 -10648 121
4: -7 -4147 10648 121
1: 7 14641 -10408 121
2: -7 14641 10404 121
4: -7 -190333 10462 121
3: 8 -121 -14399 121
4: -8 -121 14883 121
3: 8 -3817 -9317 121
4: -8 -4169 9317 121
3: 8 -14641 -9194 121
4: -8 -14641 9198 121
1: 9 15 29282 121
2: -9 33 -10648 121
3: 9 -363 -9680 121
1: 9 3795 -7986 121
2: -9 4191 7986 121
3: 9 -19965 -8162 121
4: -9 -43923 8148 121
3: 9 -91839 -8140 121
2: -11 5 -95832 121
4: -11 -5 109142 121
2: -11 7 -66550 121
4: -11 -7 79860 121
1: 11 31 7986 121
3: 11 -31 -21296 121
2: -11 35 -7986 121
4: -11 -35 21296 121
1: 11 14641 -6624 121
2: -11 14641 6620 121
3: 11 -14641 -6686 121
4: -11 -14641 6690 121
2: -11 73205 6648 121
4: -11 -73205 6662 121
2: -11 102487 6650 121
4: -11 -102487 6660 121
1: 12 3 131769 121
4: -12 -9 58564 121
