                                            GP/PARI CALCULATOR Version 2.7.5 (released)
                                    amd64 running linux (x86-64/GMP-6.0.0 kernel) 64-bit version
                            compiled: Nov 10 2015, gcc version 5.2.1 20151028 (Ubuntu 5.2.1-23ubuntu1) 
                                                     threading engine: pthread
                                           (readline v6.3 enabled, extended help enabled)

                                               Copyright (C) 2000-2015 The PARI Group

PARI/GP is free software, covered by the GNU General Public License, and comes WITHOUT ANY WARRANTY WHATSOEVER.

Type ? for help, \q to quit.
Type ?12 for how to get moral (and possibly technical) support.

parisize = 8000000, primelimit = 500000
   realprecision = 115 significant digits (100 digits displayed)
1000072.339635008186598416942185647288011956309964911904272313360101949620874743443572310507612191979 + 0.05320025096328056795182220450123451768736545886248763364108443065737629706929787581337523656545735230*I
1000074.188764563300975661360755448313996871957925540166448143746512651491246269928761232534653169315 + 0.05699123919012089121573370987737461204375495632541323319460156140513885680565846145474658726052964440*I
1000076.925882544974219624408016854859053893611497348282433770594991323792665870376289230901050224948 + 0.04868245170707171415773769264060548100252766626375906336840843151159728069616118358962171205732323305*I
1000081.563608957776559707838500754365510105393289821695150879620308218787453626888317710363959687767 + 0.06055394620408816332157201087197774979179807776800160760709109881293462839531109700937178221310534998*I
1000086.195492195715060625374698474245329150539892147269994804503739460439705521647721674945768036156 + 0.05596743454582524285593189636613113903268433743556121368084792692097375991311182909603397967708425786*I
1000086.938219667476664332968152320337221701377846280337362775289615358468177641170573111663927793180 + 0.04653520032457595262651214865863622849424106037772839178865642472321495064942070377097331652713076379*I
1000087.883553287586588425671709186197809088300000539066710695088876251506961916697710443425010813648 + 0.03938087367608730308996065187831876773204795291525925192385505282871116738949544977878784340186029054*I
1000089.698472062694942379291883834832197708872629587059063479542325718928711329788853906011079525702 + 0.05195336660424921920679586866846557423799235249335933832561465781952457009243770021293481653171056765*I
1000091.556922961250654670080271911521514589353758750912967813860807740212444079021678418202253028370 + 0.04831797443512000455570238460833858637441886025042230569354547970356640238769503634884343200635368143*I
1000093.220304675589693252188446400567026071758994614579418866349840097787740271325420347709001967007 + 0.04089985393281453835885403156787111773441661765326709663484644775600231447887010197710288334017497834*I
1000094.275812268695162779570303866609707437210209077501035986916817473147446776356795241076632268818 + 0.06588832976640450141705783194392382795320187294506440191370531882674032133531055914436147483437708380*I
1000098.892837151234587530785392235969178516140244157164353963411096418490865121291466669987612103509 + 0.04894653424162484458249017893963230950955080367144779553173481716929159064106897181405110098585327323*I
